max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
7,sqrt,5,20,1,1
5,1.0,2,20,1,2
5,1.0,7,70,1,3
5,sqrt,7,10,1,4
5,sqrt,5,10,1,5
5,1.0,5,20,1,6
5,sqrt,2,20,1,7
3,sqrt,7,70,1,8
5,sqrt,5,10,1,9
5,sqrt,10,20,1,10
10,1.0,2,10,1,11
3,1.0,7,10,1,12
5,sqrt,10,70,1,13
3,sqrt,7,10,1,14
10,1.0,2,70,1,15
10,sqrt,2,20,1,16
7,sqrt,5,70,1,17
5,sqrt,7,70,1,18
7,sqrt,2,70,1,19
3,sqrt,5,20,1,20
5,sqrt,10,20,1,21
5,sqrt,10,70,1,22
5,1.0,10,10,1,23
3,sqrt,10,10,1,24
10,1.0,2,10,1,25
10,1.0,2,10,1,26
3,sqrt,10,10,1,27
3,sqrt,2,10,1,28
3,sqrt,2,20,1,29
3,sqrt,10,10,1,30
