f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,nbc.nb_fitness.cor,nbc.dist_ratio.coeff_var,ela_distr.kurtosis,nbc.nn_nb.mean_ratio,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ic.eps.s,disp.ratio_mean_02,ela_level.lda_mda_50,disp.ratio_median_02,ela_meta.lin_simple.coef.min,ic.h.max,disp.diff_mean_02,disp.diff_median_10,disp.ratio_median_05,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.coef.max_by_min,disp.ratio_mean_05,disp.ratio_median_25,ela_level.lda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_10
1,1,-0.2367751814738077,-0.1809047184027699,0.6794143111193759,-0.8025023781476435,-0.3846673008641717,-0.1685198476611431,0.4084706611801042,2.176173065768868,-0.4545780292635475,-1.3189777382599912,-0.3099847281093455,1.2179229413832549,0.2502929574997709,2.0307299101079086,-0.8758125290008748,-1.3999568930211308,-0.2562530443343514,-1.3090685965571387,-0.1341097218169262,0.842738289845254,-1.3998160392527876,-1.413472419026521,-1.37173292795475,-0.3057611066149821,-0.0265111830087505,-1.4657837614234572,-1.4830303444732105,0.3521909277029598,-0.7177317917747935,-0.1382597412735882
1,2,-0.2367748735575575,-0.1809041002034699,0.6794143111193759,-0.7588975059693714,-0.4201674094498746,-0.1685198377805102,-1.631980632727981,1.3631514905561657,0.0141912653270839,-0.9600017184076476,-0.3120093161063934,0.884009022633268,-1.6535839706683255,1.3285152233820043,-0.8344905425960382,-1.0287715034829172,-0.2714980085333614,-0.9637326199375232,-0.1341096812246753,0.6399201780814605,-1.028553530070622,-0.8985690288559582,-0.9590071326957506,-1.100739983814051,-0.4275954235806049,-1.017648465376387,-0.812509245022583,1.2660755791063552,-0.1748801994635592,-0.1549129417526296
1,3,-0.2367749409421899,-0.1809051655724789,0.6794143111193759,-0.7676533294537198,-0.4171814190080865,-0.1685198377437639,-1.33825563789282,1.3334972081775915,-0.0123346409530909,-0.9874044680146968,-0.3121071023293801,0.9155103357228932,-1.3753250350129882,1.3507756313185602,-0.8427466837358658,-1.0529287503614997,-0.2692404789916962,-0.9914139531488196,-0.1341097181176424,0.6782577479880298,-1.053345929182263,-0.9380245766735577,-0.9481459275573558,0.0,-0.1933545370240607,-1.0083486408150988,-0.8682003662394113,0.9937842535374318,-0.3563069158412612,-0.1715661422316716
1,4,-0.2367750667665921,-0.1809050552057328,0.6794143111193759,-0.7850778538006816,-0.4056898800351444,-0.1685198385616895,-0.6539388946066451,1.172869845293624,-0.1580097000327392,-1.135379315892762,-0.3117552096537027,1.0383654567724108,-0.7924457908507613,1.2050711430065577,-0.8593002467212199,-1.198336794072965,-0.2619101477740536,-1.116206848773517,-0.1341097187820868,0.6881513144155309,-1.1982861086041654,-1.080279657972879,-1.1167804283903269,-1.5899577543979002,-0.1676071575180527,-1.1926014149356197,-1.0798266268633625,0.7777150235313196,-0.4095206574559814,-0.12584553728012
1,5,-0.2367750667665921,-0.1809048495442508,0.6794143111193759,-0.7850778538006816,-0.3952389134888861,-0.1685198415725702,-0.6320657566933882,2.045199985263478,-0.1597491037232433,-1.1518209656569918,-0.3103490162217395,1.0635665072441125,-0.7367940037196886,1.9174041969763465,-0.8593002467212199,-1.259659036149365,-0.2626803637353277,-1.176561231021097,-0.134109712594194,0.7153586220911642,-1.2600470555035788,-1.1434538206191354,-1.1728013812094156,-0.1223044426459962,-0.3228226735247264,-1.2536315136190723,-1.1321762808071836,0.7611791130716675,-0.4202348336200185,-0.2266730965441373
2,1,-0.0372386265362837,-0.1537921095476051,0.6768723115698561,1.5172681094742495,-0.2445368807374292,-0.1443864204987941,0.5584578925852992,-0.8683332584318756,0.7169103562904051,0.1470693657171375,-0.3167306002246793,-0.0610303700553802,1.199302380155862,-0.5454063901862585,1.4299625685301474,0.5414495436249126,-0.2728790854294391,0.5532951985110669,-0.133855053211355,-0.4854730030469106,0.5415094965112726,0.5640600163536947,0.5346943950213751,2.3849366315968505,4.573417538335738,0.5203100214466329,0.4316304029613892,-2.6275801371262264,-0.388806583538842,-1.5144196717689549
2,2,-0.0325318485082074,-0.1597651514812312,0.6752835618514065,1.525980371647731,-0.2149333492362674,-0.152710131322466,0.4615911389694482,-0.6063870974210924,0.3868585060174096,0.1552901905992521,-0.3135208707504479,-0.0799311579091511,0.6779330059806049,-0.3855361877328102,1.4051528644049656,0.5869766627422404,-0.1338152656628584,0.6036661491086723,-0.1338750121333193,0.1365849860822867,0.5869866783136916,0.5321898966674562,0.5329794678942602,0.2446088852919755,3.093490976335491,0.519147543376472,0.4204921787180221,-1.1547817121866069,-1.3627251968498528,-0.0489380296132726
2,3,0.0144846719589365,-0.1440249760665411,0.6743303120203363,1.569585243826003,-0.2689978731444004,-0.1363306043862228,-0.3852117716723482,-0.4383461639424802,0.6873404935518493,0.2046151398919404,-0.3167664092640829,-0.1555343093242415,-0.6606389265929706,-0.3693468001425877,1.4712845549349838,0.5688587275833038,-0.2851494224676668,0.5909599633723389,-0.1338098833648505,-1.2497510095714492,0.5687591304461089,0.6395746516315676,0.598718341100334,0.5503699919069577,5.215240446921523,0.5761089688143618,0.535215888424693,1.3311168269143223,0.156902122416136,-1.695485378795628
2,4,0.0263383687162644,-0.1584986877676825,0.6730593122455766,1.5608729816525218,-0.3601007431385514,-0.1602738974973954,0.4897137448579207,-0.0478981126245289,-0.4941494632224969,0.1087055162672683,-0.3174598650848405,-0.0358293195836787,-0.2124955881164743,-0.1690031287135835,1.3721282998456557,0.5200796713861673,0.5543859753210297,0.5292442040815805,-0.1336693408101686,0.3678471013251513,0.5197978097152791,0.5304916664887933,0.5827123545805948,0.4280655492608425,0.5142628032827412,0.5708778174986379,0.3135652259817114,3.0188820878294056,7.066831469809404,-0.9463941427020004
2,5,-0.0278250704801312,-0.1443822733545377,0.6752835618514065,1.552160719479041,-0.227118603160332,-0.1362026269386682,-0.1039857127876186,-0.5025971090960677,0.6903844500102303,0.1552901905992521,-0.3151591343031612,-0.0988319457629219,-0.3677347837978729,-0.4057729222205884,1.4960942590601654,0.5725752271030863,-0.2859196384289407,0.591413755720065,-0.1337946198286041,-0.8762688769332434,0.5723166196677497,0.5025840838861012,0.5569884476738708,2.0180233036588784,4.970101622061455,0.5336785192534843,0.469500365388834,1.199931937267752,1.0647499827155822,-1.724855568731393
