f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_meta.lin_simple.coef.max,nbc.nn_nb.cor,nbc.nn_nb.sd_ratio,ela_distr.skewness,nbc.nb_fitness.cor,ela_level.mmce_lda_10,ic.h.max,ela_meta.lin_simple.coef.min,nbc.dist_ratio.coeff_var,pca.expl_var_PC1.cov_init,disp.diff_mean_10,disp.ratio_mean_02,ela_level.lda_mda_25,ela_level.mmce_mda_10,nbc.nn_nb.mean_ratio,disp.ratio_median_25,ela_distr.kurtosis,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_50,pca.expl_var_PC1.cor_x,disp.diff_mean_02,ic.m0,ela_level.qda_mda_10,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_init
1,1,-0.2367751825445878,-0.8060344273781329,-0.1809046770674811,0.7243551490866048,-0.8874399118950751,-0.1685198457831903,2.091968953412437,1.9257674657333663,-0.4163051385986064,-0.4326644766652945,0.3595531253206835,0.8525792826065589,-0.1341097201575491,-1.2436807185715988,0.2196824560709745,-1.4110404278106712,-1.3399043970372952,-0.3795819990608845,0.1080331037140035,1.1450006443780625,-1.3563551798072744,-0.3160799239524248,-0.0319117595421103,-0.2669171225823545,-0.3264904343531629,-1.3397622785845136,-0.4754754858219044,-0.2209132202791428,0.0348413994546385,0.7205226418024774
1,2,-0.2367748746283374,-0.7623532025519372,-0.1809040588681856,0.7243551490866048,-0.8458830198422405,-0.1685198359025574,1.296519114187891,1.2331583599770175,-0.4520108925469924,0.0363621427717111,-2.799525141434578,0.6491321791352338,-0.1341096795652983,-0.8885353317856192,0.3477258516439797,-0.8722361004017682,-0.9705870276699604,-0.3813798739792111,-2.5624280413328524,0.814722417805215,-0.7020056299887533,-0.3181074089633847,-0.4336637912843536,-0.2822100132016762,-1.1266596136286953,-0.9703677424427352,-0.8567502153272185,-0.2375079485245767,-1.113158461861337,1.361619400939961
1,3,-0.2367749420129699,-0.7711243575869675,-0.1809051242371869,0.7243551490866048,-0.854186095177472,-0.1685198358658112,1.2675057461918633,1.2551142682286591,-0.4490076048317076,0.0098216754380772,-2.344772680370266,0.6875886438157878,-0.1341097164582654,-0.915645666654778,0.3371076188403649,-0.9101776814579122,-0.9946227012708386,-0.3906531235579508,-2.1721298739798502,0.8458807410668081,-0.7563535992427821,-0.3182053351101725,-0.1990329018806182,-0.2799453865420206,-0.018733057708772,-0.9950354008870546,-0.8011193829082934,-0.2541026767700112,-0.9824579700363856,1.3285731762421524
1,4,-0.2367750678373721,-0.7885793924825502,-0.1809050138704416,0.7243551490866048,-0.8708337612246116,-0.1685198366837367,1.1103500028800235,1.1114028687633657,-0.4374494975637933,-0.1359333500826985,-1.2852962019332002,0.6975128927656075,-0.1341097171227097,-1.0620414749482352,0.2956756908419451,-1.0654445682204068,-1.1392989673684304,-0.37863574910387,-1.3545579234193592,0.9673982017870008,-0.962875882408095,-0.3178529389058867,-0.1732426538922429,-0.2725920105647856,-1.6190714162595976,-1.1392463271769198,-0.6993556650687982,-0.2085426046780002,-0.6211585212973474,1.1258896647622565
1,5,-0.2367750678373721,-0.7885793924825502,-0.180904808208961,0.7243551490866048,-0.8708337612246116,-0.1685198396946174,1.9638265780966289,1.813991932815911,-0.4269379905602966,-0.1376737085963801,-1.2514316569603257,0.724804577377617,-0.1341097109348169,-1.0783076758697303,0.2967166940579857,-1.1245024458762498,-1.200312600355273,-0.3860164987685809,-1.2764982899487514,0.9923248603962764,-1.0139629735068847,-0.3164447333302472,-0.3287165982803181,-0.273364647895727,-0.1418360083665318,-1.200696529573714,-0.6247289386531659,-0.3090161411458122,-0.6036762899067489,1.1148742565296583
2,1,-0.03723862755916,1.517798005858026,-0.1537920684086326,0.7217874391872674,1.4314429677284404,-0.144386418628268,-0.8867368275135104,-0.6151299164794071,-0.2753629696570592,0.7394669822987991,0.5917671479918307,-0.4797511389068796,-0.1338550515520337,0.2067221969283945,0.4343373192185657,0.6174226415406497,0.5917317563870937,0.3710780918385,1.4391552744758125,-0.1200272800424712,0.5121280031462776,-0.322835448839283,4.575675681527074,-0.2835954318640539,2.3817744801174663,0.5917956569674732,-0.345217926987347,-1.5922412180154908,-0.7585189107949081,1.326370094595632
2,2,-0.0325318495299537,1.5265255233058177,-0.1597651102990092,0.7201826205001817,1.406492226346069,-0.1527101294493784,-0.63045207688189,-0.457446575399431,-0.2455879505403719,0.4092339543278463,0.441795591683388,0.1442360138131006,-0.1338750104739936,0.214855297389142,0.4343373192185657,0.5849577470357651,0.6370297566349019,1.156844056143112,0.7078597609091436,-0.1387222739994228,0.5012584092954704,-0.3196211265140843,3.0932850937911898,-0.1440944296292644,0.2274728436067303,0.6370440245280586,-0.2013918724408581,-0.1319051324172674,0.1097652482714898,0.8945660918776022
2,3,0.0144846709484776,1.5702067481320132,-0.1440249349982902,0.7192197292879299,1.472999859781275,-0.1363306025181757,-0.4660429915710425,-0.4414786421255094,-0.2999656599307559,0.7098808875662235,-0.869246077980745,-1.2463993702805312,-0.133809881705539,0.2636539001536276,0.4343373192185657,0.6841591725054751,0.6190030014342436,0.7893205728387873,-1.1696798441468854,-0.2135022498272364,0.6132152259587743,-0.3228713091183884,5.218567202708298,-0.295904343825947,0.5352302202511211,0.6189081868848239,-0.8133310290490348,-1.7726711723931226,-2.053036520908282,1.4673673199729484
2,4,0.0263383677086513,1.5614792306842218,-0.1584986465946307,0.7179358743382613,1.373279925005142,-0.1602738956219801,-0.0840336462899562,-0.2438754678607299,-0.3915962714864906,-0.4722576328515352,0.4853357209342255,0.3762153330151628,-0.1336693391508878,0.1687677281115719,0.4343373192185657,0.5827557802780423,0.5704694297401637,6.476945189464185,-0.5410943746204634,-0.0951006214331954,0.3969103083277346,-0.3235657572156798,0.5097625964390672,0.5462703469001213,0.4121272695932418,0.5701932105191938,-0.3275788825618331,-1.0262101236803116,-1.8890365407202847,-0.0968206490566547
2,5,-0.0278250715007475,1.5527517132364306,-0.1443822322836997,0.7201826205001817,1.4979506011636463,-0.1362026250706605,-0.5289052888957787,-0.477406491991833,-0.2578437913178978,0.7129265149651652,-0.4338447854723612,-0.8717589724247976,-0.1337946181692959,0.214855297389142,0.4343373192185657,0.5559934150687977,0.6227007973728408,1.0567308106910072,-0.7588396679858224,-0.1574172679563745,0.5490846222390188,-0.321261734283157,4.973020230316611,-0.2966769811568883,2.012465628144204,0.6224477769278695,-0.6749323727873184,-1.8019382385714344,-1.9223360290833305,1.3836502174051666
