f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.max,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_meta.lin_simple.intercept,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.mean_ratio,disp.ratio_median_10,ela_meta.quad_simple.cond,disp.diff_mean_25,nbc.dist_ratio.coeff_var,disp.diff_median_05,ela_distr.kurtosis,disp.ratio_median_05,pca.expl_var_PC1.cor_init,disp.ratio_median_02,ela_meta.lin_w_interact.adj_r2,nbc.nn_nb.sd_ratio,ela_level.lda_qda_25,ela_level.qda_mda_10,ela_level.mmce_qda_50,ela_level.qda_mda_50,disp.diff_median_10,disp.diff_mean_10,disp.ratio_mean_05,ela_level.lda_mda_25,ela_level.mmce_lda_50
1,1,-0.225098447814069,-0.1678306899929399,-0.7333641313674035,-0.3890653050571492,0.7227373050311902,-0.8107087039461732,-0.1794099320312573,0.2502179305599523,0.4276697994578857,1.1523512017030757,-1.3155326720975582,-0.2337092208198872,-1.446095408453027,-1.2485592677942916,-1.2870997490526592,-0.3127047826874266,-1.2884586596497147,0.6440528710812872,-1.24144910640287,0.1335449514623747,1.9237898973793448,-0.0260416780348097,-0.2711258793032415,-0.1605323918045131,-0.5802419198879814,-1.3149539819240004,-1.4119496224947512,-1.3897913583561627,-0.2638559272817032,-0.2626826315006748
1,2,-0.2250981402181381,-0.1678306801133564,-0.6876693434958026,-0.4245545578329797,0.7227373050311902,-0.7676059067918833,-0.1794093139770858,-1.6618440515864816,-1.6407184011146791,0.8236549936171417,-0.8079391733767806,-0.2337092208198872,-0.7369891450618401,-0.8950229665891003,-0.8783827341877452,-0.3147305064542928,-0.8786980010391073,1.2605111078096936,-0.8965758608489645,0.9495053863190872,1.2359217577524255,-0.2351919752500897,-0.2886660886416032,-0.551745323999144,-0.1797698352293752,-0.8068190006141402,-0.8708850222675927,-0.9434146882772334,-0.2656472738901329,-0.9184149155421796
1,3,-0.2250982075326716,-0.167830680076614,-0.6968448203811091,-0.4215694804966949,0.7227373050311902,-0.7762178542752579,-0.1794103790959889,-1.382388838811233,-1.3429718607566066,0.8546640698516673,-0.845512435153597,-0.2337092208198872,-0.8041721433094162,-0.9220104704978936,-0.8683202187763647,-0.3148283475341891,-0.8679148258125123,1.228734910040188,-0.9242201026082132,0.8942801906880166,1.257727376011492,-0.2131839284385947,-0.3062062979799656,-0.4972354835004279,-0.1528796233098523,-0.845755904964731,-0.908985767458062,-0.9341513591964772,-0.2748868511336144,-0.8453108681896532
1,4,-0.225098333226181,-0.1678306808944527,-0.7151044758742563,-0.4100814555964473,0.7227373050311902,-0.793484808979424,-0.1794102687551525,-0.7970037088925616,-0.649285772050032,0.9755994671662976,-0.9858804697160471,-0.2337092208198872,-1.0310004549947904,-1.0677429916053771,-1.0355368637681486,-0.3144762574509004,-1.035337809593855,1.0338408970538835,-1.0488457826704003,0.6299181595309961,1.1149996928612382,-0.1539542185633636,-0.2580504505237344,-0.3588643499267644,-0.2806081299275851,-0.98614104217138,-1.064903995544061,-1.1176810666089556,-0.2629131132772661,-0.6506116465974977
1,5,-0.225098333226181,-0.1678306839050137,-0.7151044758742563,-0.3996336849194505,0.7227373050311902,-0.793484808979424,-0.1794100631419515,-0.7411126663375067,-0.6271131573425157,1.0004067281539195,-1.0482662628549149,-0.2337092208198872,-1.0879003412656965,-1.0839354939506531,-1.092021116944031,-0.3130692751611246,-1.0909562923415554,1.0232488311307195,-1.109119293391385,0.6372706264049548,1.8127794771513652,-0.1597885665435923,-0.3642484452450916,-0.3576064305306401,-0.32430472429681,-1.0484847799838035,-1.1242096197542262,-1.1784716637014168,-0.2702670625118736,-0.6285702252851781
2,1,-0.0257694669227272,-0.1436998257036063,1.6975894535740244,-0.248977736326046,0.7201715437433334,1.5944359892106847,-0.1523036881267533,1.2033072878144762,0.5797105860237164,-0.1066172934185261,0.6368590813619717,4.683191886015161,0.4998121479321182,0.1952721913261461,0.6040270362168185,-0.3194544391568897,0.6042723603868152,1.2266164968555546,0.618419224416094,0.8805555858566262,-0.5997148338744549,0.5576146775062765,-1.7205849964460849,-1.0414952755568383,1.0528582718673185,0.6365837750107675,0.6250228067582223,0.5885083584527897,0.4840784224380665,-1.5590855616869328
2,2,-0.0210675852654441,-0.1520226525826269,1.7067192813205982,-0.2193832574819698,0.7185679429384232,1.568557087023144,-0.1582753278302433,0.6796964680882281,0.4815175780332882,-0.1252227391592374,0.6049572553250516,3.548531291797697,0.4889291877568096,0.2033684424987839,0.6022381445881286,-0.3162429090625483,0.6025697537720899,0.8114075126673497,0.6687226807321044,0.2874565913572537,-0.4431108481957034,2.1510563486633667,-0.1770465746702073,-0.1861100861923721,1.2787840702268811,0.6051325882828156,0.5924217227038776,0.5873504423176954,1.266991171722444,-0.6032225907760115
2,3,0.0259000248183676,-0.1356448650863442,1.7524140691921994,-0.2734312486465206,0.7176057824554767,1.6375387863649744,-0.142538847576002,-0.6646301870516553,-0.3768793627862631,-0.1996445221220895,0.7112966754481191,3.270597733279449,0.6050426604933725,0.2519459495346117,0.6677115781981774,-0.319490268284739,0.6678363406699016,1.3621949406721114,0.6560335205803175,1.0999858750061184,-0.4272522167345641,0.7938688444524912,-1.9112949088886413,-1.190768377230245,0.699203966890025,0.7111057698510658,0.6920392960664593,0.644088332937326,0.9008022123991636,-1.680313378904691
2,4,0.0377413904025984,-0.1595856155159738,1.7432842414456255,-0.3645062596995333,0.7163229018115485,1.5341092970896455,-0.1570091614314641,-0.2145602127925657,0.5100252255143799,-0.0818100324309042,0.6035393963900776,4.486452914534822,0.3953528687691146,0.1574896858538353,0.6514326643770998,-0.3201841131259751,0.6519453455991306,-0.1418784204178185,0.5944004569859276,-0.7904150523651602,-0.2310016524029647,1.61326239939724,-1.122304401559402,-0.3358024943311538,1.0802286661425482,0.6034566813523741,0.5902105187419305,0.6388777103294013,6.567774348867861,0.4132542887437898
2,5,-0.016365703608161,-0.1355169012294804,1.734154413699052,-0.231564785197718,0.7185679429384232,1.6634176885525152,-0.1428960609849583,-0.3704668051829672,-0.0918028879753418,-0.1438281848999487,0.5758911471580798,6.676774137078676,0.5448007628300486,0.2033684424987839,0.6265223484475935,-0.3178820916616554,0.6264062463782483,1.2816952396560304,0.6564867048714527,0.9403556497648272,-0.4629341375221276,0.5544390197448864,-1.9422294599035717,-1.109422922947546,0.8528623207158693,0.5759159441287854,0.5633358859736528,0.6018243940063763,1.167241450053023,-1.6174953281645794
