f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_distr.skewness,ela_meta.lin_simple.coef.max,nbc.nn_nb.cor,nbc.nn_nb.sd_ratio,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.mean_ratio,disp.ratio_mean_02,disp.diff_mean_25,disp.ratio_mean_10,disp.diff_mean_05,ela_level.lda_mda_50,disp.diff_median_05,disp.diff_mean_02,disp.diff_median_10,ela_distr.kurtosis,disp.ratio_mean_05,ela_meta.quad_w_interact.adj_r2,disp.diff_median_02,disp.ratio_median_25,disp.ratio_median_05,disp.ratio_median_02,ela_level.lda_qda_25,ic.h.max,ela_meta.lin_simple.coef.min,ela_level.lda_qda_10,ela_level.mmce_mda_50
1,1,-0.2367027873148275,-0.1808968564764615,-0.7391317846350022,-0.3983674898455285,-0.1685170108452869,2.1572698945674875,2.01836203224347,-1.3041943082516565,-0.4357974415756634,1.2009466686198305,-1.4001126501170622,-1.503358435441732,-1.4752219338928658,-1.4531259496215827,-0.254062121503783,-1.348530848988739,-1.399962257158626,-1.3766857202117802,-0.3148478786282199,-1.4529692925591846,0.7240788769500791,-1.3001043484317385,-1.4142135594908936,-1.349929717678061,-1.3008554761502116,-0.0696129728193316,0.8396440179101776,-0.1341093471817451,0.043924181246214,-0.0160231631377285
1,2,-0.2367024794035585,-0.1808962382780125,-0.6957302249728189,-0.433871891324702,-0.1685170009646587,1.34933203426873,1.3191456341474923,-0.9473205047131732,0.0328186228207614,0.869330216608875,-1.0289138121758004,-0.7970189219251522,-0.9345454192730224,-1.007140350868934,-0.269301494687386,-0.9404121347658816,-1.02868761230003,-0.8694418712131056,-0.3168746624646396,-1.0069987095122774,0.7240788769500791,-0.9565093915719312,-0.7625321733813434,-0.9407660281344832,-0.9566048608068348,-0.268242313872424,0.6369835515900834,-0.1341093065894963,0.1700005055148881,-0.5882225762530887
1,3,-0.2367025467871009,-0.180897303645555,-0.7044452234664241,-0.4308855397984164,-0.1685170009279124,1.3198631761423365,1.3413109954704194,-0.9745627797924468,0.0063013872658616,0.9006147875533084,-1.0530719342946313,-0.8639397894293215,-0.9725505323696416,-0.997779539182204,-0.2670447930835424,-0.9303643493735912,-1.053480821815432,-0.9083104906889276,-0.3169725547451741,-0.9977438076591636,0.7240788769500791,-0.9849908077490224,-0.8166585343538962,-0.9299985626201784,-0.9841991939683932,-0.2473413450751705,0.6752913226627827,-0.1341093434824616,0.2102537897693443,-0.5275512734021268
1,4,-0.2367026726094675,-0.1808971932789608,-0.7217885040507132,-0.4193926111972565,-0.1685170017458376,1.1602401946243457,1.1962286304476233,-1.1216710652205235,-0.139326053896292,1.022624614236579,-1.1984852462791304,-1.0898830755052595,-1.1281563727841064,-1.180475185809556,-0.2597171502287087,-1.0973362141814764,-1.1984257389823951,-1.0484494300615828,-0.3166202804117012,-1.1811065506239755,0.7240788769500791,-1.1087192126935594,-1.0223387060496003,-1.0971776324475409,-1.1085998762541085,-0.1910910867684685,0.6851771990686398,-0.1341093441469059,0.0570887773545899,-0.3589795097922689
1,5,-0.2367026726094675,-0.1808969876177619,-0.7217885040507132,-0.4089403808552569,-0.1685170047567169,2.0271157711758945,1.9055201927812904,-1.138016430268088,-0.1410648890146468,1.0476522709921268,-1.259809710119238,-1.146560953085321,-1.1876738140486265,-1.242119555453876,-0.260487083717079,-1.153737782850201,-1.2601887046982767,-1.1106838336986231,-0.315212561842324,-1.2418418440350327,0.7240788769500791,-1.168925860907712,-1.0732174853638026,-1.152715086152902,-1.1687645698686533,-0.1966319476241163,0.7123633591847527,-0.1341093379590134,0.1664561911780176,-0.3346383284089481
2,1,-0.0371694604010453,-0.1537842849422721,1.569822517752853,-0.2582201242786294,-0.1443835948994178,-0.8681995397427398,-0.546774782673473,0.1532674084894785,0.73530801063581,-0.0692069117240234,0.5413641255481793,0.4349566911968778,0.5591272331847168,0.5235121786475531,-0.2706820650803257,0.5398276092263564,0.5414267358572847,0.5714295635304905,-0.3216010672205897,0.5235306844463695,0.7215115033891494,0.555572201439393,0.4466507307455138,0.5400438344380476,0.5556550696700532,0.4846835251829942,-0.4875348895762982,-0.1338546785887426,0.994306754147021,-1.190939291401268
2,2,-0.0324627585173689,-0.1597573186539025,1.5784941580449978,-0.2286130129346967,-0.1527073018544831,-0.6078912929595497,-0.3875871877179044,0.1614400910132604,0.4053640469281232,-0.0879776542906793,0.5868928941567445,0.4241161935271976,0.5261416633272749,0.522690253718962,-0.131669246283556,0.538041336267727,0.5869054041991459,0.5400335337386861,-0.3183878565193815,0.5223738217147305,0.7199068949135685,0.6058691704329803,0.4358254585510018,0.5383437083042102,0.6058677087017421,1.997969776087485,0.1340395894420411,-0.1338746375097219,-0.3059502768648451,-0.5508025511414174
2,3,0.0145530013350376,-0.1440171649058363,1.621895717707181,-0.2826840746606258,-0.1363277825309438,-0.4409010969099595,-0.3714669249375937,0.2104761861559527,0.7057478136237905,-0.1630606245573098,0.5687743025676216,0.5397766214202449,0.6258154505052023,0.5789007863353757,-0.2829479020329818,0.603418926553564,0.5686772605169643,0.6458208668027235,-0.3216369150979686,0.5790600955650509,0.7189441298282196,0.5929295533212353,0.5473257621544652,0.6035152101013177,0.5932014574144687,0.7090533210971334,-1.2512188419288484,-0.1338095087444673,2.2925384626806755,-1.3021094630922525
2,4,0.0264065063279313,-0.1584908566836631,1.6132240774150366,-0.3737979613792695,-0.160271064514005,-0.0528944649123828,-0.1719786730312488,0.1151282233784952,-0.4753559405182188,-0.0441792549684753,0.519993479058445,0.3309049852178193,0.5239904305104837,0.5737409242836657,0.5562796002905263,0.5871638426300363,0.5197143393585899,0.5383605658989806,-0.3223311230310552,0.573854213272675,0.717660443047755,0.5320099785444525,0.3319028454836999,0.5876473661855008,0.531679665447716,1.4872286526593004,0.3651219504289804,-0.1336689661967216,1.311269721987141,-0.630365517155554
2,5,-0.0277560566336925,-0.144374461702007,1.6045524371228923,-0.2407997403752967,-0.1361998051428691,-0.5047502895171562,-0.4077375161932928,0.1614400910132604,0.7087907750809103,-0.1067483968573352,0.57249093673975,0.4797697721148483,0.4974585591034087,0.536662977505008,-0.283717835521352,0.5622899916811214,0.5722348660243517,0.5108681277331553,-0.320027896909464,0.53683460586022,0.7199068949135685,0.5938207115245236,0.4834566562068512,0.5621454741779374,0.5936538235318712,0.4816676135780216,-0.8780270076076984,-0.1337942452089743,2.4111464103109443,-1.244707871173378
