f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_level.lda_qda_10,ic.eps.s,ela_level.mmce_qda_50,ela_level.lda_qda_50
1,1,-0.2367745182952778,-0.134109716057432,0.7234166767407978,-0.7722706540660224,-0.2366559893248442,-0.1809046265022407,0.0770399396465967,-0.848593566802997,-0.144911186885317,-0.2114172819980433
1,2,-0.2367742103790733,-0.1341096754651812,0.7234166767407978,-0.7291596699502685,-0.2534953315734615,-0.1809040083029507,0.2070420712540812,-0.807686440920811,-0.5317604553183403,-0.3708788480402949
1,3,-0.2367742777636958,-0.1341097123581483,0.7234166767407978,-0.737816321106379,-0.2703346738220794,-0.1809050736719425,0.2485487759239407,-0.8158596928453237,-0.4778586279911237,-0.3644915141014675
1,4,-0.2367744035880792,-0.1341097130225926,0.7234166767407978,-0.7550434875862007,-0.2241030251031467,-0.1809049633051982,0.0906144594128403,-0.8322470629539717,-0.3410309124681895,-0.3255465196688955
1,5,-0.2367744035880792,-0.1341097068346998,0.7234166767407978,-0.7550434875862007,-0.3260575881720509,-0.1809047576437195,0.2033873928554771,-0.8322470629539717,-0.3397870241452537,-0.3046546149106479
2,1,-0.0372379930256031,-0.1338550474520541,0.7208501031051714,1.5212250873088429,-1.628197998778802,-0.1537920180835438,1.057015847386549,1.4340322306749018,-1.0160476423813318,-0.6365741973012369
2,2,-0.0325312156973484,-0.1338750063740033,0.7192459945829051,1.529838670548754,-0.1463358809004396,-0.1597650599210138,-0.2837290279870247,1.4094716086417411,-0.1702035827850109,-0.4453533875075939
2,3,0.0144852977792015,-0.1338098776055838,0.718283529469545,1.572949654664508,-1.8112875745001369,-0.1440248847597144,2.395672335103778,1.4749393565570876,-1.1636557233697096,-0.6003793049812153
2,4,0.026338992774077,-0.1336693350510086,0.7170002426517319,1.5643360714245969,-1.0538233431714037,-0.1584985962278532,1.3838485156045617,1.3767786009436904,-0.3182262932143671,0.6340173351828504
2,5,-0.0278244383690937,-0.1337946140693491,0.7192459945829051,1.5557224881846865,-1.8409860508295173,-0.144382182041959,2.5179735372284897,1.4994999785902483,-1.083217611819863,-0.6202953670543645
3,1,-0.2367688583277508,-0.134109666360663,0.6555628862489268,-0.4273827811399915,-0.2170611183446339,-0.1809046276997395,0.1181550716308913,-0.4149616859479771,-0.1519598873819529,0.0810693846174241
3,2,-0.2367626493161131,-0.1341096670638326,0.6996758706112544,-0.2118278605612222,-0.558746681062042,-0.1809008406955833,0.5217359862195879,-0.0550116711924392,-0.9658774800229228,-0.5868505768468938
3,3,-0.2367428784889965,-0.1341096289948398,0.6903720411821089,-0.0911515593700711,-0.6766220768023661,-0.1809002746836777,0.726528500769932,-0.1204385528481631,-0.4712245569354663,-0.2329745340415855
3,4,-0.2367637992845304,-0.1341096476441215,0.6836347853885898,-0.2549388446769761,-0.4531180796843488,-0.1809029121171658,0.2880976171659767,-0.2104260565370476,-0.4604441914700238,-0.1024333966668023
3,5,-0.2367650925837028,-0.134109633323919,0.6788224598217902,-0.3325472296685728,-0.0232555975559971,-0.1809033284068467,-0.1552931871217995,-0.3740545600657913,0.0118187418045895,-0.1968683546929369
4,1,-0.2367584891036781,-0.1341096221812279,0.5902756693926822,-0.0911515593700711,0.8236102326199429,-0.1809023973052806,-0.895496087067626,-0.0386243010837912,0.1764266298730893,-0.1981990492635258
4,2,-0.2367038306337064,-0.1341095324445529,0.7118670953804791,0.0726787938530336,0.0058305390552519,-0.1808961617006594,-0.1175716850790648,0.0840970765627665,-0.5694917344473919,0.0678067953972201
4,3,-0.2367592647935384,-0.1341096819547236,0.6579690490323266,-0.2204845117173326,0.1139084993054709,-0.1809022424767587,-0.2612788606813148,-0.1940795526880223,0.0449890970828766,-0.3873351042299126
4,4,-0.236758082985674,-0.1341095539432003,0.6752934210728041,-0.0350771324782512,0.2813834122144511,-0.1808998682628309,-0.4838226703105922,-0.005890427126118,-0.2058617147091695,-0.2912589562333849
4,5,-0.2367637992845304,-0.1341096252140291,0.6829931419796833,-0.0652677417341388,1.1705006829414693,-0.1809002602366942,-1.047556813295256,0.0268025805719326,-0.1469843340902099,-0.2440636554631609
5,1,-0.2367747183620108,-0.1341096791196251,0.7234166767407978,-0.8153816381817763,-0.9653402539013944,-0.1809046146261683,1.0219048299142466,-0.8976739446096955,-1.2233623628706265,-0.8271296598095852
5,2,-0.2367747183620108,-0.1341096791196251,0.7234166767407978,-0.8153816381817763,-0.9267628516591064,-0.1809035306277876,0.8564001081488952,-0.8976739446096955,-1.2059479263495254,-0.7887169432052487
5,3,-0.2367747183620108,-0.1341096791196251,0.7234166767407978,-0.8153816381817763,-0.9460515527802504,-0.1809044909082532,0.7980557779997529,-0.8976739446096955,-1.2200453273427976,-0.8209197518135032
5,4,-0.2367747183620108,-0.1341096791196251,0.7234166767407978,-0.8153816381817763,-1.0587220609164565,-0.1809030650886153,1.0140733762029526,-0.8976739446096955,-1.2067771852314828,-0.8132017233040867
