f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.max,ic.eps.s,ela_distr.kurtosis,ela_meta.lin_simple.intercept,disp.diff_median_02,disp.ratio_median_02,ela_distr.skewness
1,1,-0.1341097202232762,0.7108307716454281,-0.792067638175949,-0.2367751327027623,-0.8616134810493047,-0.3104975612717394,-0.1809047046084724,-1.2815960577036782,-1.282337186957154,-0.3840057994580214
1,2,-0.1341096796310253,0.7108307716454281,-0.7486688872413153,-0.2367748247865154,-0.8205367410138246,-0.3125224236221509,-0.1809040864091739,-0.9401038780066104,-0.9401937277204568,-0.4195182373509332
1,3,-0.1341097165239925,0.7108307716454281,-0.7573833217446734,-0.2367748921711471,-0.8287438818800544,-0.3126202230962184,-0.1809051517781803,-0.9684109899038976,-0.9676191561218216,-0.4165312098646135
1,4,-0.1341097171884368,0.7108307716454281,-0.7747254799603113,-0.2367750179955479,-0.8451991993168451,-0.3122682827353135,-0.1809050414114345,-1.091382185642929,-1.0912583825214173,-0.4050356798415044
1,5,-0.134109711000544,0.7108307716454281,-0.7747254799603113,-0.2367750179955479,-0.8451991993168451,-0.3108618987490754,-0.180904835749953,-1.1512203733707382,-1.15105480838013,-0.3945810836393856
2,1,-0.1338550516177585,0.7082774752734784,1.5167372404674575,-0.0372385799471157,1.4304768200713482,-0.317244347525015,-0.153792095818822,0.5627238811561566,0.5628096681117134,-0.2438267115646751
2,2,-0.1338750105397186,0.70668166504101,1.5254083195752768,-0.0325318019705068,1.4058143617683276,-0.3140341830980533,-0.1597651377380149,0.6127130362088137,0.6127149558584596,-0.2142128986573743
2,3,-0.1338098817712635,0.7057241789015286,1.5688070705099106,0.0144847179825244,1.471553560106828,-0.3172801614169271,-0.1440249623613591,0.5998526086509721,0.6001262346250457,-0.2682961993566475
2,4,-0.1336693392166111,0.704447530715554,1.5601359914020916,0.0263384146102354,1.3729857983034086,-0.3179737112083775,-0.1584986740275266,0.5393058574213542,0.5389810172056102,-0.3594307096842094
2,5,-0.1337946182350203,0.70668166504101,1.5514649122942727,-0.0278250239938978,1.4962160184098487,-0.315672668653029,-0.1443822596484923,0.6007383130282341,0.6005758318119532,-0.2264023845611436
3,1,-0.1341096705265071,0.6433279988120089,-0.4448776306988792,-0.2367694727344556,-0.4261836223914836,-0.2908033643635712,-0.1809047058059712,-0.7770988444153448,-0.7778891432468064,-0.1785797727852172
3,2,-0.1341096712296768,0.6872127802048938,-0.2278838760257105,-0.2367632637219626,-0.0647411386427242,-0.3076234964457984,-0.1809009188017632,-0.7297668024944732,-0.730231841434599,-0.1218865945347657
3,3,-0.1341096331606839,0.6779570808565762,-0.1064020577251674,-0.2367434928921226,-0.1304393012768936,-0.3073645344581266,-0.1809003527898499,-0.4909454742095961,-0.49014694362593,-0.2264325565559549
3,4,-0.1341096518099657,0.6712546778802084,-0.2712826269603443,-0.2367644136905384,-0.2207999222140835,-0.286436824465065,-0.180902990223374,-0.686225575308282,-0.6866209143045597,-0.0701114514385577
3,5,-0.1341096374897631,0.6664672471828026,-0.3494090497217927,-0.2367657069898889,-0.3851068823560036,-0.2993036538631555,-0.1809034065130606,-0.8211360660528031,-0.8201512788161228,-0.2160835623356755
4,1,-0.134109626347072,0.5783785223505394,-0.1064020577251674,-0.2367591035089546,-0.0482858212059334,-0.2738888764507297,-0.1809024754114817,-0.6757034073064115,-0.6758305818187761,0.0327147068783867
4,2,-0.1341095366103969,0.6993409379716544,0.0585218669055487,-0.2367044450314537,0.0749443989005066,-0.2972774140553628,-0.1808962398067752,-0.5680371832064648,-0.5679272569609485,-0.1205288547682568
4,3,-0.1341096861205678,0.6457217141607118,-0.2365983105290685,-0.2367598791989217,-0.2043856404816239,-0.294304172297973,-0.1809023205829578,-0.728243390965583,-0.7288830498738763,-0.0943395632720396
4,4,-0.1341095581090444,0.6629564646713719,-0.049953332733266,-0.2367586973908945,-0.0154162220366832,-0.2953296893183004,-0.1808999463689974,-0.7016722596477283,-0.7023568158463257,-0.093011995500342
