f_id,i_id,ic.eps.ratio,ic.eps.max,disp.ratio_median_02,disp.ratio_mean_05,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,ic.eps.s,ela_level.qda_mda_50,ela_level.mmce_mda_50
1,1,-0.7568176365366867,-0.3826372625103788,-1.312697088590171,-1.4551319584235751,0.6637795572105196,-0.1764004854764297,-0.1362733618808767,-0.8689458240107716,-0.5652695806502959,-0.0202490982089831
1,2,-0.7073848906753686,-0.3826331879241056,-0.9668282346413086,-1.008746362782878,0.6637795572105196,-0.1763867139499011,-0.5216162451564577,-0.8195983929393441,-0.1654612771148167,-0.594031625290036
1,3,-0.7173109465376313,-0.3826340796097445,-0.9945522820669074,-0.999482848476456,0.6637795572105196,-0.176399230439241,-0.4679243107236328,-0.8294580195270419,-0.1386156356304198,-0.5331924621011244
1,4,-0.737064291537159,-0.3826357446156722,-1.119537741772476,-1.1830162256724372,0.6637795572105196,-0.1763994558618986,-0.3316294002403084,-0.849226570835376,-0.266132432681304,-0.3641543080912148
1,5,-0.737064291537159,-0.3826357446156722,-1.1799852550118954,-1.2438080383083296,0.6637795572105196,-0.1763973565269648,-0.3303903555995509,-0.849226570835376,-0.3097566000934491,-0.3397457815423693
2,1,1.872994566612932,2.2577849530527727,0.552540462797652,0.5232073156416167,0.6612004116392656,-0.0900003627390796,-1.0040176252913755,1.8846506894014676,1.0651237530717246,-1.198415887148745
2,2,1.8828712391126965,2.3200686848379,0.6029891392606272,0.522049376353314,0.659588445657232,-0.0967717246961324,-0.161467269576279,1.8550225115054355,1.290675080186166,-0.556508069550767
2,3,1.9323039849740145,2.942227693139895,0.5902633469996961,0.5787884014801474,0.6586212660680114,-0.0746758186192167,-1.1510509226612649,1.9339981204728949,0.7120556289064012,-1.3098936352673494
2,4,1.9224273124742504,3.0990849881072124,0.5284523560180341,0.5735776746827858,0.6573316932823845,-0.0269946607980365,-0.308913581826421,1.815584005154644,1.0924487810112011,-0.6362911637925142
2,5,1.9125506399744867,2.382352416623027,0.5907178395804435,0.5365236174570978,0.659588445657232,-0.0694974362970812,-1.0709260358922803,1.9636262983689263,0.8654592945315254,-1.2523332293760436
