f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_level.lda_qda_10,ic.m0,disp.ratio_mean_02,ela_level.qda_mda_10
1,1,-0.1341097173387209,-0.236775079552583,0.7013320126397528,-0.8699970665667002,-0.7899151116698321,0.224234477661579,-0.0122689909587678,-0.3867748438363603,-1.3977556375852531,-0.1466044464508119
1,2,-0.13410967674647,-0.2367747716363397,0.7013320126397528,-0.8287820652846382,-0.7465557948058791,0.3524624845230671,0.1150563895266234,-0.7545762998593066,-1.0268702830685623,-0.1631074920086064
1,3,-0.1341097136394371,-0.2367748390209706,0.7013320126397528,-0.8370168307755594,-0.7552623109793601,0.3418289424906513,0.1557084688382243,-0.7009113187314031,-1.05100800326239,-0.1796105375664016
1,4,-0.1341097143038815,-0.2367749648453699,0.7013320126397528,-0.8535275355848572,-0.7725887113245961,0.3003372784818119,0.0010260286903093,-0.6027436703267035,-1.1962985113521574,-0.1343021761259096
1,5,-0.1341097081159886,-0.2367749648453699,0.7013320126397528,-0.8535275355848572,-0.7725887113245961,0.3013797826026369,0.1114769611595641,-0.5307540614965881,-1.257571185690333,-0.234220615594014
2,1,-0.1338550487332999,-0.0372385291747136,0.6987866190734877,1.4298082397378564,1.5167918822922948,0.4391988273757163,0.9475291583226748,-0.2611202538783414,0.542081529530199,-1.5103561202722318
2,2,-0.1338750076552525,-0.032531751254193,0.6971957480945724,1.4050627694376372,1.525455082464913,0.4391988273757163,-0.3656097054784682,-0.1223766441330304,0.587571848357027,-0.0580881111862751
2,3,-0.133809878886822,0.0144847681385658,0.6962412255072228,1.4710232410199182,1.568814399328866,0.4391988273757163,2.2586226344854987,-0.7126914365399689,0.5694685582116567,-1.6897892337915297
2,4,-0.1336693363322231,0.0263384646250223,0.6949685287240905,1.3721237074739512,1.5601511991562478,0.4391988273757163,1.2676323237196825,-0.2441045281548587,0.5207289308971983,-0.9474522390645346
2,5,-0.1337946153505847,-0.0278249733336724,0.6971957480945724,1.4957687113201374,1.55148799898363,0.4391988273757163,2.3784056480545868,-0.5791834347095748,0.5731820536260922,-1.7188946050480045
3,1,-0.1341096676419518,-0.2367694195843437,0.6340381702316246,-0.43310158344586,-0.443040576758208,0.4346118092440859,0.0279995781706478,-0.1223766441330304,-0.8272699045426857,-0.1274009025290136
3,2,-0.1341096683451214,-0.2367632105719248,0.6777871221518026,-0.0704425112256771,-0.226243992438443,0.4391988273757163,0.4232707392758986,-0.5818012386670333,-0.7641404824972905,-0.4622626996653627
3,3,-0.1341096302761286,-0.2367434397423204,0.6685600704740923,-0.1363618089805037,-0.1048725580200651,0.4391988273757163,0.623846564558608,-0.611905984177808,-0.5255484021198461,-0.5777840185699274
3,4,-0.1341096489254103,-0.2367643605404868,0.661878412362647,-0.2270265770355495,-0.269603309302396,0.4387818257273864,0.1944429972389006,-0.289916097410387,-0.7413953230838769,-0.3587435957119217
3,5,-0.1341096346052078,-0.2367656538398219,0.6571057994259001,-0.3918865821637979,-0.347658742857684,0.4371138191340664,-0.2398183657218169,0.1210791239106321,-0.8592988024921866,0.0625341490725171
4,1,-0.1341096234625167,-0.2367590503589663,0.5692897213897613,-0.0539318064163794,-0.1048725580200651,0.4391988273757163,-0.9647804467786972,0.3972574414225249,-0.7177217898168547,0.8924873129427147
