f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ic.eps.s,ela_level.lda_mda_25,ela_level.lda_mda_10,disp.ratio_median_02,ela_level.mmce_qda_50
1,1,-0.1341097201575491,-0.2367751825445878,0.7243551490866048,-0.8060344273781329,-0.2209132202791428,-0.8874399118950751,-0.3795819990608845,0.4450517004371587,-1.2427205875971878,-0.1748230900739898
1,2,-0.1341096795652983,-0.2367748746283374,0.7243551490866048,-0.7623532025519372,-0.2375079485245767,-0.8458830198422405,-0.3813798739792111,1.36168244406781,-0.8998893629578316,-0.5712313710919471
1,3,-0.1341097164582654,-0.2367749420129699,0.7243551490866048,-0.7711243575869675,-0.2541026767700112,-0.854186095177472,-0.3906531235579508,1.0885729221416705,-0.9273699210432466,-0.5159976341869799
1,4,-0.1341097171227097,-0.2367750678373721,0.7243551490866048,-0.7885793924825502,-0.2085426046780002,-0.8708337612246116,-0.37863574910387,0.87185443510716,-1.051257682903724,-0.3757889174282169
1,5,-0.1341097109348169,-0.2367750678373721,0.7243551490866048,-0.7885793924825502,-0.3090161411458122,-0.8708337612246116,-0.3860164987685809,0.8552688366096204,-1.1111743095489726,-0.3745142927304098
2,1,-0.1338550515520337,-0.03723862755916,0.7217874391872674,1.517798005858026,-1.5922412180154908,1.4314429677284404,0.3710780918385,-2.543673148819377,0.6061353203133523,-1.0674852534381143
2,2,-0.1338750104739936,-0.0325318495299537,0.7201826205001817,1.5265255233058177,-0.1319051324172674,1.406492226346069,1.156844056143112,-1.0664491759719,0.6561409260097636,-0.2007404589293975
2,3,-0.133809881705539,0.0144846709484776,0.7192197292879299,1.5702067481320132,-1.7726711723931226,1.472999859781275,0.7893205728387873,1.4269191314914684,0.6435268993476053,-1.2187407175778708
2,4,-0.1336693391508878,0.0263383677086513,0.7179358743382613,1.5614792306842218,-1.0262101236803116,1.373279925005142,6.476945189464185,3.1197558848069487,0.5822587698456972,-0.352420797968423
2,5,-0.1337946181692959,-0.0278250715007475,0.7201826205001817,1.5527517132364306,-1.8019382385714344,1.4979506011636463,1.0567308106910072,1.2953400500776562,0.6439774002998252,-1.1363149871196891
3,1,-0.1341096704607801,-0.2367695225762179,0.656471318622873,-0.456584628768568,-0.2016029910480914,-0.446920249984356,0.1028162290249673,0.9094484583682492,-0.7372585192064414,-0.1820459633615623
3,2,-0.1341096711639497,-0.2367633135636555,0.7006038325177342,-0.2381785046375898,-0.5383251132645417,-0.081252812220751,-0.2042418820261481,1.074198736777136,-0.6895054182711303,-1.016075390626568
3,3,-0.1341096330949568,-0.2367435427335946,0.6912958841326362,-0.1159059851940333,-0.6544882109825821,-0.1477189302792809,0.0163289829538674,1.7829566459053012,-0.448937909785694,-0.5091996357986762
3,4,-0.1341096517442386,-0.2367644635322441,0.6845556456468757,-0.2818597294637854,-0.4342309088159081,-0.2391357897201823,-0.1428302598159251,0.9547824275948582,-0.6458068259057982,-0.4981528884176836
3,5,-0.134109637424036,-0.2367657568316091,0.6797411895856179,-0.3604946616683853,-0.0106127550597289,-0.4053633579315213,-0.2374552555173477,0.1796821244765293,-0.7796056087151139,-0.0142203781503157
4,1,-0.1341096262813449,-0.236759153350601,0.5911551980584786,-0.1159059851940333,0.8239512145197515,-0.0646051461736113,-0.3015163776072105,-1.0929861335679645,-0.6349948030525193,0.1544549568594689
