f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ic.m0,ela_meta.lin_simple.coef.max,ela_level.lda_qda_10,ic.eps.s
1,1,-0.1341097219444291,-0.2367752253329674,0.656098097745949,-0.8424512858438185,-0.1303924564736971,-0.1809047051959524,-0.3861426600941455,-0.1685198480225557,-0.0231400210610231,-0.9061200929950478
1,2,-0.1341096813521782,-0.236774917416714,0.656098097745949,-0.797847529859554,-0.1472288816486713,-0.1809040869966539,-0.7540575103401084,-0.1685198381419229,0.1055479772070659,-0.8641397660867499
1,3,-0.1341097182451453,-0.2367749848013472,0.656098097745949,-0.8068039284138369,-0.1640653068236461,-0.1809051523656604,-0.7003759841476366,-0.1685198381051766,0.1466351091842269,-0.8725274437907053
1,4,-0.1341097189095897,-0.2367751106257506,0.656098097745949,-0.8246276071288277,-0.1178416667978062,-0.1809050419989145,-0.6021780703809219,-0.1685198389231021,-0.0097027200370457,-0.8893447375871365
1,5,-0.1341097127216968,-0.2367751106257506,0.656098097745949,-0.8246276071288277,-0.2197785683117441,-0.180904836337433,-0.5301662669519954,-0.1685198419339829,0.101930242315995,-0.8893447375871365
2,1,-0.1338550533388536,-0.0372386684333009,0.6534574654664461,1.530459620679688,-1.5216934095693315,-0.1537920964035113,-0.2604493304727473,-0.1443864208587775,0.946929749016097,1.43639053616568
2,2,-0.1338750122608183,-0.0325318903589406,0.6518070702917571,1.5393714600371835,-0.0400879941715599,-0.159765138323319,-0.121662945682455,-0.1527101316829423,-0.380262136736724,1.4111855646652935
2,3,-0.1338098834923483,0.0144846305705402,0.6508168331869433,1.583975216021448,-1.7047512687445106,-0.144024962945043,-0.7121597337996443,-0.1363306047457291,2.2720543576883068,1.4783708630739778
2,4,-0.133669340937664,0.0263383274444314,0.6494965170471921,1.5750633766639524,-0.9474182526920134,-0.1584986746127002,-0.243428358753182,-0.1602738978583197,1.2704586121318548,1.377634853849471
2,5,-0.1337946199561017,-0.0278251122845802,0.6518070702917571,1.5661515373064572,-1.7344446004167386,-0.144382260232213,-0.5786105710769096,-0.1362026272981669,2.3931192717216394,1.5035758345743646
3,1,-0.13410967224766,-0.2367695653645431,0.5862863818565953,-0.4856212379697035,-0.1108009799064533,-0.1809047063934512,-0.121662945682455,-0.1685196942150399,0.0175594964635228,-0.4611118524116818
3,2,-0.1341096729508296,-0.2367633563519212,0.6316722491605488,-0.2626024580483816,-0.452427352547758,-0.1809009193892428,-0.5812291821106884,-0.1685158810007594,0.417060792291767,-0.091718526329476
3,3,-0.1341096348818367,-0.2367435855216706,0.6220999571473513,-0.1377475886498715,-0.5702823287725808,-0.1809003533773295,-0.6113432089991478,-0.1685174287324757,0.6197831510092684,-0.1588618863496408
3,4,-0.1341096535311185,-0.2367645063205208,0.6151682974136566,-0.3072062140326461,-0.3468170491774625,-0.1809029908108538,-0.2892540518443173,-0.1685187770000887,0.1857841688983142,-0.2512102178701924
3,5,-0.1341096392109159,-0.2367657996198982,0.6102171118895888,-0.3875018866436793,0.0829709680164367,-0.1809034071005405,0.1218678804590048,-0.1685194647343804,-0.2531245962790942,-0.419131525503384
