f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ela_level.qda_mda_10,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_level.lda_qda_10,ic.eps.s,disp.ratio_median_02,ic.m0
1,1,-0.2364580482621222,-0.1340998341284853,0.7174016441401084,-0.19349844597068,-0.7340150135778878,-0.1808589033119105,0.0353370383329414,-0.8108532702795608,-1.2689511253193473,-0.447897078171307
1,2,-0.2364577403674317,-0.1340997935362873,0.7174016441401084,-0.2098506093852636,-0.6901888292764605,-0.180858285117556,0.161188360451507,-0.7694814359957256,-0.9277998122519592,-0.8213854295532788
1,3,-0.236457807747346,-0.1340998304292064,0.7174016441401084,-0.226202772799848,-0.6989890920582655,-0.1808593504780423,0.2013698066700851,-0.7777475367517367,-0.9551457125109746,-0.7668906878925638
1,4,-0.2364579335629381,-0.1340998310936499,0.7174016441401084,-0.1813086514252621,-0.7165020528180767,-0.1808592401121791,0.0484781402409043,-0.7943210687675387,-1.0784264103999788,-0.6672051848546723
1,5,-0.2364579335629381,-0.1340998249057651,0.7174016441401084,-0.2803135680990173,-0.7165020528180767,-0.1808590344523423,0.1576503714762861,-0.7943210687675387,-1.1380494388335691,-0.5941024826268829
2,1,-0.0369354645450826,-0.1338451658541711,0.7148418306446213,-1.5447817681394973,1.5975292347776588,-0.1537465113501182,0.9840235106885528,1.4977033488591938,0.570845180631459,-0.3202996342828025
2,2,-0.032229016077841,-0.1338651247501741,0.713241947209942,-0.105791387656092,1.6062857151575645,-0.1597195055010607,-0.3139130162209892,1.4728637160873803,0.6206057532339301,-0.179410789989247
2,3,0.0147842123700833,-0.1337999960664206,0.7122820171491342,-1.7225743812653391,1.6501118994589918,-0.1439794560034208,2.2799383296122544,1.5390751831430285,0.6080535367215946,-0.7788529482571126
2,4,0.0266370791511144,-0.1336594536945477,0.7110021104013908,-0.987024339671136,1.641355419079086,-0.1584530519188716,1.3004208104725763,1.4397993130633364,0.547085627947397,-0.3030208137562332
2,5,-0.0275225676105995,-0.1337847325500281,0.713241947209942,-1.7514136512874243,1.6325989386991808,-0.1443367504331379,2.398334603533033,1.5639148159148415,0.6085018301684636,-0.6432806641255775
3,1,-0.2364523886900553,-0.1340997844317809,0.64972657485317,-0.1744704739973452,-0.3834055391664702,-0.1808589045093998,0.0751394143041742,-0.3722952946693966,-0.7659658779322123,-0.179410789989247
3,2,-0.2364461801122392,-0.1340997851349496,0.6937233693068535,-0.5062707352823622,-0.1642746176593342,-0.1808551175354775,0.4658344825678333,-0.0082562173746719,-0.7184467725640874,-0.6459389442065877
3,3,-0.236426410666504,-0.1340997470660063,0.6844440453857129,-0.6207358791844512,-0.0415963275368578,-0.1808545515280908,0.664088221929308,-0.07442635392654,-0.4790580719359847,-0.676509165138208
3,4,-0.2364473300003086,-0.1340997657152638,0.6777245349600595,-0.4036980738636071,-0.2081008019607614,-0.1808571889405226,0.2396559016519378,-0.1654361232502212,-0.674962308217784,-0.3495407151739177
3,5,-0.2364486232091186,-0.1340997513950798,0.6729248846560212,0.0137280613014139,-0.2869966901837102,-0.18085760522688,-0.1895779750918044,-0.3309234603855616,-0.8081054619379084,0.0678092575447312
4,1,-0.2364420201904769,-0.1340997402524032,0.5846113190617186,0.836093225023955,-0.0415963275368578,-0.1808566741327474,-0.9061470993231132,0.0083173146411302,-0.6642032654929246,0.3482578060913371
4,2,-0.2363873655394749,-0.1340996505158448,0.7058824834104166,0.0419727071993322,0.1249519292889455,-0.180850438577909,-0.1530608745975613,0.1324328174926355,-0.5566128382443404,-0.2405512318524876
4,3,-0.23644279582614,-0.1340998000258212,0.6521264000051892,0.1469238651147538,-0.1730748804411392,-0.1808565193054616,-0.292179655373205,-0.1489039217381992,-0.7171018922234802,0.0611635573422028
4,4,-0.2364416141008481,-0.1340996720144643,0.6694051410997265,0.3095535630743452,0.0154083597363273,-0.1808541451104886,-0.5076179126143231,0.0414230481689542,-0.690652578858202,0.0066688156814877
4,5,-0.2364473300003086,-0.1340997432852005,0.6770845815861878,1.172947791364389,-0.0152831039952415,-0.1808545370812226,-1.0533527120421184,0.0744874511929983,-0.6561339834492816,0.1302788394484769
5,1,-0.2364582483148766,-0.1340997971907264,0.7174016441401084,-0.9011011537290486,-0.7778411978793149,-0.1808588914359329,0.950033545176611,-0.8604912053194068,0.579362756121972,-1.3065215443376967
5,2,-0.2364582483148766,-0.1340997971907264,0.7174016441401084,-0.863639833906547,-0.7778411978793149,-0.1808578074462064,0.7898131872987589,-0.8604912053194068,0.4569786451267059,-1.295888424013656
5,3,-0.2364582483148766,-0.1340997971907264,0.7174016441401084,-0.8823704938177979,-0.7778411978793149,-0.1808587677190055,0.7333317204443422,-0.8604912053194068,0.5376714655631458,-1.3570288658768963
