f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ic.m0,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,ela_level.lda_qda_10,ic.eps.s
1,1,-0.1341097133262158,-0.2367745868706842,0.7228824951741755,-0.7739025109046733,-0.204375631941021,-0.4353642817485872,-0.1809045411169521,0.6532276875351181,0.0434052636249766,-0.8538063585246185
1,2,-0.1341096727339649,-0.2367742789544749,0.7228824951741755,-0.7307757829763657,-0.2207893130831171,-0.8062008246529421,-0.1809039229176714,1.2672455675239598,0.1695185733404855,-0.8128402881414282
1,3,-0.134109709626932,-0.2367743463390984,0.7228824951741755,-0.7394355954774545,-0.2372029942252138,-0.7520930016668972,-0.1809049882866473,1.2355951613389675,0.2097836662014613,-0.8210253171890187
1,4,-0.1341097102913764,-0.2367744721634838,0.7228824951741755,-0.7566690531910639,-0.1921399787260029,-0.6531152766924266,-0.1809048779199046,1.0414726700710135,0.0565737216675601,-0.8374363004294375
1,5,-0.1341097041034835,-0.2367744721634838,0.7228824951741755,-0.7566690531910639,-0.2915173572772425,-0.5805316117111459,-0.180904672258429,1.0309225346760211,0.1659732192520976,-0.8374363004294375
2,1,-0.1338550447209295,-0.0372380585333476,0.7203165600484535,1.5204307981524323,-1.5607425554106364,-0.3086727937812615,-0.1537919331037753,1.2334851342599686,0.9940666384683896,1.432108553886452
2,2,-0.1338750036428715,-0.0325312811327311,0.7187128505948774,1.5290475270092372,-0.1163386149061392,-0.1687842758173409,-0.1597649748519072,0.8199198267760753,-0.3065718328144473,1.4075125415984426
2,3,-0.1338098748744755,0.0144852330666476,0.7177506249227315,1.5721742549375448,-1.7392040340101589,-0.7639703286638355,-0.1440247999260317,1.368526867315934,2.292679193129291,1.4730746242696422
2,4,-0.1336693323199508,0.026338928243761,0.7164676573598706,1.56355752608074,-1.000886813182034,-0.2915166547856853,-0.1584985111776889,-0.1295923587736836,1.3111225898013552,1.3747724254080806
2,5,-0.1337946113382462,-0.0278245037321148,0.7187128505948774,1.5549407972239355,-1.768151798933493,-0.6293606226985529,-0.1443820972029323,1.2883458383139543,2.4113219353014115,1.4976706365576518
3,1,-0.1341096636294468,-0.2367689269030701,0.6550455852879016,-0.4288886874782128,-0.1852760757029445,-0.1687842758173409,-0.1809045423144509,0.2354423258932263,0.0832904971193392,-0.4195496424047053
3,2,-0.1341096643326164,-0.236762717891337,0.6991475952612476,-0.2132550478366749,-0.5183245876043951,-0.6320000286978719,-0.1809007553103513,1.0456927242290168,0.4747988843084488,-0.0590809631488204
3,3,-0.1341096262636236,-0.2367429470639164,0.6898460804305055,-0.092534676552841,-0.633220355599071,-0.662353197690043,-0.1809001892984542,0.9866119660170328,0.673465333047036,-0.1246021206747822
3,4,-0.1341096449129053,-0.236763867859772,0.6831105007254854,-0.2563817757649825,-0.4153660422585167,-0.3377062597737733,-0.1809028267319028,0.6890981478781095,0.2481494622293721,-0.2147192904887535
3,5,-0.1341096305927027,-0.2367651611589642,0.6782993723647567,-0.3340185027647929,0.0036304727142756,0.0766804821193535,-0.1809032430215775,0.446445033793172,-0.1819779605653907,-0.378583572021515
4,1,-0.1341096194500117,-0.236758557678838,0.5897746105273498,-0.092534676552841,0.8290894188786224,0.3551378150475352,-0.1809023119200253,0.1721415135232426,-0.9000387832527896,-0.0426699799084014
4,2,-0.1341095297133367,-0.2367038992080259,0.7113357871084266,0.0713555063035846,0.0319813765051698,-0.2294906138016833,-0.1808960763154974,0.7376287706950964,-0.1453848415816731,0.0802282312411696
4,3,-0.1341096792235074,-0.2367593333687102,0.657451149468266,-0.2219148603377636,0.1373273663808074,0.0700819671210531,-0.1809021570915058,0.7502889331690928,-0.2847932291286367,-0.1983492323935725
4,4,-0.1341095512119841,-0.2367581515608276,0.674771211566889,-0.0364397716950422,0.3005688861031131,0.0159741441350081,-0.1808997828776134,0.6532276875351181,-0.5006799691536788,-0.0098889385728016
4,5,-0.1341096224828129,-0.236763867859772,0.682469016944055,-0.0666414063381427,1.167211250405812,0.1387065231033554,-0.1809001748514709,0.5709366314541402,-1.0475508372874964,0.0228511776175603
5,1,-0.1341096763884089,-0.2367747869374202,0.7228824951741755,-0.817029238832981,-0.914640379544472,-1.2878924195287116,-0.1809045292408798,1.5942997647688757,0.9600059152620928,-0.9029574579553994
5,2,-0.1341096763884089,-0.2367747869374202,0.7228824951741755,-0.817029238832981,-0.8770381282007602,-1.2773347955314358,-0.1809034452425154,1.6259501709538673,0.7994520229736742,-0.9029574579553994
5,3,-0.1341096763884089,-0.2367747869374202,0.7228824951741755,-0.817029238832981,-0.8958392538726162,-1.3380411335157782,-0.1809044055229667,1.5710894668998816,0.7428529773483403,-0.9029574579553994
5,4,-0.1341096763884089,-0.2367747869374202,0.7228824951741755,-0.817029238832981,-1.005661702241553,-1.343319945514416,-0.18090297970335,1.6428303875858623,0.9524087279298334,-0.9029574579553994
5,5,-0.1341096763884089,-0.2367747869374202,0.7228824951741755,-0.817029238832981,-0.9704468954276002,-1.3987474715001205,-0.1809045752602933,1.6470504417438618,0.8102147050277089,-0.9029574579553994
6,1,-0.1339235206012664,-0.2295550041059978,0.6446214738396563,0.8907633369414282,-0.4974344479689991,-1.066182315585891,-0.1798631666461893,1.195504646837978,0.5136711594918435,0.760281369660225
6,2,-0.134016038114494,-0.2301909607590893,0.6204054610906553,0.8649131503710142,-0.337475664475113,-0.9078179556267344,-0.1800137992620485,1.0077122368070273,0.1664796984075815,0.7438703864198061
6,3,-0.1335180101524362,-0.2298803101908856,0.6300277178121126,0.8907633369414282,-0.2959938157705417,-0.8998997376287776,-0.1797705346123055,1.0836732116510028,0.1830668907496817,0.760281369660225
6,4,-0.1339475775041483,-0.2272543119915053,0.6723656473865246,0.933890064869736,-0.7490114152924066,-1.0437473645916766,-0.1793128090085553,1.229265080101969,0.703980702164945,0.797134462947001
6,5,-0.1340263981777518,-0.2324270359180599,0.5022120743620886,0.7872764233712037,0.0081069312075748,-0.6874275546835763,-0.1804618788411689,0.6848780937201099,-0.0552315519055267,0.6947192869890253
7,1,-0.1341096189262013,-0.2367550714829519,0.7143828350702214,-0.2219148603377636,-1.5362712489806016,-0.8431525086434137,-0.1809020438514015,0.9296412348840466,1.885596571909049,-0.2720963441123627
