f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.max,ic.eps.s,ela_level.qda_mda_10,ic.eps.ratio,ela_level.lda_mda_25,ela_meta.lin_simple.coef.min,disp.ratio_median_10,pca.expl_var_PC1.cov_init,ela_level.lda_qda_25
1,1,-0.2267130708505561,-0.1675144749162797,-0.8098464597166425,-0.2400175699568449,-0.7331033956965284,-0.2700335446546167,-0.1340960483678403,-1.3153753601414122,0.2265043075650221,-0.032071725282813
1,2,-0.2267127632886582,-0.1675144650371454,-0.7669323596536325,-0.257017884965714,-0.6874792323733124,-0.2721929907422216,-0.1340960077756625,-0.8105582453842067,0.3548431993672377,-0.23726423451797
1,3,-0.2267128305957439,-0.1675144650004047,-0.7755066054204677,-0.2740181999745836,-0.6966405279057464,-0.283331186351976,-0.1340960446685632,-0.8479259927056191,0.3442004619982737,-0.2156726498597506
1,4,-0.2267129562753463,-0.1675144658182062,-0.7926979681829721,-0.2273446078593234,-0.7148719618011374,-0.2688969940821924,-0.1340960453330064,-0.9875262562837296,0.3026729181468249,-0.1575637542359527
1,5,-0.2267129562753463,-0.1675144688286302,-0.7926979681829721,-0.3302737878221154,-0.7148719618011374,-0.2777620885470988,-0.1340960391451247,-1.0495708178740015,0.3037163237712331,-0.1632876978198432
3,1,-0.2267074173957237,-0.1675143211320915,-0.3549398505572026,-0.2202353852192508,-0.3681100891108009,0.309379937167086,-0.1340959986711606,-0.7675500833727672,0.4370635625706086,0.163266906390203
3,2,-0.2267012155285435,-0.1675105084961535,0.022669933014218,-0.5651872315810398,-0.1399892724947211,-0.0594307235844678,-0.134095999374329,-0.5362930810817569,0.4416545473180049,-0.1898786762412068
3,3,-0.2266814674509146,-0.1675120559931285,-0.0459669043492973,-0.6841894366431263,-0.0122780780575073,0.2054992148475422,-0.1340959613054047,-0.3529796036559571,0.4416545473180049,0.0865370803732432
3,4,-0.2267023641737389,-0.1675134040562525,-0.1403693502421526,-0.4585488919799493,-0.1856134358179371,0.0143314085658426,-0.1340959799546529,-0.5990426945082821,0.4412371850682417,-0.1461883220502467
3,5,-0.2267036559847644,-0.1675140916862369,-0.3120257504941927,-0.0245772142989892,-0.2677460455166734,-0.099323648676547,-0.1340959656344761,-0.8648472367756943,0.4395677360691886,0.0303844692654583
4,1,-0.226697060103096,-0.1675124354658578,0.0398612957767227,0.8303840823288843,-0.0122780780575073,-0.1762681224296447,-0.134095954491805,-0.7287722323788489,0.4416545473180049,-0.1736487602565054
4,2,-0.2266424645264053,-0.167507847367081,0.1686035959657527,0.0047869661708764,0.161102858287661,0.0142177535086,-0.1340958647552914,-0.5116162668129003,0.4416545473180049,-0.1866182020478518
4,3,-0.2266978349004014,-0.1675131340358317,-0.1232208587084823,0.1138980788641658,-0.1491505680271551,-0.204681886740242,-0.1340960142651932,-0.644871063864732,0.4412371850682417,-0.2899390064861757
