f_id,i_id,disp.diff_mean_05,ic.eps.max,disp.ratio_mean_05,disp.diff_median_02,pca.expl_var_PC1.cor_init,disp.ratio_mean_10,ela_meta.quad_simple.adj_r2,ic.eps.s,ela_meta.lin_simple.coef.max,ela_level.lda_mda_25
1,1,-1.3940133635091392,-0.2367752195018592,-1.3938457183921895,-1.2471050528048315,0.57762207153857,-1.4135952977879187,1.174666594809635,-0.8991872760109842,-0.1685198480249801,-0.3208158700492172
1,2,-0.9421276438586031,-0.2367749115856063,-0.9419764885578088,-0.8951137557310288,1.2086037142360826,-0.869593521307713,1.174666594809635,-0.857369790677814,-0.1685198381443473,-0.3225351363043062
1,3,-0.932642994270361,-0.2367749789702394,-0.9325991763952274,-0.9242911648359112,1.1760788872929118,-0.9078323729701138,1.174666594809635,-0.8657249326025231,-0.168519838107601,-0.331402930672662
1,4,-1.117755594282831,-0.2367751047946426,-1.1183871736163675,-1.0510430884942965,0.97659328204146,-1.0643952184557968,1.174666594809635,-0.8824769921615655,-0.1685198389255265,-0.3199109930728541
1,5,-1.1802154818151565,-0.2367751047946426,-1.1799257846833064,-1.1127209908449192,0.965751673060408,-1.124278703134654,1.174666594809635,-0.8824769921615655,-0.1685198419364073,-0.3269690334884841
2,1,0.6087744968607187,-0.0372386628630616,0.6087965103290549,0.6539181802139478,1.1739105654967006,0.633265497801398,1.1696143244190371,1.4342367607218436,-0.1443864208611923,0.3970230352994048
2,2,0.6079416983602876,-0.0325318847948547,0.6076243463087323,0.7054442431012944,0.7489194934392696,0.6000770605095042,1.164877820927852,1.409129559238092,-0.1527101316853604,1.1484328764710872
2,3,0.6648958624730972,0.0144846360731579,0.6650603833045423,0.6921884239460097,1.3126831604542295,0.7003638601524055,1.1689827906202126,1.4760542460550137,-0.1363306047481407,0.7969786588517696
2,4,0.6596677385537246,0.0263383329315519,0.659785645213091,0.6297801734325614,-0.2268253148558568,0.5979125972078574,1.1680354899219756,1.3757089915392546,-0.1602738978607408,6.235922700675746
2,5,0.6220992728676148,-0.0278251067266479,0.6222763965627651,0.6931013591495419,1.2302869321981964,0.5712175498208975,1.1689827906202126,1.5011614475387651,-0.1362026273005784,1.0526968923719011
3,1,-0.7619655682653619,-0.2367695595334424,-0.7620493114382826,-0.7270971608729971,0.1482943558887167,-0.7859009403107577,0.9283684132679882,-0.4559052211955295,-0.1685196942174643,0.1404904125005464
3,2,-0.6324191348649828,-0.2367633505208286,-0.63252518719263,-0.6783099035962465,0.9809299256338871,-0.567290146844574,1.092882967861832,-0.0879447708313297,-0.1685158810031838,-0.1531421663291868
3,3,-0.3818855859853218,-0.2367435796906039,-0.3816820868435834,-0.4321460553158751,0.9202169153399692,-0.3558942310505423,1.0452021660505642,-0.1548276819386281,-0.1685174287349001,0.0577846568609853
3,4,-0.6341309984492023,-0.2367645004894267,-0.6342834332231136,-0.6334300089906126,0.6144835420741642,-0.6192372660840639,0.9220530752797408,-0.2468177945296781,-0.1685187770025131,-0.0944156505632403
3,5,-0.8333549063856421,-0.2367657937888024,-0.8335513166779628,-0.7724882991926093,0.3651265355098551,-0.8890736910225209,0.9637343060021736,-0.4140877358623592,-0.1685194647368048,-0.184903348199522
4,1,-0.7352697496682125,-0.2367591903077396,-0.735675620981022,-0.6225843387726524,0.0832447020023752,-0.7505480397172172,0.542343378736368,-0.0711927112722873,-0.168517808265192,-0.2461635194992845
4,2,-0.5834690896729828,-0.236704531829175,-0.5832942983390775,-0.5116079354313011,0.6643549433870254,-0.5146215398378691,0.9973634807895904,0.0542597447272235,-0.168513219470442,-0.0945061382608768
