f_id,i_id,disp.ratio_median_05,disp.diff_median_02,disp.diff_median_25,ela_meta.lin_simple.coef.max,ic.eps.max,disp.diff_mean_10,ela_meta.lin_simple.intercept,ic.eps.s,disp.diff_mean_25,ela_level.lda_qda_50
1,1,-1.357937590245884,-1.3009245971057426,-1.4458921765560084,-0.1685198480699464,-0.2367752097776092,-1.5016159514731156,-0.1809047202315976,-0.89846582234419,-1.5454198659212466,-0.2610231177677998
1,2,-0.9046730349971772,-0.9218193295003682,-0.7145868002451163,-0.1685198381893136,-0.236774901861357,-0.8994946701567856,-0.1809041020322975,-0.8566649339469214,-0.7528064127895892,-0.4201058930736203
1,3,-0.892745020385369,-0.9532442811360864,-0.7737315659003556,-0.1685198381525673,-0.2367749692459899,-0.9418949112806012,-0.1809051674013068,-0.8650167598005217,-0.8279011496180146,-0.4137337318374482
1,4,-1.077943141989758,-1.0897599346124074,-1.0068597183696293,-0.1685198389704928,-0.2367750950703928,-1.1154078027843115,-0.1809050570345607,-0.8817621706369898,-1.0814416705170475,-0.3748812487446778
1,5,-1.1394665857769788,-1.1561888999600036,-1.0632245841804568,-0.1685198419813736,-0.2367750950703928,-1.1814057971526315,-0.1809048513730786,-0.8817621706369898,-1.145042314973775,-0.3540389713680321
2,1,0.7357428692477953,0.746534892571669,0.6443049305955191,-0.1443864209059808,-0.0372386535738491,0.7652195587282663,-0.1537921113677472,1.4340321020492444,0.6296455472163582,-0.685170100050495
2,2,0.7338594985196153,0.8020300199283639,0.6317474519880046,-0.1527101317302102,-0.0325318755159042,0.7289395905047638,-0.1597651533032867,1.408934865359176,0.6174809661229784,-0.4944035230425973
2,3,0.8060553764331909,0.7877531019762164,0.7577056725244461,-0.1363306047928698,0.0144846452496011,0.8397985542764069,-0.1440249778835542,1.4758329904465126,0.7472684258200655,-0.6490611863788538
2,4,0.7884772496368427,0.7205375295789156,0.5164295377525868,-0.1602738979056463,0.0263383420821513,0.7264788622252564,-0.1584986895893324,1.3755275619447755,0.5128847255405289,0.58240322363107
2,5,0.7602266887141397,0.788736360788348,0.6848531248777981,-0.1362026273453066,-0.0278250974579593,0.6965715492897078,-0.1443822751716652,1.500930227136581,0.6799322013425361,-0.6689299391221956
3,1,-0.7470976840727659,-0.7408603777157091,-0.7860973272772206,-0.1685196942624305,-0.2367695498092047,-0.8072489074737219,-0.1809047214290965,-0.4553597016814369,-0.8149702956998542,0.0307687655052402
3,2,-0.5895223331483532,-0.6883150267954085,-0.2516855468429272,-0.16851588104815,-0.2367633407966045,-0.5647725285469009,-0.1809009344248781,-0.0875452910888889,-0.2946710476743361,-0.6355645948716843
3,3,-0.3515898311549196,-0.4231891206923039,-0.2561909017631806,-0.1685174287798663,-0.2367435699664228,-0.3296152388616905,-0.1809003684129632,-0.1544016570469576,-0.2470663484348882,-0.2825291619398801
3,4,-0.6133783623719695,-0.6399780235910297,-0.4846219820815518,-0.1685187770474794,-0.2367644907652,-0.6221264261384906,-0.1809030058464946,-0.2463552596950947,-0.5050129380764048,-0.1522981166756161
3,5,-0.8268270448990614,-0.7897480058548818,-0.964681927626833,-0.1685194647817711,-0.2367657840645729,-0.9213888422847084,-0.1809034221361823,-0.4135588132841685,-0.9999293987810908,-0.2465087505076306
4,1,-0.7169637524218815,-0.6282969089029089,-0.7732522728237329,-0.1685178083101582,-0.2367591805835245,-0.7677510638077866,-0.1809024910346009,-0.0707998802524206,-0.7986869981732829,-0.2478362840984996
4,2,-0.5587606112547435,-0.5087719677002187,-0.3005734406584416,-0.1685132195154082,-0.236704522105079,-0.5071662485676688,-0.1808962554298773,0.0546027849393848,-0.3061651400460339,0.0175376807162443
4,3,-0.6893409817419051,-0.6866238216385425,-0.5967765620112605,-0.168518506986099,-0.236759956273505,-0.6743064847834251,-0.1809023362060765,-0.2296516079878945,-0.6209117028243573,-0.4365230584807023
4,4,-0.7050357378100733,-0.6571260572746012,-0.5481762440417203,-0.1685158552751446,-0.2367587744654574,-0.7327330075224922,-0.1808999619921097,-0.0373508177087523,-0.5667936845742805,-0.3406751332199492
4,5,-0.658579259848294,-0.620273516995917,-0.6588929447415603,-0.168515756679272,-0.2367644907652,-0.7004911575012572,-0.1809003539659795,-0.0039435142943519,-0.6856617565182547,-0.2935919418637899
5,1,0.7941273618213828,0.7559348468156452,0.9784680636168548,-0.1685198278551342,-0.2367754098443732,0.8620082043888817,-0.180904708355525,-0.9486185365950583,0.982226830718187,-0.8752729102629578
5,2,0.6936809229851042,0.6204811128564264,0.9899710974557988,-0.1685198278551342,-0.2367754098443732,0.7637683599993262,-0.1809036243571265,-0.9486185365950583,0.9934335707805924,-0.8369514406065349
5,3,0.7727824935686731,0.7098396737029259,0.9915048353009916,-0.1685198278551342,-0.2367754098443732,0.8050959759756648,-0.1809045846376079,-0.9486185365950583,0.9944871959146644,-0.8690777535055686
5,4,0.7621100594423184,0.6709812854474939,1.0005155451414982,-0.1685198278551342,-0.2367754098443732,0.8139924551400368,-0.1809031588179465,-0.9486185365950583,1.0033951175027302,-0.8613780586785273
5,5,0.7809437667241212,0.692573648961899,1.0317654537372971,-0.1685198278551342,-0.2367754098443732,0.8866785827808638,-0.1809047543749399,-0.9486185365950583,1.0324177007412672,-0.8814238159006517
6,1,-0.0213721634806541,-0.1053998726114422,0.1066339572401913,-0.1681103972001932,-0.2295556260046666,0.005359285135836,-0.1798633457281611,0.7485142359857485,0.122851857727585,-0.3789081006369808
6,2,-0.2379597972213795,-0.2376285176668699,-0.2236948311681626,-0.1682681919942856,-0.2301915827465731,-0.2146550612908686,-0.1800139783487465,0.7317688251492803,-0.1933314665972005,-0.251332122554455
6,3,-0.2699770996004425,-0.3487367634377155,-0.054504375120355,-0.168244947381383,-0.2298809321349852,-0.1894799181236028,-0.1797707136913709,0.7485142359857485,-0.0543487330027554,-0.2618196379223212
6,4,-0.1186796511032979,-0.1325378158262682,0.0378074714371738,-0.1680809849483044,-0.2272549335688692,-0.0422778905315461,-0.1793129880732593,0.7861183318915828,0.0557072014562505,-0.2063287338239908
6,5,0.074051953413811,0.1340826436712762,0.00962503853176,-0.1683652070951764,-0.2324276582178245,0.0597476896726356,-0.1804620579419256,0.6816161108984119,0.0285045161765659,-0.1826986359065197
7,1,0.3038231822517979,0.2467641035415319,0.3334354410980458,-0.1685189373773281,-0.2367556943871515,0.3229825199829919,-0.1809022229659687,-0.3049015589288312,0.3716031734717435,0.0616117959331003
7,2,0.1939598897746192,0.1517026415846704,0.2606787520667225,-0.1685192198913228,-0.236759956273505,0.2085271071874535,-0.1809030316625063,-0.3467024473260998,0.3130790864791827,0.3116748733331533
