f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ela_level.qda_mda_10,disp.diff_mean_25,ic.eps.max,disp.ratio_mean_25,disp.ratio_median_02,ela_level.lda_qda_25,ela_level.lda_mda_25
2,1,-0.1338550526862963,1.4305616752428436,-0.1443864192169295,-1.5337229431546608,0.4252836402541302,-0.0372386119602488,0.4246129493109823,0.5474902038278165,0.4701871155142202,0.4036738973063429
2,2,-0.1338750116082592,1.4056803038496588,-0.152710130038846,-0.0991952931938412,0.4142628406268953,-0.0325318339482748,0.4136210329660407,0.5985187197259609,1.9843476683286,1.1526246170741057
2,3,-0.1338098828397949,1.4720030275965503,-0.1363306031060571,-1.7109641693275055,0.5318469626340101,0.0144846863580218,0.5312345378569039,0.5856466616615637,0.6946865411933637,0.8023205954486253
2,4,-0.1336693402851227,1.3725603419286143,-0.1602738962121803,-0.977695283789682,0.3195013194226375,0.0263383830747973,0.3190905523995546,0.523125236777352,1.473311463953631,6.223464732380335
2,5,-0.1337946193035496,1.4968843989897351,-0.1362026256585294,-1.7397140003287868,0.4708420639100236,-0.0278250559363008,0.4707789979597315,0.5861063780210063,0.4671694614647665,1.057201945889822
3,1,-0.1341096715950808,-0.4425791711542283,-0.1685196925666732,-0.1676613855783346,-0.8835013989424052,-0.2367695062467934,-0.8834250957369186,-0.823383980030427,0.1047702635256925,0.1479808228191551
3,2,-0.1341096722982504,-0.0779283904035286,-0.1685158793523938,-0.4984326370982265,-0.4121235755160971,-0.2367632972342538,-0.411871884538977,-0.774654045929497,-0.2372773140798541,-0.1446907915409589
3,3,-0.1341096342292576,-0.1442097141980189,-0.1685174270841096,-0.6125427910723825,-0.3689949344551852,-0.2367435264042653,-0.3690034107937096,-0.5291655099870747,0.0304517603077457,0.0655457363707286
3,4,-0.1341096528785393,-0.2353724093856939,-0.1685187753517223,-0.3961780835369698,-0.6026879533224617,-0.2367644472028381,-0.6031312289409395,-0.7300615590635513,-0.1949599793863489,-0.0861564686689363
3,5,-0.1341096385583368,-0.4011378188005214,-0.1685194630860138,0.0199534909557971,-1.0510696200462717,-0.2367657405021984,-1.0516014158145042,-0.8665973178180446,-0.0239361905835754,-0.176348029334611
4,1,-0.1341096274156457,-0.061327009490605,-0.1685178066144014,0.839768259507786,-0.8687491474728783,-0.2367591370212144,-0.868036412853999,-0.7190283664369248,-0.2215574418222337,-0.2374077159052727
4,2,-0.1341095376789706,0.0629970475705156,-0.1685132178196526,0.0481105419364332,-0.422536929494587,-0.2367044785433029,-0.4217646092494222,-0.6086964401706687,-0.2341193040281002,-0.0862466602296021
4,3,-0.1341096871891414,-0.2188124284251716,-0.1685185052903419,0.1527362155802695,-0.7076892726055679,-0.2367599127111874,-0.7075544342178733,-0.773274896851169,-0.3341931336681308,-0.2599556060716913
4,4,-0.134109559177618,-0.0281656476171593,-0.1685158535793883,0.3148615512266678,-0.6586597309568449,-0.2367587309031513,-0.65809081066564,-0.7461516316440464,-0.1028864418774285,-0.1042849723627371
4,5,-0.1341096304484469,0.0049543143038851,-0.1685157549835157,1.1755781412031605,-0.7663511666843943,-0.2367644472028381,-0.7658115908460555,-0.7107534719669565,-0.08871048564511,-0.22829836827804
5,1,-0.134109684354043,-0.93159540891845,-0.1685198261593768,-0.8920385708064845,0.7447132735443072,-0.2367753662819046,0.7444777149487447,0.5562248146572286,-1.483287724499733,-1.462299301305801
5,2,-0.134109684354043,-0.93159540891845,-0.1685198261593768,-0.8546934295058518,0.7548662936733348,-0.2367753662819046,0.7543704396591924,0.4307222485293607,-1.4997795547700044,-1.4521076549505798
5,3,-0.134109684354043,-0.93159540891845,-0.1685198261593768,-0.8733660001561682,0.755820851121363,-0.2367753662819046,0.7565688229281802,0.5134711932290547,-1.5112887469586194,-1.4664481130964222
5,4,-0.134109684354043,-0.93159540891845,-0.1685198261593768,-0.982437523954842,0.7638912004546927,-0.2367753662819046,0.7642631643696376,0.4776133171925199,-1.547009349544016,-1.5148809811738897
5,5,-0.134109684354043,-0.93159540891845,-0.1685198261593768,-0.9474635027367888,0.7901849192503796,-0.2367753662819046,0.7906437635974939,0.4973811206485575,-1.511008034954019,-1.42874804073817
6,1,-0.1339235285667051,0.7509400566230107,-0.1681103955045496,-0.4776853363756523,-0.0338584922474522,-0.2295555825127135,-0.0337499622730299,-0.2367859053814941,-0.148291608621538,-0.0401587727294424
