f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,disp.diff_median_25,nbc.dist_ratio.coeff_var,ela_level.lda_qda_50,disp.diff_mean_02,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_50,ela_level.qda_mda_50
1,1,-0.2366137365105274,-0.1341091243897864,-0.7357886019737772,-1.484917124368295,-1.3344516416536052,-0.2134272296288479,-1.4094716237701996,0.6815471173013756,-0.1782194715507449,-0.6856855366303736
1,2,-0.2366134286053406,-0.1341090837975387,-0.692160068028267,-0.81441281122519,-0.9730791338519916,-0.3718111414177031,-1.0368654657383374,0.6815471173013756,-0.8381635866870157,-0.2622697070535113
1,3,-0.2366134959875519,-0.1341091206905029,-0.7009206427765663,-0.8686402540367376,-1.0006648214704352,-0.3654669736019603,-1.0617475918698736,0.6815471173013756,-0.7645899850555771,-0.2338389079452325
1,4,-0.2366136218074331,-0.1341091213549472,-0.7183546223751717,-1.0823860253782018,-1.1496275346100318,-0.3267851726143068,-1.2072123292542376,0.6815471173013756,-0.568640191765816,-0.3688852037095554
1,5,-0.2366136218074331,-0.1341091151670548,-0.7183546223751717,-1.13406469048872,-1.1661789471810982,-0.3060344570503149,-1.26919679730972,0.6815471173013756,-0.5464571962990507,-0.4150852522605086
2,1,-0.0370843509950282,-0.1338544558042578,1.5852406869375566,0.4315000401467661,0.1413826459331376,-0.6357108998642238,0.5388798296626335,0.6790060716294327,-1.4829493215876637,1.040977816356328
2,2,-0.0323777420832227,-0.1338744147246513,1.5939576767368595,0.4199865960490144,0.1496583522186705,-0.4457823758804256,0.5845215994897115,0.6774179180844686,-0.5209467515122711,1.2798472981499909
2,3,0.0146370890629971,-0.1338092859613081,1.6375862106823695,0.5354725925714996,0.1993125899318693,-0.5997606155750149,0.5662280836799874,0.6764650259574898,-1.604955796654874,0.6670620387983444
2,4,0.0264903599126279,-0.133668743417687,1.6288692208830666,0.3142562658994333,0.1027626832673159,0.6262938715382114,0.5170895653580931,0.6751945031215185,0.5020590560967276,1.069916308305827
2,5,-0.0276711331714173,-0.133794022426263,1.6201522310837642,0.4686770390272921,0.1496583522186705,-0.6195420832782683,0.5697984479325893,0.6774179180844686,-1.5417342595745918,0.8295237479885076
3,1,-0.2366080767455235,-0.1341090746930212,-0.386760330409697,-0.8799779203620042,-0.7579107704281303,0.077082788267038,-0.835894446983623,0.6143682223493875,0.1552648936329618,0.2949231861846268
3,2,-0.2366018679560548,-0.1341090753961908,-0.1686176606821468,-0.3899973795607446,-0.501363875576603,-0.5863233156875045,-0.7728793583191415,0.6580424448359047,-1.4256432499651863,0.6632543424891998
3,3,-0.2365820978363718,-0.1341090373272009,-0.046492633593916,-0.3941281572141364,-0.4655024816726262,-0.2348387960069796,-0.5339962243048387,0.648831154275112,-0.6433229431705937,0.6366004683251881
3,4,-0.2366030178833243,-0.1341090559764812,-0.2122461946276568,-0.603567373129724,-0.5896380759556288,-0.1051798662727376,-0.7502793206789594,0.6421609093862621,-0.5098552537788884,0.6942236058035746
3,5,-0.2366043111362202,-0.1341090416562798,-0.2907862727193742,-1.0437149154315553,-0.8048064393794846,-0.1989766251596563,-0.8693528088971824,0.6373964487513691,0.0258640867434968,-0.348577490060785
4,1,-0.2365977078924792,-0.1341090305135895,-0.046492633593916,-0.8682008096055256,-0.509639581862136,-0.2002983267879359,-0.7266854703086716,0.5497303730693422,0.227729345491062,-0.1673311457455095
4,2,-0.2365430513782799,-0.1341089407769215,0.1193045123888214,-0.4348207115443581,-0.4020554001502048,0.0639098287051833,-0.6220774784953205,0.6701124117776328,-0.5209467515122711,1.379862787870184
