f_id,i_id,ic.eps.max,ic.eps.s,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,disp.diff_median_25,ela_level.lda_qda_50,disp.ratio_median_05,ela_level.qda_mda_10,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50
1,1,-0.2367751814738077,-0.8758125290008748,0.6794143111193759,-0.1685198476611431,-1.4820780707220442,-0.2134989836637789,-1.37173292795475,-0.1382597412735882,-0.1341097218169262,-0.1085381437962158
1,2,-0.2367748735575575,-0.8344905425960382,0.6794143111193759,-0.1685198377805102,-0.8124386898629654,-0.3718781486862853,-0.9590071326957506,-0.1549129417526296,-0.1341096812246753,-0.4927038803738689
1,3,-0.2367749409421899,-0.8427466837358658,0.6794143111193759,-0.1685198377437639,-0.8665961807516863,-0.3655341710052724,-0.9481459275573558,-0.1715661422316716,-0.1341097181176424,-0.4391759642376471
1,4,-0.2367750667665921,-0.8593002467212199,0.6794143111193759,-0.1685198385616895,-1.0800662258754612,-0.3268535293113198,-1.1167804283903269,-0.12584553728012,-0.1341097187820868,-0.3032974078918535
1,5,-0.2367750667665921,-0.8593002467212199,0.6794143111193759,-0.1685198415725702,-1.1316782269169,-0.3061034356463405,-1.1728013812094156,-0.2266730965441373,-0.134109712594194,-0.3020621482887098
2,1,-0.0372386265362837,1.4299625685301474,0.6768723115698561,-0.1443864204987941,0.4318669678979861,-0.6357699980561914,0.5346943950213751,-1.5144196717689549,-0.133855053211355,-0.9736316191977692
2,2,-0.0325318485082074,1.4051528644049656,0.6752835618514065,-0.152710131322466,0.4203683758292301,-0.4458471662308716,0.5329794678942602,-0.0489380296132726,-0.1338750121333193,-0.1336550890601352
2,3,0.0144846719589365,1.4712845549349838,0.6743303120203363,-0.1363306043862228,0.5357053985646907,-0.599820791197119,0.598718341100334,-1.695485378795628,-0.1338098833648505,-1.120215758770807
2,4,0.0263383687162644,1.3721282998456557,0.6730593122455766,-0.1602738974973954,0.3147744349230208,0.6261969510591611,0.5827123545805948,-0.9463941427020004,-0.1336693408101686,-0.2806509818342212
2,5,-0.0278250704801312,1.4960942590601654,0.6752835618514065,-0.1362026269386682,0.4689960094635111,-0.6196016660497214,0.5569884476738708,-1.724855568731393,-0.1337946198286041,-1.0403356377675224
