f_id,i_id,ic.eps.max,disp.diff_mean_05,ic.eps.s,ela_meta.lin_simple.coef.max,disp.diff_median_25,ela_level.lda_mda_25,ela_level.lda_qda_50,ela_level.mmce_mda_10,ela_level.lda_mda_10,ic.h.max
1,1,-0.2367745868706842,-1.4497994910407006,-0.8538063585246185,-0.1685198286391383,-1.408826776423212,-0.3006868632684648,-0.2306654819176614,0.2065169268386515,0.4358305386435693,0.8665559802312561
1,2,-0.2367742789544749,-1.0043117612562735,-0.8128402881414282,-0.1685198187585055,-0.7587715591838566,-0.3023971792892943,-0.388513929570381,-1.705203231822553,1.3477125621612642,0.6619226470586742
1,3,-0.2367743463390984,-0.9949613993635932,-0.8210253171890187,-0.1685198187217592,-0.8113451689671418,-0.3112188092914698,-0.3821912101094653,-1.4257979778643766,1.076017918242242,0.7006033380851974
1,4,-0.2367744721634838,-1.1774530965958545,-0.8374363004294375,-0.1685198195396847,-1.0185721041258928,-0.2997866969417119,-0.3436401845074939,-0.8405174985204136,0.8604221684117598,0.710585451898493
1,5,-0.2367744721634838,-1.2390286505232604,-0.8374363004294375,-0.1685198225505654,-1.0686746690409197,-0.3068079942903821,-0.3229596229374158,-0.7846364477287731,0.8439224936798345,0.7380362648850615
2,1,-0.0372380585333476,0.524632048521936,1.432108553886452,-0.1443864015520147,0.449143339175706,0.4134150837443542,-0.6515214960348567,1.1594358982328457,-2.53741084804925,-0.4735427992038277
2,2,-0.0325312811327311,0.5238110411362371,1.4075125415984426,-0.152710112349741,0.4379810330466778,1.1609132014796937,-0.4622350821736956,0.6359186855533221,-1.0678398185924962,0.1540826068072023
2,3,0.0144852330666476,0.5799588240137462,1.4730746242696422,-0.1363305854645538,0.5499449281118911,0.8112886001689931,-0.6156927524230015,-0.7081676413823309,1.412611282773506,-1.244661091280996
2,4,0.026338928243761,0.5748047220924151,1.3747724254080806,-0.1602738785010937,0.3354752752358318,6.221918340380704,0.6062166911729737,-0.2581781271128414,3.0966780837452754,0.3874145171930147
2,5,-0.0278245037321148,0.537768166693116,1.4976706365576518,-0.1362026080173981,0.4851865108747815,1.0656756041092712,-0.6354073429643287,-0.4140568477421396,1.281713863233568,-0.8678362948290455
3,1,-0.2367689269030701,-0.8267004968167775,-0.4195496424047053,-0.1685196748316229,-0.8223370582087036,0.1582179301099987,0.0588623800634322,0.2653390855666886,0.8978214311374563,0.64819724056539
3,2,-0.236762717891337,-0.6989882368191941,-0.0590809631488204,-0.1685158616173545,-0.3472999843970105,-0.1338860429212118,-0.6023008813425901,-0.0758294350559262,1.0617182001412395,-1.424339139920339
3,3,-0.2367429470639164,-0.4520018482881541,-0.1246021206747822,-0.1685174093490659,-0.3513047812524634,0.0759427278448135,-0.2520046600982516,-1.5610889429388617,1.7668043003521494,-0.6943970673230178
3,4,-0.236763867859772,-0.7006758631120195,-0.2147192904887535,-0.1685187576166747,-0.5543565026682954,-0.0754652483149698,-0.122784081115789,-0.0375950318827022,0.942920542071386,-0.63076109176325
3,5,-0.2367651611589642,-0.8970790743797313,-0.378583572021515,-0.1685194453509642,-0.9810803888833556,-0.1654818809902276,-0.216263732034465,0.4947455046060332,0.1718357429327704,0.602029964178895
