f_id,i_id,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.coef.max,disp.diff_mean_05,disp.ratio_mean_02,ela_level.lda_qda_50,disp.ratio_median_02,disp.ratio_mean_10,ela_level.lda_mda_25
1,1,0.6824244127959399,-0.236775145312735,-0.7965615744218395,-0.1685198480272413,-1.4718624727844822,-1.4104889913990213,-0.2610064978106086,-1.3009017871377748,-1.5015892761384988,-0.3208187431497026
1,2,0.6824244127959399,-0.2367748373964872,-0.7530781535144208,-0.1685198381466084,-0.9773615002826256,-1.0006946715617355,-0.4200878209166041,-0.921438676059158,-0.8993227019809628,-0.3225380079348326
1,3,0.6824244127959399,-0.2367749047811192,-0.7618095896806457,-0.1685198381098621,-0.966982397245574,-1.0273646398114715,-0.413715717849215,-0.951855561441281,-0.9416570898196216,-0.3314057947212953
1,4,0.6824244127959399,-0.2367750306055203,-0.7791855820512426,-0.1685198389277877,-1.1695521106662692,-1.1878973333146887,-0.3748635894244408,-1.0889808643934755,-1.1149884513477193,-0.3199138669470021
1,5,0.6824244127959399,-0.2367750306055203,-0.7791855820512426,-0.1685198419386684,-1.2379023013980708,-1.2555980219486325,-0.3540215023081894,-1.155299647275809,-1.1812857002271313,-0.326971901328064
2,1,0.6794273011125342,-0.0372385919929555,1.516747729856649,-0.1443864208634445,0.7197990504734654,0.732853264671079,-0.6851496082336869,0.7455063703742446,0.7644986162818337,0.3970195484523983
2,2,0.677554106310406,-0.0325318140030395,1.5254357260419475,-0.1527101316876157,0.7188877145970411,0.7831158971417348,-0.4943847726537296,0.8008551290204036,0.727755562686018,1.148428747174678
2,3,0.6764301894291287,0.0144847060829175,1.5689191469493664,-0.1363306047503899,0.781212962590262,0.763113420954433,-0.6490410241851493,0.7868932799925431,0.8387834855081618,0.7969748300459047
2,4,0.6749316335874261,0.0263384027441415,1.5602311507640678,-0.1602738978629989,0.7754917984771554,0.7092606004501594,0.5824121443035147,0.7190785847143679,0.7253592765819414,6.235914221616239
2,5,0.677554106310406,-0.0278250360131235,1.5515431545787697,-0.1362026273028276,0.7343804244962496,0.7672164929928545,-0.6689095955549942,0.7873919174578238,0.6958050812983485,1.0526928449289925
