f_id,i_id,ela_meta.quad_w_interact.adj_r2,disp.diff_median_05,disp.ratio_median_05,ela_level.lda_qda_50,ela_meta.quad_simple.adj_r2,disp.ratio_mean_10,pca.expl_var_PC1.cor_init,disp.ratio_median_02,disp.diff_median_02,ela_meta.lin_simple.adj_r2
1,1,0.7227373050311902,-1.2870997490526592,-1.2884586596497147,-0.2128769309013673,1.1982983193909114,-1.412489975998129,0.6440528710812872,-1.24144910640287,-1.2406905124891885,0.5775789403362315
1,2,0.7227373050311902,-0.8783827341877452,-0.8786980010391073,-0.3811512468434058,1.1982983193909114,-0.870990001116076,1.2605111078096936,-0.8965758608489645,-0.8964748519815928,1.424112584060731
1,3,0.7227373050311902,-0.8683202187763647,-0.8679148258125123,-0.3744109126304284,1.1982983193909114,-0.90905299669797,1.228734910040188,-0.9242201026082132,-0.9250077197838092,1.365828851241664
1,4,0.7227373050311902,-1.0355368637681486,-1.035337809593855,-0.3333135970818583,1.1982983193909114,-1.064895827665352,1.0338408970538835,-1.0488457826704003,-1.0489596398607743,1.0939494328191972
1,5,0.7227373050311902,-1.092021116944031,-1.0909562923415554,-0.311267087260245,1.1982983193909114,-1.124503915086057,1.0232488311307195,-1.109119293391385,-1.1092750512724696,1.0954524517171105
2,1,0.7201715437433334,0.6040270362168185,0.6042723603868152,-0.6615304269526715,1.1933911245087647,0.624957542225194,1.2266164968555546,0.618419224416094,0.6183383136031858,1.3564767336546504
2,2,0.7185679429384232,0.6022381445881286,0.6025697537720899,-0.4597416714516624,1.1887906293067527,0.5919217347390229,0.8114075126673497,0.6687226807321044,0.6687261439773134,0.7389029687122165
2,3,0.7176057824554767,0.6677115781981774,0.6678363406699016,-0.6233351997457999,1.1927777251484966,0.6917473269255009,1.3621949406721114,0.6560335205803175,0.6557631514714253,1.581762566241817
2,4,0.7163229018115485,0.6514326643770998,0.6519453455991306,0.6792811947885501,1.1918576261080942,0.5897672255551407,-0.1418784204178185,0.5944004569859276,0.594733525596596,-0.3760030493396199
2,5,0.7185679429384232,0.6265223484475935,0.6264062463782483,-0.6443519362848752,1.1927777251484966,0.56319494562061,1.2816952396560304,0.6564867048714527,0.6566559195503433,1.4169314937707027
3,1,0.65490499098348,-0.7350925147296882,-0.7362465809404065,0.0957742066012199,0.9590725688862756,-0.7876823126726827,0.2246070605238154,-0.732976331749148,-0.7321698147375376,-0.0131074865435382
3,2,0.6990040131185162,-0.594396188133231,-0.5937951608417045,-0.6090587974197023,1.1188631022361668,-0.5700768851007169,1.038077723423155,-0.6849387968888144,-0.684460288600164,1.0687321157542142
3,3,0.6897031284500359,-0.3787453022946694,-0.3786991918480488,-0.2356255588701658,1.0725514505359102,-0.3596531548083547,0.9787621542534122,-0.4429383854226035,-0.4437343038007348,0.9800540007773528
3,4,0.6829680050694121,-0.6156392762239228,-0.6153615112948945,-0.0978699783924415,0.9529385752835924,-0.621785105513858,0.6800658952200608,-0.6409799206486974,-0.6405718098405585,0.5941121482132734
3,5,0.6781572026546807,-0.8082134600523855,-0.8083235942971196,-0.1975239474162524,0.9934229330613,-0.8903805837710032,0.4364483789871853,-0.7755756551158596,-0.7765582436213374,0.2626129801735949
4,1,0.5896384382236265,-0.70875108549723,-0.7090048751047975,-0.1989281837106226,0.5841322099222783,-0.7524919960026295,0.1610546649848044,-0.6301034976614511,-0.6299657250630135,-0.0398278225064344
4,2,0.7111913792358351,-0.5661317003999313,-0.5659859194678549,0.0817786515339961,1.0260864489955868,-0.5176504949596156,0.7287893984666352,-0.521339267788998,-0.5214408373897508,0.6916413744778442
4,3,0.6573103921908456,-0.6838407695677238,-0.6840333114221568,-0.3985169690171183,0.9520184762431898,-0.6691843075592363,0.7414998775744371,-0.6835792440154088,-0.6829247275044251,0.5891020852202307
