f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,disp.diff_median_25,nbc.dist_ratio.coeff_var,disp.diff_mean_02,ela_level.lda_qda_50,ela_meta.quad_w_interact.adj_r2,disp.ratio_mean_10,ela_level.mmce_lda_50
1,1,-0.2365158164100192,-0.1341070879148287,-0.7345821036207573,-1.435912477076974,-1.310046349870236,-1.4320100293360032,-0.2437598440112404,0.7233090549151244,-1.5011268277014522,-0.2360402078925888
1,2,-0.236515508511459,-0.1341070473225919,-0.6908310752568954,-0.779466505882183,-0.9523638325025808,-1.0559703643696738,-0.4017010089281015,0.7233090549151244,-0.9550209097331418,-0.8740350157185598
1,3,-0.2365155758922202,-0.1341070842155463,-0.699616246786502,-0.8325569717659406,-0.979667841461944,-1.0810817753661413,-0.395374575618497,0.7233090549151244,-0.9934076652401972,-0.802908423697625
1,4,-0.2365157017093936,-0.1341070848799904,-0.7170991752036296,-1.0418211744066184,-1.127109489842504,-1.2278869473454883,-0.35680090585577,0.7233090549151244,-1.1505760792973905,-0.6134757916820707
1,5,-0.2365157017093936,-0.1341070786920997,-0.7170991752036296,-1.0924163023477031,-1.143491895218122,-1.2904425924905336,-0.3361081969056055,0.7233090549151244,-1.2106911869782535,-0.5920305880576683
2,1,-0.0369907250843269,-0.1338524193976032,1.592963863872484,0.4403235174049263,0.1507181294556844,0.5342951752143001,-0.6648630611817865,0.7207426107287825,0.5536510095347519,-1.4973756010678556
2,2,-0.0322842174662329,-0.1338723783126436,1.601705328081048,0.4290514735949227,0.1589093321434931,0.5803575267462818,-0.4754654639755034,0.7191385831123192,0.5203342028682522,-0.5673686038896063
2,3,0.0147296018460249,-0.1338072495667682,1.64545635644491,0.5421160962387758,0.2080565482703464,0.561895439075802,-0.6290132724273613,0.7181761665424407,0.6210089012735495,-1.6153242210020695
2,4,0.0265826175944097,-0.1336667070608411,1.636714892236346,0.3255379720419888,0.1124925169125758,0.5123041170635478,0.5936138982183484,0.71689294444927,0.5181613676508703,0.421612703255751
2,5,-0.027577709848139,-0.1337919860358168,1.6279734280277824,0.476721032913564,0.1589093321434931,0.5654987036714488,-0.6487394429552252,0.7191385831123192,0.4913630666365099,-1.554205390672522
