f_id,i_id,ic.eps.s,disp.diff_median_02,ic.eps.max,disp.ratio_mean_25,ela_level.lda_mda_25,ela_level.mmce_mda_10,disp.diff_mean_05,disp.diff_mean_10,disp.diff_median_05,ela_level.lda_qda_50
1,1,-0.9061200929950478,-1.2434435923458562,-0.2367752253329674,-1.4484988242322134,-0.3150059936670169,0.2500560257420526,-1.3911810781832616,-1.4123658039601654,-1.288639545603296,-0.2408313710285117
1,2,-0.8641397660867499,-0.8956936427517894,-0.236774917416714,-0.7467471439269467,-0.3167213833340324,-1.6535683682103228,-0.9438384857697298,-0.8726510705499961,-0.8783274800608115,-0.3986777532108753
1,3,-0.8725274437907053,-0.9245194763160236,-0.2367749848013472,-0.8123012825159533,-0.3255691826691668,-1.3753463414018985,-0.934449192082336,-0.910656760673818,-0.8682256948822297,-0.3923551164836817
1,4,-0.8893447375871365,-1.0497440924630317,-0.2367751106257506,-1.03797946454368,-0.3141031570001662,-0.7925444115611,-1.1177007240006878,-1.0661859985317208,-1.0360949161387512,-0.3538045953275998
1,5,-0.8893447375871365,-1.1106788019623968,-0.2367751106257506,-1.093861681045785,-0.3211452830015996,-0.73690000619941,-1.1795326580396217,-1.1253436650042177,-1.092799603607857,-0.333124304365738
2,1,1.43639053616568,0.6346731081384179,-0.0372386684333009,0.4772883290710631,0.4012143341454334,1.1989395698044614,0.5914713371333106,0.6195247155019694,0.6098675124478585,-0.6616818781823238
2,2,1.4111855646652935,0.685578303581641,-0.0325318903589406,0.4665417489745034,1.1509299022980346,0.677639351152894,0.5906469113461247,0.5870049657680447,0.6080716395272218,-0.4723979411619707
2,3,1.4783708630739778,0.6724822114867509,0.0144846305705402,0.5815301560076807,0.8002681408933258,-0.6607550304413209,0.6470284749031083,0.6863740097376211,0.6738005884225274,-0.6258536033948944
2,4,1.377634853849471,0.610825954213563,0.0263383274444314,0.3741211601441013,6.226948494331235,-0.2126711346340634,0.6418529130168863,0.5847992783947871,0.6574581448447329,0.5960398513347286
2,5,1.5035758345743646,0.67338414620403,-0.0278251122845802,0.5224239654766085,1.055409782945259,-0.3678897390640264,0.6046621497282831,0.5579916933967339,0.6324506144248658,-0.6455679359678795
3,1,-0.4611118524116818,-0.7297015773837738,-0.2367695653645431,-0.8015547024193961,0.145260139093335,0.3086290840175104,-0.7654877071418714,-0.7899660720960854,-0.734478059117807,0.0486927024375535
3,2,-0.091718526329476,-0.6815021860923877,-0.2367633563519212,-0.3405264162770363,-0.1477103592996307,-0.0310946539801442,-0.6372436958018601,-0.5726210317004783,-0.5932326539097253,-0.612461907549103
3,3,-0.1588618863496408,-0.4383045089252956,-0.2367435855216706,-0.2986147539004582,0.0627408677432055,-1.510064375435451,-0.3892289381568032,-0.3618364973381497,-0.3767401733269636,-0.2621702699827895
3,4,-0.2512102178701924,-0.6371630753909551,-0.2367645063205208,-0.5275169099571545,-0.0891162596210377,0.0069778338989031,-0.6389383488088533,-0.6240305143233266,-0.6145586448422866,-0.132951381870774
