max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
5,sqrt,5,70,1,1
7,sqrt,5,20,1,2
5,1.0,7,20,1,3
7,1.0,7,20,1,4
7,1.0,2,20,1,5
7,sqrt,7,20,1,6
5,sqrt,7,70,1,7
7,sqrt,7,70,1,8
3,sqrt,5,70,1,9
3,sqrt,10,70,1,10
3,1.0,10,20,1,11
3,1.0,5,20,1,12
3,sqrt,10,50,1,13
5,1.0,2,20,1,14
5,sqrt,10,70,1,15
7,1.0,2,50,1,16
3,sqrt,10,20,1,17
7,sqrt,5,20,1,18
7,sqrt,2,10,1,19
5,sqrt,7,70,1,20
5,sqrt,5,10,1,21
7,sqrt,7,20,1,22
7,sqrt,7,10,1,23
5,sqrt,10,10,1,24
7,sqrt,7,20,1,25
5,sqrt,7,10,1,26
7,sqrt,5,10,1,27
7,sqrt,7,10,1,28
7,sqrt,7,10,1,29
5,1.0,2,20,1,30
