max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
3,1.0,5,20,1,1
3,sqrt,2,10,1,2
7,sqrt,7,50,1,3
7,1.0,5,20,1,4
5,sqrt,2,20,1,5
5,1.0,7,50,1,6
5,sqrt,5,70,1,7
7,1.0,2,20,1,8
7,sqrt,7,70,1,9
5,sqrt,7,50,1,10
7,sqrt,2,20,1,11
5,sqrt,5,70,1,12
7,sqrt,7,20,1,13
5,1.0,7,10,1,14
3,sqrt,2,20,1,15
7,sqrt,2,10,1,16
5,sqrt,2,20,1,17
10,sqrt,7,70,1,18
5,1.0,7,20,1,19
7,1.0,7,50,1,20
7,sqrt,2,20,1,21
3,1.0,7,10,1,22
7,1.0,7,10,1,23
7,sqrt,2,20,1,24
10,1.0,2,10,1,25
5,1.0,2,10,1,26
3,1.0,2,10,1,27
7,sqrt,7,10,1,28
3,1.0,7,10,1,29
7,sqrt,7,20,1,30
