f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.ratio,ic.eps.s,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_level.mmce_qda_50,disp.ratio_mean_25,ela_level.lda_qda_50,nbc.nn_nb.mean_ratio,ela_level.mmce_qda_25,ela_level.lda_qda_10,disp.diff_median_02,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_05,disp.diff_mean_25,pca.expl_var_PC1.cor_x,disp.diff_median_10,ela_distr.kurtosis,ic.m0,ic.h.max,disp.ratio_median_02,disp.diff_median_25,disp.ratio_mean_05,nbc.nb_fitness.cor,ela_level.mmce_lda_10,disp.diff_mean_05
1,1,0.6997709232301093,1.4738687650331397,1.392441960055271,0.5824138589077567,0.0504526903678844,0.7581031269032015,-0.7091399635591878,0.8490716790743118,-0.2220881992415811,-0.7014608624035684,-0.0547869295612437,0.0616727698480636,0.430009188774584,-1.04580261670042,2.877871331023489,0.0883857350302664,1.2116330140992655,0.0440139094367031,-0.0552703262839862,1.1134670780558609,-0.037306738740184,-0.1969106654921077,-0.9244608119181078,0.1439907513769155,0.0887948803506405,-0.0782487997108529,0.0528011522337779,0.3094823576687571,0.4266653609710661,0.0530258002460852
2,1,0.6997709232301093,1.6501425124181532,1.5532600211119163,5.013378588503608,5.2399065401802645,4.608373116818235,-0.7091399635591878,4.67313988761166,-0.2720791559202287,-0.3642112199523891,-1.5439171601062165,-0.3358185359746546,1.304722124932939,-0.4179953845247805,0.1121755247941982,-1.560264953977807,0.4793158843874299,-1.5591358511808489,-1.5439962917784604,0.7148183710975808,-1.572241836078855,-0.199188646743052,-0.6595222538955683,0.5541367394392773,-1.5601565453418516,-1.526861427669815,-1.5686627829537785,-0.0797509848267445,-0.3447561466118085,-1.568775531619622
3,1,0.6997709232301093,1.399933772373908,1.3591759436362167,-0.007543383774125,0.0191845843839445,0.1029879381995324,-0.7091399635591878,-0.2699307062928774,-0.1699946186339603,-0.7474334983672567,1.1435786813515187,2.496943380519596,-0.3409717645701246,-0.8530479917784285,1.2745463196420674,1.176156332643406,0.5782910560249276,1.14872788437363,1.1431980556028718,-0.8797764567354841,1.154662018179294,-0.1959489877250761,-0.284650684245419,-0.6738254944375709,1.176473515451567,1.1190609357407195,1.1661813236957874,0.4635239664607963,0.5068626464128508,1.165884931907032
4,1,0.6997709232301093,-0.0387167762968868,-0.0437857529845451,-0.3271594226790608,-0.2600050871313066,-0.3838623559033588,-0.7091399635591878,-0.3580784605367427,-0.1982605047461914,-0.4287834719929896,-0.8107749406049954,-0.2219674982904328,0.9010084620906208,-0.7485424722424098,0.3392544256678271,-1.034232229088982,0.3674524600158342,-0.9657343668291044,-0.8106138793329177,-0.0824790428190899,-0.9203374732453452,-0.1957042417062064,-0.7584619643604184,-0.1242133655652721,-1.0341759074920285,-0.8309834341479022,-0.94886504158033,0.0821901936469376,-1.4484235510249317,-0.9488217303380472
5,1,-1.648925550924001,-1.380737726417276,-1.4190211528230638,-0.3271634042104654,-0.2600129303001927,-0.3838672794695243,1.4275086135387989,-0.3580824877551101,-0.4334601400431075,2.216573244757259,1.4800348840687882,-0.6535215535991623,-1.89975507387797,1.8207450784245969,-1.1549133596796046,1.315071673440859,-1.7693537496938812,1.378898984542614,1.4796199405572537,-0.4146862986174999,1.3920792054521278,-0.1986090390163563,2.0217438997018324,1.1928751594800564,1.315090886461302,1.4919164223274406,1.3788675503715986,-2.0564387619833293,0.5068626464128508,1.378871098229117
6,1,-1.6489255509240013,-1.1134583253710335,-1.1694844817828782,-0.3271633949527674,-0.2600129300561732,-0.383867278646661,1.4275086135387989,-0.3580824876093669,-0.3540447085566722,1.0276015604444646,0.5994334646112357,-0.5148330944147241,-0.7951496352677333,1.7239807084838388,-1.1633363364538645,0.5074068883704762,-1.1926870568476928,0.5424496951173271,0.5999815781022422,-0.414686298617629,0.5552413348292976,-0.1996182323284739,0.9674863181930544,1.1169527632994996,0.50719823333708,0.580826032679642,0.5485319280463371,-1.3210606388921968,0.5068626464128508,0.5485894564365661
7,1,0.2053155316316673,-0.5903178356293021,-0.6426848429202642,-0.3271633051765739,-0.2600126940264082,-0.3838672134263767,0.3590374359084704,-0.3580824106713521,-0.2946133995438594,-0.5933725274660417,-1.14100047290158,-0.4104850701740632,1.198186575016215,-0.8135681288425991,0.2274792473931889,-1.3707740218300457,0.9608077878125856,-1.297846047492513,-1.1413466894165454,-0.2818033962980732,-1.2320994555346865,-0.1999897547370343,-0.913467510755348,0.4790395866954638,-1.370939581846967,-1.1316043751291374,-1.3178434196770017,0.0710589818228046,-1.601180285199766,-1.3171630857088528
8,1,-1.5420270978415849,-0.7722723354276261,-0.8312292007591525,-0.3271633548975458,-0.2600128805471904,-0.3838672644439054,1.4275086135387989,-0.3580824808341075,-0.3216716561691875,-0.0578439589119319,-1.3154592446809066,-0.5364617061807511,0.430009188774584,0.1533014556054533,-0.7040564542357728,-1.0618688712949804,0.2921057517241832,-1.146008235492926,-1.3153102374997192,0.0504038595004658,-1.2290921906442562,-0.1995495191156448,0.6310913026125691,1.055884748980355,-1.0618143403620683,-1.291801524231284,-1.154569144653147,-0.5249994577920788,-0.12707780041268,-1.154725387461636
9,1,-1.506928105131628,-0.7552300781876956,-0.8090426236137213,-0.3271633435668113,-0.2600128664457513,-0.3838672618013767,1.6945529634057128,-0.358082479490931,-0.2914931791944503,-0.1259255724764781,-1.3081901291900997,-0.307062664125957,0.6010267820619551,0.1223368572244124,-0.6002489566935428,-1.036468826891177,0.2000704084819694,-1.1336680599593896,-1.3087850161782195,0.7812598222573034,-1.2213641574585137,-0.1987911136697247,0.3188815495901577,0.9477778587667334,-1.035876734130185,-1.2969879110529157,-1.139530724585161,-0.4761657543055584,0.2013491780631972,-1.1395661467317817
10,1,0.4902446169387317,-0.4083349320689115,-0.4763270622268072,-0.3271629839090644,-0.2600128834413722,-0.3838669970601406,-0.7091399635591878,-0.3580824672610973,-0.359169471252362,1.7873783303787028,1.4488815319653403,-0.6479061365643308,-1.953022848836332,1.8222933083436488,-1.1549133596796046,1.2409422779699073,-1.6574903253222852,1.309686695680612,1.4492235578184085,-0.3482448474577958,1.344018755688196,-0.1997304673229012,2.0173465792367287,1.243215009121513,1.2406797210419651,1.4540833988406552,1.302064190738667,-1.7390196893209455,0.5068626464128508,1.3017245329038658
11,1,0.4922464606294137,-0.4083349320689115,-0.4707873425899954,-0.3271629661773236,-0.2600128961880879,-0.3838669837270781,-0.7091399635591878,-0.3580824656912092,-0.3585871118551245,1.841071561695072,1.190308709506695,-0.6514234856960386,-1.7595767187243838,1.823841538262701,-1.1549133596796046,1.043942408481743,-1.6632735156516882,1.0988306528684646,1.1903378611421735,0.9141427245765826,1.1363501127996698,-0.1997314913648211,1.9920619865623763,1.2564189041094365,1.0438090376753786,1.196531301560895,1.0952859148038512,-1.7641546837625377,0.5068626464128508,1.0949665653322092
12,1,-1.6498597446463192,-0.9656167438146368,-1.0197458599998566,-0.3271633384958669,-0.2600129301793298,-0.3838672764924984,1.4275086135387989,-0.3580824877119269,-0.2930624845175323,2.2109582663189458,1.4613428728067217,-0.6521331263103306,-1.9165764764963984,1.8207450784245969,-1.1549133596796046,1.2832365937125378,-1.7675510150915057,1.307540578196519,1.4613722738968788,-0.6804521032563533,1.3647083130792468,-0.1998353292155048,2.0217438997018324,1.2201081928926485,1.283200386995872,1.4771523156008903,1.3117317464966585,-1.455353323480128,0.5068626464128508,1.3116179990605197
13,1,-1.6470571634793645,-1.1191390777843435,-1.1528376242742588,-0.3271633292138662,-0.2600129296867032,-0.383867278646661,1.4275086135387989,-0.3580824867421049,-0.2869875564895078,-0.6323264403818387,-1.2656138813153854,-0.4346745589394913,1.2094008434285006,-0.8197610485188093,0.2282760154664294,-1.482267165753845,0.9897237394596008,-1.4437820364108438,-1.265830041649754,0.4490525664587459,-1.3912533710124046,-0.1995049732921266,-0.925560142034384,0.4971949423038597,-1.4831941399652808,-1.2466276418754378,-1.4607084103228742,0.1360508960217769,-1.6546451421609472,-1.4609776641390122
14,1,-1.4901126181298996,-0.7722723354276261,-0.8256617825241566,-0.3271633034822914,-0.2600129121984555,-0.3838672644439054,1.6945529634057128,-0.3580824799470532,-0.2937245352007075,-0.3322760300844835,-1.6145314248740386,-0.2567707423304876,1.3776148696128003,-0.3823860963865829,0.0939636831201227,-1.553643954341646,0.3973598157193181,-1.560208909922894,-1.6137940266301056,-0.3482448474577958,-1.587105481893304,-0.1989197333348713,-0.6023570878492127,0.6721465508938398,-1.5525028254701485,-1.5958663249288685,-1.5842382894527638,-0.2474373048870755,-0.1347156371214216,-1.5846661299290878
15,1,0.6997709232301093,0.9450191191160316,1.1872507447077636,-0.3109649847647268,-0.2376657270487324,-0.3793460928150403,-0.7091399635591878,-0.3087564400272609,0.4499116344780248,-0.1385592739626824,-1.117116236288932,-0.2756533534586025,0.9066155962967636,0.2299388365985351,-0.5554022965711318,-1.3850815463474575,-0.6508847399873343,-1.3455971615135842,-1.11725829387229,-1.2784251636937458,-1.2550789973211,-0.0726480939065465,-0.2857500143616974,-1.6401855588661922,-1.3853966082712954,-1.1035138495241297,-1.361347420587963,1.341453415170669,0.7398166660294613,-1.3617525794176712
