f_id,i_id,ic.eps.ratio,ic.eps.max,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_level.mmce_qda_50,disp.ratio_mean_25,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,disp.ratio_median_02,disp.ratio_mean_05,ela_level.mmce_mda_50,disp.diff_mean_10,ela_distr.kurtosis,disp.diff_median_02,disp.ratio_mean_10,disp.ratio_median_05,disp.diff_median_25,ela_level.lda_qda_50,ela_level.mmce_qda_25,ela_level.lda_qda_25,disp.diff_median_10,disp.ratio_mean_02,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_10,nbc.nn_nb.sd_ratio
1,1,1.3926774764133911,0.7559982882293949,0.5800180793475316,-0.2325705890056924,0.0464140186057294,0.84588108993578,1.3121087441508157,0.6896055604461341,-0.7091399635591877,-0.6563546754759115,-0.0511965141776449,0.2417393782808589,0.6103868132129044,0.0958634057777185,0.0558546926193952,-0.7639313160225271,-0.0189474945262148,-0.1974880229714018,0.095459623288759,-0.0188418416529731,0.0465228907765193,-0.0752208749417064,0.0543293665366177,-1.0150187014100227,0.9922170047186368,-0.0353732543338301,0.0880077485601882,1.1691932692215532,-0.0348290328007085,0.2675812514144431
2,1,1.5656376970527124,4.610042653540992,5.0146415862761735,-0.282671362488213,5.240166847501016,4.6748280669820605,1.470092302338644,0.6896055604461341,-0.7091399635591877,-0.299675234503324,-1.548424530064935,-0.1683253257789893,1.2331350274119184,-1.565306138224393,-1.5714778177036537,-0.2859845439468949,-1.586744061326084,-0.1997662474858964,-1.565423052605331,-1.586576113311762,-1.5614952709973202,-1.5307853194484036,-0.3448021179515585,-0.3509790675167726,-0.2160155418637826,-1.57442014017749,-1.5513490574307405,0.4075023365852978,-1.574906385464956,1.7447587140421248
3,1,1.3201322855780462,0.1002408976394598,-0.0104263083058327,-0.1803625726900014,0.015120009908811,-0.2745489251967367,1.2794290587592243,0.6896055604461341,-0.7091399635591877,-0.7049759104055775,1.153685724548949,0.4040251329318509,-0.6754642019347817,1.1916013360400703,1.1732645282933545,-0.917073724362708,1.1794880308292777,-0.1965262425076743,1.1913008181325369,1.179220149081109,1.15459163076726,1.127834687566064,2.499648697373168,-0.811139701608025,1.8153651297772584,1.1597885518823283,1.2244439622621568,0.5104474784285101,1.1597788171368362,-0.8751017365535245
4,1,-0.0914750581830901,-0.3870866502084114,-0.3303062635336701,-0.2086905514181317,-0.2643009442409414,-0.3628091388592332,-0.0988047004160549,0.6896055604461341,-0.7091399635591877,-0.3679676560839236,-0.8112955347954601,0.002282775264361,0.6158825740542978,-1.0354281789849362,-0.9494368382691392,-0.3297903956348998,-0.9146212578233978,-0.1962814703525994,-1.0354874843577793,-0.9146899968865664,-0.9662917613179808,-0.8315678436817542,-0.2304812937831684,-0.7006028944864607,-0.0830591422845501,-0.9207694540824308,-1.0285365070632826,0.2911519842850397,-0.9204749204171108,0.9552686496278924
5,1,-1.4082692097729452,-0.3870915786010923,-0.3303102483527418,-0.4444068576078743,-0.2643087939071623,-0.3628131712155493,-1.4498008533657023,-1.6491191354835215,1.4275086135387989,2.4297947019299837,1.4919715524063235,-2.2508033662305267,-1.6442883274032425,1.3312458103424654,1.3867205316348348,2.3156556721577948,1.397694538255608,-0.1991865778634176,1.331246826395348,1.3977855122555698,1.385461708210691,1.5024794882120027,-0.6638160817623753,2.0169649783762917,-1.022393246717475,1.3978417329917796,1.3252010542684571,-1.9313631648241785,1.3977538953360518,-1.2740019796259785
6,1,-1.146014025078132,-0.3870915777774223,-0.3303102390873994,-0.3648169715911907,-0.2643087936629406,-0.3628131710696202,-1.20466239733502,-1.6491191354835215,1.4275086135387989,1.1723233741306838,0.6065814844339279,-1.476068574796422,-1.1075880258066138,0.5173669723837211,0.5533796701047135,1.3821992715540452,0.5679703052773112,-0.200195878946373,0.5175896591149882,0.5680466335377088,0.5464723125596169,0.5870168232402205,-0.5245553487984421,1.9146160828933612,-0.9865020065061676,0.5587621387006768,0.5256308262871254,-1.3315659277076324,0.5580804660081355,-0.7566782268913939
7,1,-0.632707330953895,-0.3870915124932033,-0.3303101492370751,-0.3052551078372928,-0.264308557437647,-0.3628130940334473,-0.6871478790480243,0.1972494607575509,0.3590374359084706,-0.5420391002214299,-1.1433168102851108,-0.0094441673794164,1.3876444179242304,-1.3746871472287914,-1.3197506622479187,-0.5260263653917354,-1.2458521480670908,-0.2005674410294743,-1.374526212818975,-1.245236379465226,-1.2994119896104863,-1.1336314489003247,-0.4197767506039988,-0.7693813522509895,-0.3749533878968642,-1.2333665852567592,-1.4060512766834563,0.9083072503267348,-1.232141144990515,1.237822988470881
8,1,-0.8112415193869421,-0.387091563560744,-0.330310198999103,-0.3323728042385002,-0.2643087441129442,-0.3628131642857168,-0.8723690434614836,-1.542674537413196,1.4275086135387989,0.0243426135394114,-1.318724276581529,-0.6374030315301077,0.9946190068954528,-1.0632714023887886,-1.15588544756153,0.1926745184000871,-1.2409018057888543,-0.2001271583957223,-1.0633291736651989,-1.2411888727397735,-1.147113080714236,-1.2945973757768292,-0.5462732072651201,0.2532888114144433,-0.737296103233674,-1.2303512644965862,-1.0735096296755369,0.2127830616130782,-1.2301129483013176,0.18863224497302
9,1,-0.7945196160057638,-0.3870915609156248,-0.3303101876590125,-0.3021280331956493,-0.2643087299998234,-0.3628131629408267,-0.8505735164018124,-1.5077245632652616,1.6945529634057133,-0.0476613526923077,-1.31141563215251,-0.5859557992864368,0.6020646610816518,-1.0371416081174816,-1.140792598840416,0.0316969170750604,-1.2246847081694563,-0.199368671960373,-1.037740676357379,-1.2249988458379617,-1.1347354308746105,-1.2998086517986744,-0.3159275900044205,0.2205371648599076,-0.51076838182921,-1.2226025294335623,-1.0367527506174443,0.1170561100159679,-1.2226762271075928,0.4815746109793535
11,1,-0.4541452726818792,-0.3870912825687331,-0.3303098099579032,-0.3693693533386521,-0.2643087597667988,-0.3628131491234991,-0.5182801625282758,0.482962177176027,-0.7091399635591877,2.0326594242601925,1.2006698673069178,-1.9428765497132603,-1.5386126975101673,1.0579538637015813,1.1021125271795285,1.967345729467804,1.139528463197637,-0.20030915007755,1.0581059469471796,1.1394196662808211,1.104542872720082,1.2056768296366138,-0.6617093565473482,2.0202401430317445,-1.0236637330966365,1.1414275925184836,1.0644434298916357,-1.821027971062338,1.1415250469340557,-1.3841150675574372
12,1,-1.0009515132464102,-0.387091575621148,-0.3303101825838807,-0.303700785864138,-0.2643087937861993,-0.362813171172311,-1.057562997479113,-1.6500493629323256,1.4275086135387989,2.423856230488192,1.4731778953031405,-1.617548463466517,-1.6442883274032425,1.2991190141072515,1.319341742701287,2.307464334037274,1.3667675478201906,-0.2004129990169835,1.2991755497089037,1.3667546273604307,1.313886602616341,1.4876445293062894,-0.662421925370078,2.0169649783762917,-1.022393246717475,1.3703975193945517,1.3040117945761454,-1.9294881211513375,1.3700352072503477,-1.4568312577008533
13,1,-1.1515879928718582,-0.3870915777774223,-0.3303101732942157,-0.2976125128388556,-0.2643087932931645,-0.3628131702012517,-1.1883089494413095,-1.6472586805859126,1.4275086135387989,-0.5832372458488567,-1.268607857639696,0.0590260461213516,1.4576761132174123,-1.4877734699767442,-1.4631327250985084,-0.5356422840549562,-1.4098578665040564,-0.2000826078151961,-1.4868465681608447,-1.4098349863003152,-1.4457911529312637,-1.2492067063125276,-0.4440660530831364,-0.7759316815618987,-0.4004901641180068,-1.3929468426959843,-1.511132707402475,0.9383830430188252,-1.393044749000213,2.037701080048458
14,1,-0.8112415193869421,-0.387091563560744,-0.3303101475413936,-0.3043642908961567,-0.2643087757904295,-0.3628131633975308,-0.8668997538996934,-1.4909804691867836,1.6945529634057133,-0.2659001781781363,-1.6194227902325322,-0.344986042380418,1.117724049742661,-1.5575957071279416,-1.587109696736236,-0.1374720223704874,-1.6118526021230144,-0.1994973053606969,-1.5587529291728064,-1.6122103225729645,-1.5625715883746774,-1.6001213676151471,-0.2654281473500909,-0.3133146739790559,-0.1674194378608618,-1.5893236027686275,-1.5712410155092382,0.3222589470122871,-1.589779827852407,2.210142330959988
