f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ic.eps.s,ic.eps.max,ela_level.mmce_qda_50,disp.ratio_median_10,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_meta.lin_w_interact.adj_r2,disp.ratio_mean_25,ic.h.max,disp.diff_median_25,nbc.nn_nb.mean_ratio,ela_level.mmce_qda_25,disp.ratio_median_02,disp.diff_mean_25,nbc.nb_fitness.cor,ela_level.lda_qda_50,ela_level.qda_mda_10,ela_level.lda_qda_10,disp.diff_median_02,disp.diff_median_10,ela_distr.kurtosis,ela_level.qda_mda_50,nbc.nn_nb.sd_ratio,disp.ratio_median_05,ela_level.lda_mda_10
1,1,1.391082433122992,0.580018074383145,0.6921215851505006,-0.7091399635591878,0.0464140221258855,1.3119388809057175,0.7559982818075519,-0.7076502828824978,-0.1240821257463766,-0.2206790400704585,0.8458810913330652,1.224023161408254,-0.1401965848383825,0.1393141771101542,-0.1652301125445228,0.4918458460872513,-1.023790895081193,0.0148680549338759,-0.1406611282589249,0.3339671535534708,0.0594348515558162,-1.7392026191611685,2.8752230948106967,0.0144774751351318,-0.1246276484431353,-0.1969569158423436,0.350954046069456,0.3329186708347982,-0.0398106632340219,3.0642278535299954
2,1,1.5650220408389297,5.014641590306968,0.6921215851505006,-0.7091399635591878,5.240166846128844,1.4699697916075818,4.610042660663236,-0.3694958319359721,-1.6628681950268738,-0.270666578580552,4.674828065578756,0.4876627970797491,-1.6233345082901565,0.550439327537813,-1.6085393621003432,1.3634128682959112,-0.4002045883602802,-1.6406677806834384,-1.6233991665736869,-0.061817790995535,-0.3384806488601719,-0.2718821236066368,0.1255577066502577,-1.6407107414154862,-1.6623990483880409,-0.1992349158276146,-0.3019007832408997,1.7949953639003338,-1.6450566337107957,0.8415625724170719
3,1,1.3181264552169998,-0.0104263144678756,0.6921215851505006,-0.7091399635591878,0.015120013458445,1.2792494004108952,0.1002408889131193,-0.7537462590260928,1.069524100951885,-0.1685890213998546,-0.2745489229799406,0.5871844257423788,1.0533467649965895,-0.6804544829981137,1.0276962657069872,-0.2763622664364121,-0.8323322139794567,1.1068898877108455,1.0529867953540406,0.4906016011655775,2.497304333224181,-1.4285437871746136,1.281191213271972,1.1065614972288351,1.069543666811,-0.1959952301663858,1.472464438056854,-0.7980829904676555,1.0663477883093766,-0.7904780585452991
4,1,-0.101474113718265,-0.3303062703445569,0.6921215851505006,-0.7091399635591878,-0.2643009404281031,-0.0993974576600872,-0.3870866606473442,-0.4342413251452965,-1.0089854403896827,-0.1968529748112637,-0.3628091365778814,0.3751817576730711,-0.8931424762420724,-0.1295302371534047,-0.9152089815502056,0.9611511657380678,-0.7285293145869498,-1.1125868552944185,-0.8929665518628446,0.1028491923915515,-0.2245081116766746,-0.3531862918365394,0.3513204216630191,-1.1125920965375642,-1.0092900756355017,-0.1957504821347024,-0.3338725130922532,1.013576034273184,-1.0508792430323113,1.6130904680607567
5,1,-1.4257246108762789,-0.3303102551636367,-1.648820424808982,1.4275086135387989,-0.2643087900943165,-1.4507985455601144,-0.3870915890400425,2.2182126303540897,1.307299648092681,-0.432036528159549,-0.3628131689341944,-1.7734220851735505,1.3884490573246009,1.190702640276258,1.399186726408325,-1.8295393957569808,1.823484189736977,1.2460607702305064,1.3880555301683295,-2.071777311052987,-0.6565227126483759,1.407488432331291,-1.134186926694133,1.2460276902308218,1.3073995612240863,-0.1986553033341719,-0.2290105020160032,-1.1929053885950571,1.2968198503356587,-0.7904780585452991
6,1,-1.1619844064600726,-0.3303102458982943,-1.6488204248089822,1.4275086135387989,-0.2643087898500948,-1.2055866140215177,-0.3870915882163724,1.026051048869356,0.4683302459652115,-0.3526265267618468,-0.3628131687882653,-1.1935715275231706,0.511391205799428,1.114598990700113,0.4914318434394762,-0.728906681813987,1.727370394003174,0.4349421297784963,0.5119552335366766,-1.3240212534548654,-0.5176862479763379,1.427814474388767,-1.1425610825392178,0.4351602068491806,0.4690153545786068,-0.1996645049459878,-0.5176770670113516,-0.6808700910235871,0.4592768556993521,-0.7904780585452991
7,1,-0.6457711136930497,-0.3303101560479697,0.1992986891393702,0.3590374359084704,-0.2643085536248015,-0.6879169807733679,-0.3870915229321532,-0.5992719572929766,-1.320390347298509,-0.2931992814086456,-0.3628130917520926,0.9718130907740776,-1.2220391705640146,0.4751628915440156,-1.2147293476951035,1.2572604745653684,-0.793117785320065,-1.450695256998625,-1.2223690943024434,0.0915306192540804,-0.4132268656580213,-0.2968776618124513,0.2401931103133794,-1.450468405591835,-1.321628141776483,-0.2000360304099825,-0.3037427759072329,1.293241899613427,-1.3834251786832896,1.3050660230319104
8,1,-0.8253162517897784,-0.3303102058099978,-1.5422749080195308,1.4275086135387989,-0.2643087403000986,-0.8731936616461875,-0.387091573999694,-0.0623066168721669,-1.3183638511581048,-0.3202556879057091,-0.362813162004362,0.2994190487078638,-1.395795914734096,1.0533851856062555,-1.3743400141970052,0.4918458460872513,0.1672512616520888,-1.14033565088883,-1.3956329292873102,-0.5145607164943979,-0.5393379413545578,0.6969009890516998,-0.685943260445738,-1.1403383285498263,-1.3186153199649415,-0.1995957911680549,-0.5845150866182968,0.2547767378720833,-1.2313888300738765,0.0719903875354748
9,1,-0.8084996606474061,-0.3303101944699073,-1.5072917982621956,1.6945529634057128,-0.2643087261869777,-0.8513916017990993,-0.3870915713545749,-0.1305708868863459,-1.3109333653099555,-0.2900792744066054,-0.3628131606594718,0.2068755642920298,-1.3885560503936745,0.9450202063184818,-1.3795074136293726,0.662248372865227,0.1364948470172736,-1.1142944734848446,-1.389133953595302,-0.4649050407945229,-0.3096940893330665,0.5526959609412307,-0.5827374478684759,-1.1148375633014085,-1.3108730066700895,-0.1988373794849389,-0.4221565901715052,0.5447244364968942,-1.2190325190561493,0.1287059996360227
10,1,-0.4661979479444171,-0.3303098345151796,0.4832870516181187,-0.7091399635591878,-0.2643087431966779,-0.5244423597476366,-0.387091306353815,1.7878662271203736,1.2593392394364415,-0.3577509390481054,-0.3628131484140353,-1.6609410457668718,1.3574210672942324,1.241162668799572,1.3614922098182851,-1.8826155926222523,1.8250220104687171,1.1713524743994,1.3577814072211354,-1.7490154190037976,-0.6509013029553146,1.407488432331291,-1.134186926694133,1.171604343489395,1.259250303810138,-0.199776740863446,-0.2742708932459029,-1.1024252556908611,1.2275170624536298,-0.7904780585452991
