f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.h.max,nbc.nn_nb.cor,pca.expl_var.cov_init,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_x,disp.ratio_median_02,disp.diff_median_05,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,disp.diff_mean_05,nbc.nn_nb.sd_ratio,disp.diff_mean_25,ela_meta.lin_simple.coef.max,nbc.nn_nb.mean_ratio,ela_level.mmce_lda_50,ela_level.mmce_qda_10,ela_level.lda_qda_50,pca.expl_var.cor_init,ela_level.mmce_mda_50,disp.diff_mean_10,disp.ratio_mean_10,disp.diff_median_10,ela_level.lda_mda_50,ela_level.mmce_qda_50
1,1,0.0464140170125282,0.580018069454783,1.313179946442356,0.7559982814068809,1.393320048172431,0.2049287755199967,0.2835220264190831,-0.6548570506842823,0.6101489473808984,1.1086363631215792,0.0975248376058495,0.0461331285252627,-1.0149595325362033,0.9922170047186368,1.6890094603252546,0.0564398112666826,0.2614195555713051,-0.0512733264984313,0.8458810894463793,0.4185889749307355,-0.6809738242971892,-1.5160197544646037,0.0541882444780154,-1.4907119849998565,-0.772742562901606,-0.0183315654317436,-0.0182293343961503,-0.0346916865475666,0.0246107411705388,-0.6639488989310535
2,1,5.24016684812205,5.0146415943085225,1.473542294408092,4.610042661107607,1.5687350054048024,0.6254952629996677,1.6835361065884202,-0.6548570506842823,1.2385634062293611,0.7075911922626299,-1.5667905321709032,-1.5614589861239327,-0.3509955459507844,-0.2160155418637826,-0.3830839007540442,-1.571947637632969,1.7574533652645417,-1.5490657944825248,4.6748280674735705,1.336744864669705,-0.522085823247832,-0.3798594910013043,-0.3449818224547881,-1.4907119849998565,-0.2807249089414814,-1.5874746361897465,-1.5873024135313794,-1.57523847305904,-0.343271357253669,-0.2944460959614361
3,1,0.0151200083022683,-0.0104263205852041,1.280008196544518,0.1002408883686663,1.3197452602775124,-0.6336655687302107,-1.027519196318932,-0.6548570506842823,-0.6874017342908261,-0.8965894911731117,1.1953378123064509,1.1545934785084186,-0.8111037586030712,1.8153651297772584,2.099436140514952,1.1738182513900173,-0.8958499174684702,1.1544938577334896,-0.2745489259731721,-0.3906830432686817,1.4965972131257992,-0.8602494010562544,2.499743954556356,0.6708203932499399,-0.930393525049784,1.1811332377092922,1.1808557725505642,1.161634882099014,2.346484296798043,-0.7143181675980876
4,1,-0.2643009459666088,-0.3303062771060215,-0.118977901769725,-0.3870866612986492,-0.1118963097868792,-0.070089551302725,0.7859569860312563,-0.6548570506842823,0.6156947129027585,-0.09449914945538,-1.0359091210275704,-0.966202365609625,-0.7005795438200484,-0.0830591422845501,-0.1097260092751147,-0.9494762109119196,0.9578853657097878,-0.8112170036554699,-0.3628091396582794,0.9129806078671032,-0.4565536753495955,-1.020379371074571,-0.230649947349452,0.6708203932499399,-0.3258204167187505,-0.9147745792127042,-0.9148425224734236,-0.9209507621211324,-0.2943028008079529,-0.3651937710357438
5,1,-0.264308795632833,-0.3303102619251093,-1.4903162718177427,-0.3870915896913485,-1.4473790521837675,1.2804619859559343,-1.5430383996710058,1.5470030867191007,-1.6650409705729778,-0.4287034585043467,1.3352467371510153,1.3853656444014657,2.0166787440677445,-1.022393246717475,-0.8714791752047034,1.3876693521467007,-1.2998421698750826,1.4929645884312774,-0.3628131720145965,-2.0268839237009564,1.66610215433744,1.7653737581329698,-0.6640266240698685,0.6708203932499399,2.3975082968548755,1.3995271520557309,1.3996077853043565,1.3999200614202192,-0.4934512270217991,2.53315391760627
6,1,-0.2643087953886113,-0.3303102526597669,-1.2414867174217188,-0.3870915888676785,-1.181401812809514,1.2026106442091955,-0.5852717579103003,1.5470030867191007,-1.1234573547524924,-0.4287034585044766,0.519826623026253,0.5465751951723381,1.9143415081575383,-0.9865020065061676,-0.8565871737008599,0.5540159459114049,-0.7759147175352613,0.6079691330068329,-0.3628131718686674,-0.8674178321716096,0.960624785622898,1.7857077225797402,-0.5247524293277315,0.6708203932499399,1.4365706880400566,0.569090309426716,0.5691603294797738,0.5600227298298813,-0.4648501232570447,1.2304739004771714
7,1,-0.2643085591633176,-0.3303101628094422,-0.7161798803634458,-0.3870915235834592,-0.6608100174009066,0.5484901314893046,0.8801635409585387,0.4459216458094205,1.394478642615364,-0.2950217348846969,-1.3758105580732607,-1.2988070458184948,-0.7693501663517068,-0.3749533878968642,-0.4477198653963807,-1.319313396399058,1.2440465444978048,-1.143964012399914,-0.3628130948324945,1.2249181857912397,-0.9819091626902114,-1.045796826633034,-0.4199637026051713,-1.4907119849998565,-0.5278336263551356,-1.2462899475029845,-1.2456711837368748,-1.2338525394047626,-0.3811493622395391,-0.5455234428284083
8,1,-0.2643087458386149,-0.3303102125714703,-0.9041899565954068,-0.3870915746510001,-0.841878050921785,1.139991086717252,-0.3654564630799747,1.5470030867191007,0.9978771825806432,0.0391825741643996,-1.0638050723002603,-1.14708128519565,0.253203494863071,-0.737296103233674,-0.7802559199193791,-1.156216040479622,0.1814627556158297,-1.3189870173464435,-0.362813165084764,0.4185889749307355,-0.4752248459798194,0.5885455657761347,-0.5464723871729458,-1.4907119849998565,0.2120260053077046,-1.2413353536173566,-1.2416202205377311,-1.2308342800196108,-0.4828742756295583,0.0412208624074252
9,1,-0.2643087317254941,-0.3303102012313798,-0.8820662499607952,-0.3870915720058809,-0.8249188220562641,1.0291375457517846,0.2442692951993819,1.8221977608425264,0.6017510738763677,0.7744320540724641,-1.0376257949520444,-1.134591011780952,0.2204555793718068,-0.51076838182921,-0.5744188310704423,-1.1409952382430462,0.4781445659769358,-1.3124220567198417,-0.3628131637398739,0.5981002226040601,-0.113516677692342,0.6266717491138292,-0.316104503322492,0.6708203932499399,0.0463091799798533,-1.2251043279242553,-1.225416367741154,-1.2230779933134222,-0.3551323088149224,-0.0333717950078773
10,1,-0.2643087487351944,-0.3303098412766514,-0.5502935107660966,-0.387091307005121,-0.4797137184985856,1.3320808103749682,-1.4776171809715042,-0.6548570506842823,-1.497083500482365,-0.3618625966945311,1.2601422529553132,1.3157585019461058,2.018316139842308,-1.022393246717475,-0.8718690181760081,1.310209495484209,-1.2072606120319005,1.4623830884269549,-0.3628131514944373,-2.082797263140189,1.2315398104535995,1.7653737581329698,-0.6583874909345918,0.6708203932499399,1.992381987148513,1.3502397369255954,1.3503210663814336,1.3516839037022197,-0.4957303273217964,2.0629125773025843
