f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_level.mmce_qda_50,ic.eps.s,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_w_interact.adj_r2,disp.ratio_mean_25,disp.diff_median_25,ela_distr.kurtosis,nbc.nb_fitness.cor,disp.diff_mean_25,disp.ratio_median_05,ela_level.mmce_mda_50,ela_level.qda_mda_10,disp.diff_mean_05,ela_level.lda_qda_10,disp.ratio_mean_02,ela_level.lda_mda_10,ela_level.qda_mda_50,ela_level.mmce_mda_25,nbc.nn_nb.mean_ratio,ela_level.lda_mda_25,disp.ratio_mean_05,disp.ratio_median_02,ela_meta.quad_simple.adj_r2
1,1,1.5179495947567847,0.6997709232301093,0.8816496569121399,-0.7091399635591878,0.6371469620514552,-0.7080662088519957,1.4285545079694797,-0.2252100713652802,0.0667387464183706,0.9419653887920432,1.186056775390782,-0.0736642033339883,-0.0970280345606846,-0.1973078595143969,0.3041590958946448,-0.0741250219416981,0.0336395475916143,-0.8323319622872555,-1.8036476445935063,0.0430059902136767,2.9236287166752413,0.0742074358589207,3.07559215023773,0.7206619429986002,-1.4120098258797753,0.4492534189897934,1.9639849044813675,0.0427686728241681,0.0829011058443221,0.6353739160897776
2,1,1.697772800618176,0.6997709232301093,4.969840848589457,-0.7091399635591878,5.148473183171,-0.3698463889134199,1.5921059017653028,-0.2752186211249903,5.264682144677648,4.914030033306249,0.4606253225088653,-1.5324258984993575,-1.5151089416187962,-0.1995860059301319,-0.0841585477127167,-1.532512758725418,-1.5522875894641612,-0.3726655041022774,-0.309532369610421,-1.5623403449799047,0.1554391540987669,-1.5428968834460937,0.8295576979458652,-0.2170098529561223,-0.2780242587541567,1.3100846208152102,-0.3003936567882443,-1.5622206432618904,-1.5573564883611908,1.2366417959721991
3,1,1.442525842765615,0.6997709232301093,0.1860526855289812,-0.7091399635591878,0.0364900530778388,-0.75417109585715,1.3947230880678638,-0.1730981577100973,0.035419488211427,-0.2203438509126864,0.5586698713076624,1.1002625722732913,1.075046571796242,-0.1963461120210201,0.4578383109385178,1.099920189586729,1.1264855901611726,-0.9796170420335608,-1.48731586323711,1.1445739156410215,1.3188580286164622,1.195217763248417,-0.8196422584444218,2.331446785545567,-1.0367697038134265,-0.3094920313371012,2.4124981776046064,1.1448365271621614,1.1648451300778706,-0.6061244874294228
4,1,-0.0250934574083252,0.6997709232301093,-0.3308817344546089,-0.7091399635591878,-0.2889226516027773,-0.4346043981420339,-0.0320839472666565,-0.2013739913020069,-0.2442269161914839,-0.3119030384145494,0.3498137039165692,-0.8142349941850265,-0.8338976383280671,-0.196101348256866,0.0774016527180215,-0.8140756914118301,-0.9652610119595804,-0.4147958873785458,-0.3923212354649682,-0.9486766715558674,0.3827228061417361,-1.0271809451607434,1.6091974616318665,-0.262929693024038,-0.8574148437068235,0.912777912280402,-0.0016688210036543,-0.9487202554635096,-1.034148998925342,0.6406801127100209
5,1,-1.3941374197897332,-1.648925550924001,-0.3308869622645761,1.4275086135387989,-0.2889267053445971,2.2183623060171582,-1.4306934377872569,-0.436656399294718,-0.2442347721911927,-0.3119072214915294,-1.76690099569285,1.4298572649047927,1.4400435602357695,-0.1990063561790391,-2.056196027471505,1.4294862499463816,1.3541839642565283,2.129468234378546,1.4005052176689856,1.3553990980070711,-1.1127922316367382,1.2946071872521274,-0.8196422584444218,-0.1123201764226852,1.672563159916732,-1.843537378179839,-0.8341108191826168,1.355361790219492,1.3027316632679162,-1.541531148769448
6,1,-1.121476065107862,-1.6489255509240013,-0.3308869613908652,1.4275086135387989,-0.2889266959189983,1.025970266525072,-1.1769155344619782,-0.3572130195108989,-0.244234771946774,-0.3119072213401458,-1.195656462624734,0.5672143656717197,0.5481557903603574,-0.2000156226626115,-1.322547933276047,0.5677737317645636,0.5267206420778308,1.23171429480863,1.4212024341326226,0.5335415963260015,-1.1212228031912144,0.5058902559952103,-0.8196422584444218,-0.5269215307807381,1.6444614767663883,-0.7564620784387612,-0.8178368763318306,0.5334626571724403,0.4990984943688773,-1.023343147398264
7,1,-0.5878015878994982,0.2053155316316673,-0.330886892140399,0.3590374359084704,-0.288926604514593,-0.5996669325345333,-0.6411621829975009,-0.2977607951184538,-0.2442345355308825,-0.3119071414245292,0.9375899555634468,-1.137726081397431,-1.1281825343999583,-0.200387172008365,0.0662966278547117,-1.1380686125790076,-1.2938048198034646,-0.6035263035185778,-0.3349843520184066,-1.3132807900298082,0.2708468430809866,-1.3995713621360208,1.297934438107038,-0.2196554404497472,-0.8805574063012239,1.2052397949518572,-0.371027680994013,-1.3139496891008473,-1.3691371409085202,1.385821723809895
8,1,-0.7734199341366997,-1.5420270978415849,-0.3308869463104734,1.4275086135387989,-0.2889266551373214,-0.0625977907798335,-0.8329111216072438,-0.324828574228124,-0.2442347223567983,-0.3119072143026749,0.2751754497391877,-1.3086270331322851,-1.2850032842141952,-0.1999469044677382,-0.5283595422451232,-1.3084870180157786,-1.1435982000622382,0.0876860009652417,0.6769417177848137,-1.1524912047367293,-0.6615288001870133,-1.071543606518623,0.051894207425101,-0.6229185626922659,0.2517751206390803,0.4492534189897934,-0.734422268735392,-1.152334335642695,-1.0616417125982047,1.0063528626536415
9,1,-0.756034513009269,-1.506928105131628,-0.3308869435046539,1.6945529634057128,-0.2889266436010889,-0.1308752570317417,-0.8103474518810201,-0.2946394766846473,-0.2442347082322903,-0.3119072129075157,0.1840054769830445,-1.3015061601433315,-1.2900803600220567,-0.199188444033711,-0.4796407234899562,-1.302094771910288,-1.1313905949242578,-0.0671345944890132,0.5301033577387417,-1.1374857715361082,-0.5576277021102277,-1.035285662139587,0.1092061292169725,-0.3897289221827679,0.2649994421215947,0.6175569552441221,-0.509484001059603,-1.137448710982076,-1.0358408582282883,0.6273388183505519
10,1,-0.4021542659604176,0.4902446169387317,-0.3308866624041616,-0.7091399635591878,-0.2889262774204661,1.7879327120682733,-0.4719769141139818,-0.3623395857400979,-0.2442347252557148,-0.3119072002043715,-1.6560893771005536,1.3993392378092862,1.403007925430844,-0.2001278657946253,-1.7395237055629182,1.3997093045203022,1.285715222395687,1.7509798317746703,1.4005052176689856,1.2790352712643764,-1.1127922316367382,1.2459788853790668,-0.8196422584444218,-0.1773260405517509,1.6742162001020462,-1.895959791111516,-0.8345368386289723,1.2793387785599006,1.228712818764057,-1.380829193984938
