f_id,i_id,ic.eps.max,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_distr.skewness,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,pca.expl_var.cov_init,ela_meta.lin_w_interact.adj_r2,disp.ratio_mean_25,ela_level.mmce_qda_25,ela_distr.kurtosis,disp.diff_median_25,ela_level.lda_qda_50,disp.diff_median_02,nbc.nn_nb.mean_ratio,disp.ratio_median_02,pca.expl_var_PC1.cor_init,disp.diff_mean_05,disp.diff_mean_25,disp.ratio_median_05,disp.diff_median_05,ela_level.mmce_mda_50,disp.ratio_median_10,disp.diff_median_10,ela_level.lda_mda_50,disp.ratio_mean_05,nbc.nb_fitness.cor
1,1,0.7559982951041795,1.3941021767571409,0.6997503592192601,0.5800180930595971,0.8458811026050873,-0.2256461678553977,1.314801868764038,0.0464141826718865,-0.7096746463892777,-0.7091399635591878,1.1578808268806815,-0.0652795023926446,-1.0353930676812506,-0.3408891757439348,-0.0880726054280951,0.0607472042137048,0.1050981482408988,0.4439877366970509,0.1055183619765317,0.9938405679552884,0.0572649228467927,-0.0657465272982169,0.0494142092847145,0.0491007807983006,-0.8104042656513158,-0.0367146937121676,-0.0372571119966724,0.0271896643708427,0.0570343432332972,0.3737414182762265
2,1,4.610042645916421,1.5668337144916298,0.6997503592192601,5.0146415751427975,4.674828054258202,-0.507172656314891,1.4723652560171547,5.240166783549567,-0.3711970532857935,-0.7091399635591878,0.4120390867473733,-1.5350755968704473,-0.4099394908898764,-0.4359792963974609,-1.5181212114148117,-0.3369115963517052,-1.5754400898927328,1.3064181878853045,-1.5753323497238425,0.9420888819387628,-1.572787441767984,-1.5351639047446737,-1.5645473673979549,-1.564586841089335,-0.355868708917905,-1.5727793523652494,-1.5722951081667118,-0.3402566539774351,-1.5726698945012172,-0.0382995168760308
3,1,0.1002409069812787,1.3216529030344737,0.6997503592192601,-0.0104262912857408,-0.2745489050968577,0.0677213488740654,1.2822090978217382,0.0151201753488465,-0.7558146720880877,-0.7091399635591878,0.512842155867376,1.1175271175706656,-0.8433610817120114,-0.3007457132554088,1.0938935634912543,2.4970439883344278,1.2139079742363688,-0.3161673084208053,1.2142383517984905,-1.3565485052952473,1.1757858066348466,1.1171778707992932,1.1615784952250137,1.1617640800403366,-0.9560453158714108,1.1547805880437572,1.1547915520096443,2.346312810998547,1.1760727284017805,0.5368092791436792
4,1,-0.3870866390332106,-0.0880880551111717,0.6997503592192601,-0.3303062447214174,-0.362809118174022,-0.0914593547785063,-0.0923591294875314,-0.2643007665336883,-0.4360044176261068,-0.7091399635591878,0.2981097415149165,-0.8114521361303295,-0.739247354379292,-0.2905292426614808,-0.831160918948663,-0.2230125841583991,-1.0392330482317869,0.9083733642599562,-1.0391765141453575,0.5517949165641324,-0.9496795802345288,-0.8112933697109479,-0.9671439190006884,-0.9670731859665526,-0.3975288232831878,-0.9200530180473464,-0.9203470430312506,-0.2913461039455605,-0.9497223322800744,0.1331307983948808
5,1,-0.387091567425873,-1.4031411802931149,-1.648923431432226,-0.3303102295404667,-0.3628131505303112,-1.415997467496328,-1.4397621913403127,-0.2643086161995645,2.218984236706946,1.4275086135387989,-1.8781595236935544,1.44961493808029,1.8204079124154868,-0.4117846421875729,1.4619708938532705,-0.6547484875588798,1.3555101605757585,-1.8530625996409056,1.3555373028078563,-1.4039875508103958,1.3898555556368153,1.4492364063277354,1.3933018942868811,1.3934112647859973,2.1183356442397447,1.3921356187048122,1.392224655233035,-0.4902586260024268,1.389839829475934,-2.130813675559774
6,1,-0.387091566602203,-1.141232741672177,-1.648923431432226,-0.3303102202751244,-0.3628131503843821,-0.9687656271538712,-1.1952757022319198,-0.2643086159553428,1.0256834193972637,1.4275086135387989,-1.290842810456811,0.5804468152649692,1.7240063130333392,-0.4539115533604432,0.5625561597159129,-0.5160015878816682,0.5322238428892636,-0.7639677349993229,0.5320158091949866,-0.981348781675437,0.5553497953392558,0.5810068425136714,0.5512115000270836,0.5514403736971347,1.2306026381307509,0.5546499707473382,0.555330684753552,-0.4616914020900046,0.5552844298278512,-1.352345192910491
7,1,-0.3870915013179842,-0.6286047265265403,0.2052997430272176,-0.3303101304248006,-0.3628130733482098,-0.634075338298594,-0.679137558558646,-0.2643083797300596,-0.6011927539065793,0.3590374359084704,0.9024232994613762,-1.137390182186077,-0.804029229164095,-0.4694200702285481,-1.127929391957452,-0.411609593508291,-1.382284099131891,1.2013785816508364,-1.382454947272406,1.3410081283161477,-1.3198948991582589,-1.137736616952332,-1.301495396901148,-1.300939003386334,-0.5841525876349831,-1.2309071917256025,-1.232129925190364,-0.3780897900230673,-1.320575863689022,0.1213473399172798
8,1,-0.3870915523855247,-0.8069028623188602,-1.542026010765606,-0.3303101801868282,-0.3628131436004788,-0.7864552181343025,-0.863866111268251,-0.2643085664053486,-0.0637142866059374,1.4275086135387989,0.2213715119344135,-1.309583866894773,0.1592155518623205,-0.4510432471811438,-1.2860736089379083,-0.5376393135042989,-1.0674042274333326,0.4439877366970509,-1.0673496178742197,0.9507141629415172,-1.156630787255074,-1.309443879753215,-1.148633574209985,-1.148637944176424,0.0993442480490877,-1.2288842795324688,-1.2291224586991991,-0.4796942036913795,-1.1564718265007832,-0.5096378559800894
9,1,-0.3870915497404056,-0.7902030681453679,-1.5069273570386137,-0.3303101688467378,-0.3628131422555887,-0.616503666609338,-0.8421285512975746,-0.2643085522922284,-0.1320437903125722,1.6945529634057128,0.1276364376441943,-1.3024091300319092,0.128367040060035,-0.4193850123616332,-1.2911935320293093,-0.3081436073641277,-1.0415129054234735,0.6126039467050112,-1.040910243605596,0.4288846622748846,-1.141394422780618,-1.303003289729442,-1.136210175192681,-1.1361003113903314,-0.0537482047404069,-1.2214669348243117,-1.2213939074423112,-0.35210355547647,-1.141356980970288,-0.4579426833041605
10,1,-0.3870912847396476,-0.4502787577439313,0.4902260765144,-0.3303098088920129,-0.3628131300101522,-0.997625975940154,-0.5161465658197174,-0.2643085693019279,1.7882265922058416,-0.7091399635591878,-1.764230178461097,1.4188660658108834,1.821950338005601,-0.4585965959424286,1.424622701898207,-0.649130704301649,1.279946983676462,-1.90558240275814,1.2796866389224602,-1.2357945712566878,1.312316501524886,1.4192342608401087,1.3236228302333126,1.3235401929191797,1.744072015185781,1.3442600301339749,1.344160983597296,-0.4925350265611047,1.3126461540880456,-1.7947950531662358
