f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.ratio,ela_meta.lin_simple.intercept,ic.eps.s,ela_distr.skewness,ela_meta.lin_simple.coef.min,pca.expl_var.cov_init,ic.eps.max,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,nbc.nb_fitness.cor,disp.ratio_mean_25,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_qda_25,disp.diff_mean_05,disp.ratio_median_25,ela_distr.kurtosis,disp.ratio_median_10,disp.ratio_median_05,disp.diff_mean_25,ela_level.lda_qda_10,nbc.nn_nb.mean_ratio,disp.ratio_median_02,ela_level.qda_mda_50,disp.diff_median_25,disp.ratio_mean_05,ela_level.lda_mda_50,ela_level.mmce_mda_50,ela_distr.number_of_peaks,disp.diff_mean_02
1,1,0.6997023938838479,1.3953753553624308,0.5800180901232954,1.3163980460635574,-0.2258169857990953,0.0464140285028888,-0.7091399635591878,0.7559983064087284,0.8458811372152123,-0.698777301423121,0.306521459876312,-0.1061047796224432,1.1881192189076548,-1.072528951360301,0.0053260773496496,-0.1295552262781545,-0.1973576330851407,-0.0849984886717544,-0.0037192069536157,-0.1065530168227777,2.898727402683778,0.4694869658708813,0.0485161390976772,0.4074370983681784,-0.1295162928031667,0.0051194795858126,0.0357966885971041,-0.8138341448846463,-0.2906184151239539,0.0397914670462862
2,1,0.6997023938838479,1.5679792178161438,5.014641577526895,1.4738386221391822,-0.2758305070727357,5.240166843643071,-0.7091399635591878,4.610042633378995,4.674828019499337,-0.3618763151010506,-0.0821759428131495,-1.5547171779740483,0.4622380654518925,-0.4369992744299404,-1.5788168922710926,-1.5370709588889195,-0.1996358008791206,-1.5815790213565672,-1.5681693086268702,-1.554782933472928,0.1447343080331604,1.3316582805044754,-1.571021419585282,-0.2530714814725693,-1.5375985504632743,-1.5786810759534051,-0.3307443965081465,-0.35858861500063,-0.7073843840654483,-1.5574533734546652
3,1,0.6997023938838479,1.3229796328411587,-0.0104262949304227,1.283830679224628,-0.1736998915276794,0.0151200198888493,-0.7091399635591878,0.1002409223424886,-0.2745488501879145,-0.7447024098603647,0.4603509670292449,1.0596544307665072,0.5603433928255392,-0.8774033168896959,1.092344527119249,1.034058863136521,-0.1963958765666752,1.0758697296136122,1.0743272319169428,1.0593148494177047,1.3021866696502529,-0.2904396736298876,1.1167928474811244,1.542095529356193,1.0342942131072077,1.092638045876903,2.349206490820004,-0.9597026827759488,0.7744501721709763,1.1468315181425068
4,1,0.6997023938838479,-0.0857193090345363,-0.3303062487498723,-0.0896661548791374,-0.2019785361129346,-0.2643009335208864,-0.7091399635591878,-0.3870866206572841,-0.3628090616660694,-0.4263818109213014,0.0795422570142927,-0.8415230683253501,0.3513577538793406,-0.7716123102490071,-0.973258469982669,-0.8612601558664204,-0.1961511105056452,-0.9456308406546802,-0.9890923968294744,-0.8413498540035843,0.3708523516510706,0.9337330583658932,-1.0544231833576332,-0.2854180322386518,-0.861190353225,-0.9732800023885636,-0.2819543415080976,-0.4003138014206999,-0.3369257450063422,-1.0477601931122935
5,1,-1.648918523372931,-1.3998004068774357,-0.3303102335689264,-1.4360189971379669,-0.4372843343014122,-0.2643087831870864,1.4275086135387989,-0.387091549049916,-0.3628130940222857,2.2162400776278828,-2.0561419961392446,1.3869559768375768,-1.7666691135597206,1.829279178939477,1.3003851368883024,1.3968625573907,-0.1990561456885643,1.307123613505207,1.298942055751555,1.3865854483723914,-1.116993041117003,-1.8268731702205312,1.252937572630852,-0.1793266702610068,1.3967176693169665,1.3003839948644922,-0.480376826739368,2.1194803833620672,-0.7073843840654483,1.24515152304106
6,1,-1.6489185233729315,-1.138085559038338,-0.3303102243035841,-1.1917230705335398,-0.3578330567906813,-0.2643087829428648,1.4275086135387989,-0.387091548226246,-0.3628130938763566,1.0284975785028316,-1.3217764235303726,0.5303148932935358,-1.1950704615830483,1.7313245431610618,0.4893827040947964,0.5117028439582291,-0.2000654216431461,0.4911653072740675,0.4826844558490791,0.5308748462419522,-1.1253803770707502,-0.7381055485357936,0.4594560456845859,-0.4713774207992169,0.5111184497414464,0.4893354162412283,-0.4518799804561537,1.2303607605408995,-0.7073843840654483,0.466272760219302
7,1,0.205262908774673,-0.6258364551594325,-0.3303101344532602,-0.6759872254797498,-0.2983749220576409,-0.2643085467175718,0.3590374359084704,-0.3870914829420276,-0.3628130168401857,-0.5908007105935709,0.0684263718820299,-1.1627634746543678,0.9394983725751084,-0.8374378254921022,-1.333046908348284,-1.153942127701729,-0.200436974475538,-1.248494592001342,-1.3131869794719593,-1.1630861312517558,0.2595501366972924,1.22665023577346,-1.3851796935373395,-0.2549350687595042,-1.1534002961088854,-1.3336877472230924,-0.3684843276127401,-0.5872290674162983,-0.7073843840654483,-1.415458685460689
8,1,-1.5420235091833363,-0.8040028010953794,-0.3303101842152879,-0.8605717934003106,-0.3254453920639988,-0.2643087333928686,1.4275086135387989,-0.3870915340095678,-0.3628130870924533,-0.0558257833017089,-0.5268113481036777,-1.332475387431961,0.276673230870354,0.1413248952058222,-1.1743810270077624,-1.3094294252392344,-0.1999967028034176,-1.2465236782181752,-1.1650144966160254,-1.3323175550195132,-0.6680438828360293,0.4694869658708813,-1.081568604016322,-0.5389990166394226,-1.3091153292549684,-1.1742060086063577,-0.4698384307232972,0.0973353731991599,-0.7073843840654483,-1.0916327700998218
9,1,-1.5069256455979887,-0.7873153506486781,-0.3303101728751974,-0.8388511765493676,-0.2952532933233328,-0.2643087192797478,1.6945529634057128,-0.3870915313644487,-0.3628130857475633,-0.1238370125904516,-0.47804488429762,-1.3254040577328932,0.1854467411422722,0.1099794117567311,-1.159573785112504,-1.3145107094724855,-0.1992382352519582,-1.2392969943465637,-1.1529722100234925,-1.3259698315636248,-0.564675634324985,0.6380525113601422,-1.056093670782784,-0.3747371086338839,-1.3141566074572653,-1.1595169011021853,-0.3425621122226782,-0.0559962061656503,-0.7073843840654483,-1.056101670110605
10,1,0.49018282799413,-0.4476422968060747,-0.3303098129204721,-0.513123274410132,-0.3629601326686412,-0.264308736289448,-0.7091399635591878,-0.3870912663636924,-0.362813073502127,1.7874888744313249,-1.7391599813998675,1.356650278127295,-1.6557888019871685,1.830846453111932,1.22502992124682,1.3602773109112904,-0.2001776658284552,1.260478653970255,1.2314005352977904,1.35701590242461,-1.116993041117003,-1.879377192586039,1.1798537477805378,-0.2251176721685475,1.3599431665291235,1.225364624396752,-0.482647619204136,1.7446321638972095,-0.7073843840654483,1.197035036703514
