f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,ic.eps.s,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_distr.skewness,disp.ratio_mean_25,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_50,disp.ratio_median_10,disp.ratio_mean_02,ela_meta.quad_simple.adj_r2,disp.ratio_median_02,disp.diff_mean_10,disp.ratio_mean_05,pca.expl_var_PC1.cor_x,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,disp.diff_mean_05,ela_level.mmce_qda_25,disp.diff_median_02,ela_level.qda_mda_10,disp.diff_median_25,disp.ratio_median_25,ic.h.max,disp.ratio_mean_10
1,1,0.5800180697137448,0.7559982813542857,1.396265168581061,0.0464140170293208,0.8458810894695878,-0.7051229294195384,1.3156112013308403,-0.6548570506842823,0.6463192316062943,-0.2298854765449084,-0.1446438015808369,1.219687271588772,-0.8054163300432988,-0.13026033917882,-0.0082290287827126,0.7145491121226756,0.0012603572374772,-0.1149201829301565,-0.0402402364332922,1.1429777280375322,0.2925422504475569,0.4007319874002767,-0.0400180158709051,-1.054657639315156,0.0008726550306844,-1.7486989509659134,-0.1678428911842382,-0.1678893218743274,0.1752712436926284,-0.1148155173353765
2,1,5.014641594098259,4.610042661165938,1.572718068655112,5.240166848115505,4.674828067450262,-0.3673537872893347,1.4768322956639346,-0.6548570506842823,0.6463192316062943,-0.2799447425952931,-1.635019701615702,0.4847795563681097,-0.3518349806289918,-1.680478052533393,-1.6743269944231638,1.339867934742838,-1.6861479242033204,-1.6945189692848326,-1.68730565951468,0.7436240640244127,-0.0946076268391909,1.964155421308753,-1.6874586862512542,-0.4245102161245156,-1.6861364008127682,-0.2794636873287561,-1.6151905460311675,-1.614633499750809,0.58623340984553,-1.694343299808348
3,1,-0.0104263202637676,0.1002408882971972,1.3222550334065923,0.0151200083192016,-0.2745489259363519,-0.7511663816766212,1.2822618154724104,-0.6548570506842823,0.6463192316062943,-0.1777207134675119,1.0547242518642377,0.5841048545218049,-0.9507516357423696,1.0722131900123704,1.146744712631982,-0.5766096973671144,1.1143058404570645,1.09253704810581,1.0907192276434614,-0.8537905920280096,0.4457593144291206,-0.8086672934009359,1.0904344987988843,-0.8611845093836267,1.1139518907283954,-1.4376347272344223,1.0284213165721523,1.0281555038791537,-0.6441724316746242,1.0922590703031754
4,1,-0.3303062767507387,-0.3870866613841445,-0.117857662170378,-0.2643009459484199,-0.3628091396203869,-0.432025506490123,-0.1242159056894134,-0.6548570506842823,0.6463192316062943,-0.2060252230638729,-0.9012642027142967,0.3725204130458202,-0.3934076378405862,-1.021737601906867,-1.1429863348453992,0.7200675586157936,-1.1479003625369284,-1.017336490909326,-1.0577218575153684,-0.0550832640019369,0.0664667224747606,1.128570463664279,-1.057703927810388,-0.7562894389388224,-1.1478647241779918,-0.3608739527792609,-0.9199202145812752,-0.9199873782433268,-0.0934665913168135,-1.0174028216056454
5,1,-0.330310261569826,-0.3870915897768439,-1.4612425514225138,-0.2643087956146441,-0.362813171976704,2.217406120333472,-1.5028978439667338,1.5470030867191007,-1.8066466918303,-0.4415462432749284,1.3914619029181354,-1.771844788496058,2.117175270840094,1.311755172058379,1.2491453525671503,-1.549432979153902,1.2561560466844237,1.31238619282544,1.3067635825756347,-0.3878779840127128,-2.0607147066026115,-1.2308575877897223,1.3067878003612554,1.8225752929597352,1.256099308300448,1.402098349713098,1.4009512142774132,1.401070790162113,1.2262428999910933,1.3124686234534515
6,1,-0.3303102523044837,-0.3870915889531739,-1.1936915057092017,-0.2643087953704225,-0.3628131718307749,1.0266029428754802,-1.2527357980062024,1.5470030867191007,-1.8066466918303008,-0.3620222957969721,0.5101238532461976,-1.193138126465347,1.2313058842418083,0.4665530649528579,0.436532548961454,-1.0105172616259863,0.4294217159114702,0.4764158767934333,0.4633176918555857,-0.3878779840128421,-1.3292728720239588,-0.6833295497542691,0.4633800921028926,1.7254502277330646,0.4296429730779905,1.4224509160757246,0.490656416786753,0.4912410580823935,1.1501694205422677,0.476487912419995
7,1,-0.330310162454159,-0.3870915236689546,-0.6700193314320712,-0.2643085591451288,-0.362813094794602,-0.5968680951051756,-0.7246159232006363,0.4459216458094205,0.1299126888292852,-0.3025097777885749,-1.231765971341276,0.9679747463845833,-0.5796396225852086,-1.3354559363478042,-1.5266591188084997,1.4950151161493532,-1.492518041469654,-1.3510608549702057,-1.4325260793295167,-0.2547600960083396,0.0553950931427599,1.4276219221896698,-1.4318684555474597,-0.8215574827711449,-1.492236673802782,-0.3044918432611746,-1.2202786441085054,-1.2208266007909288,0.5109868160428853,-1.350435787789705
8,1,-0.3303102122161871,-0.3870915747364955,-0.8521587574511447,-0.2643087458204261,-0.3628131650468715,-0.0605145978203777,-0.9136328004182338,1.5470030867191007,-1.6950025242825582,-0.329605007751346,-1.4063706792951505,0.2969071643678819,0.1024223469513574,-1.3334143853644578,-1.188693058249938,1.1003673569415198,-1.1761833791160037,-1.3460732469983987,-1.266673847260374,0.0780346240025654,-0.5374728001192348,0.3171734916358294,-1.266862751558067,0.148916168973746,-1.1761443749163032,0.6905836310629054,-1.3803359041317314,-1.38064743776934,1.0889798827247323,-1.3463578331017374
9,1,-0.3303102008760965,-0.3870915720913764,-0.8350991796160769,-0.2643087317073053,-0.3628131637019813,-0.1287010843690349,-0.8913906205076572,1.8221977608425264,-1.658345325699467,-0.2993852938621928,-1.399095483130404,0.2045462443818918,-0.0503487185741767,-1.3259286984255207,-1.1513366016212283,0.706192607433097,-1.149640855864872,-1.329734068650736,-1.251397983780322,0.8101830080266085,-0.4889004907917463,0.6272194890775948,-1.251463855762539,0.1178361481012131,-1.1501533598312197,0.5461904237604898,-1.3855177620408354,-1.3858703409385686,0.9806578630747717,-1.3300460143498654
10,1,-0.3303098409213682,-0.3870913070906164,-0.4878514727832727,-0.2643087487170055,-0.3628131514565448,1.7875500736891023,-0.5578412258936154,-0.6548570506842823,0.4274910879733917,-0.3671540611456075,1.3602824907835185,-1.659585645173768,1.7436973341017852,1.2634384654525088,1.1990437519121748,-1.382302885362331,1.1800094635869145,1.262770359462003,1.2287475655167948,-0.3213190400105354,-1.7449946959739349,-1.1341056453256255,1.228421611605716,1.8241292940033615,1.1802451796499829,1.402098349713098,1.363151227750636,1.3634658873436667,1.27668292440825,1.2628535080831729
