f_id,i_id,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ic.eps.s,ic.eps.ratio,disp.diff_mean_10,ic.h.max,disp.diff_median_02,ic.eps.max,nbc.nn_nb.mean_ratio,pca.expl_var_PC1.cor_x,ela_level.mmce_qda_50,ela_level.lda_mda_50,ela_distr.skewness,nbc.nn_nb.sd_ratio,ela_level.qda_mda_10,ela_level.lda_qda_25,ela_level.mmce_mda_10,disp.diff_mean_02,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_level.mmce_lda_10,ela_level.lda_qda_50,disp.ratio_median_05,pca.expl_var.cor_init,disp.diff_mean_25,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max_by_min
2,1,5.068443386994181,5.245063031729048,1.5764844214390774,1.683945835269994,-1.5866318818228975,0.5716202850402138,-1.5648858169142033,4.687333522503028,1.3368798013683074,0.7814538635797494,-0.370335809669272,-0.3240972300063021,-0.277541330414272,1.757163733247611,-0.3486232509205439,-0.1467466441775678,-0.4413445029311724,-1.5510687242134624,0.2758726966363462,-0.5552114333351833,-0.2500266475801027,-0.31797811119381,-1.5608486151023484,-1.6201851746019624,-1.5468714179096177,-0.2933407540024015,1.0128771849403937,-0.1996651416487498,0.4967191985669989,-0.2174333457812372
3,1,0.0210574189638656,0.0258059612569109,1.3804636461892623,1.4302096137024765,1.0995812506353373,-0.6536210491568525,1.1221663173580678,0.1407954167880485,-0.2875102670608593,-0.8469649659157077,-0.754765429776346,2.3548809744172705,-0.1753770981638938,-0.8078099439490949,-1.5729150430401104,1.8874122090204104,0.6610075825150566,1.1525068435841812,1.6521364865974424,0.1464595244417265,0.5568208224301363,2.506444528713771,1.0800753404629992,0.6172133998483701,1.0641701796597884,-1.0629591193371748,-1.2945719893593357,-0.1964251993210138,0.5969038141398482,-0.5810869836235846
4,1,-0.300243234349089,-0.2533053722706196,-0.0364977191851338,-0.0287232529560295,-0.9339516144969552,-0.1052267423186496,-1.0483435129128842,-0.3505018477437194,0.9383922888405398,-0.0327555511681203,-0.4351114965737607,-0.2753248832607725,-0.2036650507794282,0.984213695710142,-0.4346812823780101,-0.0136084091490055,-1.5144306038080322,-1.0415092344834955,0.5447373912086519,-0.1913559818099447,-1.2956720235126544,-0.2044622359132479,-0.9821163197080004,0.6172133998483701,-0.8342724249535723,-0.8810340809083668,0.6210870343322781,-0.1961804318989855,0.3834888400647974,-0.4513261474074944
5,1,-0.3002472368661275,-0.2533132132387865,-1.4254561166666992,-1.3896642220356163,1.3114756854872391,1.2089433983927191,1.2585754166433074,-0.3505068162825459,-1.826114829320857,-0.3720094739795256,2.218579415850345,-0.4736753514412153,-0.439048300823415,-1.1983531208101317,1.4289402772245603,-0.9542271771219402,0.6610075825150566,1.2508010595136574,-1.224378822150073,0.8245537750114886,0.5568208224301363,-0.6347458531352596,1.3045564930165017,0.6172133998483701,1.3910581610983517,1.6851988344399342,-1.342192891643195,-0.1990854832350759,-1.7794284363760784,-0.4906012648369378
6,1,-0.3002472275596345,-0.2533132129948355,-1.1734294056312224,-1.1186166746465438,0.505752934577892,1.133189229880536,0.4654821180673338,-0.3505068154521663,-0.7358087186545986,-0.3720094739796574,1.025861876543782,-0.445188848032322,-0.3595708716032355,-0.6918674383184785,1.4504547850889271,-0.9182868508958828,0.6610075825150566,0.4721265936744893,-1.2343517481642845,0.6767594910263821,0.5568208224301363,-0.4964656744398323,0.488784658911812,0.6172133998483701,0.5363479845061478,1.6566944505386465,-0.9179339440233576,-0.2000947648016405,-1.1957150668447871,-0.4402019044073581
7,1,-0.3002471373102536,-0.2533129770312983,-0.641373015667438,-0.5881008693530322,-1.2556009691449848,0.4966895314031611,-1.3788135859524338,-0.3505067496361492,1.2317233744512568,-0.2363079048548995,-0.6002190898248758,-0.3618234634771149,-0.3000931659845832,1.2608484459867098,-0.3750802808618593,-0.305901858721984,-1.621739213895718,-1.4091112808943775,0.412393967614665,-0.2870703752479187,-1.440398027101942,-0.3924248369875664,-1.306018029336483,-1.6201851746019624,-1.1556325549534396,-0.9045082794153098,1.413325681418302,-0.2004663197000166,0.9840947741584553,-0.5624395845302442
8,1,-0.300247187293292,-0.2533131634997445,-0.8317987923372671,-0.772620591837028,-1.2507938257112603,1.0722565291207349,-1.0754815485606923,-0.3505068011196804,0.4734901908914786,0.1029460179566376,-0.0630033386496057,-0.4631407803152554,-0.3271725463456694,0.233638527680337,0.6768047117500124,-0.6687401256130114,-0.1194186726681147,-1.0853703038583828,-0.6905577418488688,-0.1294231389971388,-0.0437920924653777,-0.5180306144321559,-1.157933725903752,-1.6201851746019624,-1.3246661274408835,0.2440507189601141,1.0215355308101866,-0.2000260455798075,0.307221419862428,-0.6747220999681326
9,1,-0.3002471759028362,-0.253313149402262,-0.8093908230244226,-0.755338070218171,-1.235045841035961,0.9643891804783848,-1.050539759129532,-0.3505067984530144,0.6422939288372693,0.849304648142072,-0.1312994433206428,-0.3359106565041541,-0.2969705097535472,0.520443673187661,0.5241680005501146,-0.4419025976092592,0.0886949953807312,-1.0498485235436292,-0.5676481671872436,-0.2575115184508976,0.2673688152515751,-0.2893068928302644,-1.14589860583678,0.6172133998483701,-1.318325825214368,0.2574645466783672,0.4977056056877338,-0.1992675738109615,0.2140614350976921,-0.6808619038614585
10,1,-0.3002468143494252,-0.2533131663931142,-0.4733552083104536,-0.4035523426663382,1.263655081119371,1.2591717057757976,1.1857834268695095,-0.3505065312935884,-1.8786930427793824,-0.3041586894172219,1.788032323001488,-0.4759453197263236,-0.3646996350789646,-1.1088536427794773,1.4289402772245603,-0.9542271771219402,0.6610075825150566,1.2026971939502815,-1.224378822150073,0.8245537750114886,0.5568208224301363,-0.6291469671458119,1.2370551674234904,0.6172133998483701,1.3615231853999583,1.6868755629047156,-1.1733551471822394,-0.2002070096110728,-1.6661980778738763,-0.5154111808553864
11,1,-0.300246796524225,-0.2533131791362533,-0.4677602097304674,-0.4035523426663382,1.0607775957851655,1.272346343777917,0.9923377310815112,-0.3505065178387396,-1.6877511096931563,0.9850062172665476,1.8418947148296767,-0.47492223542881,-0.3641168210476317,-1.306159310256147,1.4289402772245603,-0.9554994010591458,0.6610075825150566,0.996870040140141,-1.224378822150073,0.8280726865349431,0.5568208224301363,-0.6326539616666748,1.0314115941052462,0.6172133998483701,1.109974084124084,1.6868755629047156,-1.1928364253892725,-0.2002080337425457,-1.6720519368806372,-0.3514380905584781
