f_id,i_id,similar_instances
1,1,"[(2, 1), (17, 1), (18, 1), (20, 1), (21, 1), (30, 1)]"
2,1,"[(1, 1), (18, 1), (20, 1)]"
3,1,"[(1, 1), (17, 1), (18, 1), (20, 1), (21, 1), (22, 1), (29, 1), (30, 1)]"
4,1,"[(7, 1), (15, 1), (19, 1), (22, 1), (23, 1), (24, 1), (26, 1), (27, 1)]"
5,1,"[(6, 1), (8, 1), (9, 1), (12, 1), (13, 1), (14, 1), (16, 1), (25, 1)]"
6,1,"[(5, 1), (8, 1), (9, 1), (12, 1), (13, 1), (14, 1), (16, 1), (25, 1)]"
7,1,"[(4, 1), (8, 1), (9, 1), (13, 1), (14, 1), (19, 1), (23, 1), (24, 1), (25, 1)]"
8,1,"[(7, 1), (9, 1), (13, 1), (14, 1), (23, 1), (24, 1)]"
9,1,"[(5, 1), (6, 1), (7, 1), (8, 1), (12, 1), (13, 1), (14, 1), (16, 1), (25, 1)]"
10,1,"[(5, 1), (11, 1), (12, 1), (16, 1)]"
11,1,"[(5, 1), (10, 1), (12, 1), (16, 1)]"
12,1,"[(5, 1), (6, 1), (8, 1), (10, 1), (11, 1), (16, 1), (25, 1), (28, 1)]"
13,1,"[(5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (12, 1), (14, 1), (16, 1), (25, 1)]"
14,1,"[(7, 1), (8, 1), (9, 1), (13, 1), (24, 1)]"
15,1,"[(4, 1), (18, 1), (22, 1)]"
16,1,"[(5, 1), (6, 1), (8, 1), (9, 1), (12, 1), (13, 1), (14, 1), (25, 1)]"
17,1,"[(1, 1), (3, 1), (15, 1), (18, 1), (20, 1), (21, 1), (22, 1), (29, 1), (30, 1)]"
18,1,"[(1, 1), (3, 1), (15, 1), (17, 1), (20, 1), (21, 1), (22, 1), (29, 1), (30, 1)]"
19,1,"[(4, 1), (7, 1), (22, 1), (23, 1), (24, 1), (26, 1), (27, 1)]"
20,1,"[(1, 1), (2, 1), (3, 1), (17, 1), (18, 1), (21, 1), (29, 1)]"
21,1,"[(1, 1), (3, 1), (17, 1), (18, 1), (20, 1), (29, 1), (30, 1)]"
22,1,"[(3, 1), (4, 1), (15, 1), (17, 1), (18, 1), (19, 1), (21, 1), (23, 1), (27, 1), (29, 1), (30, 1)]"
23,1,"[(4, 1), (7, 1), (13, 1), (14, 1), (19, 1), (24, 1), (26, 1)]"
24,1,"[(4, 1), (7, 1), (19, 1), (23, 1), (26, 1), (27, 1)]"
25,1,"[(7, 1), (8, 1), (9, 1), (13, 1), (14, 1)]"
26,1,"[(4, 1), (7, 1), (19, 1), (23, 1), (24, 1), (27, 1)]"
27,1,"[(4, 1), (7, 1), (19, 1), (22, 1), (23, 1), (24, 1), (26, 1)]"
28,1,"[(15, 1), (22, 1), (24, 1), (26, 1), (30, 1)]"
29,1,"[(1, 1), (3, 1), (4, 1), (15, 1), (17, 1), (18, 1), (20, 1), (21, 1), (22, 1), (30, 1)]"
30,1,"[(1, 1), (3, 1), (4, 1), (15, 1), (17, 1), (18, 1), (21, 1), (22, 1), (29, 1)]"
