f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.s,ela_level.lda_qda_10,ela_level.qda_mda_10,ic.m0,ela_distr.kurtosis,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,ela_level.lda_mda_25,disp.diff_median_25,ela_level.mmce_qda_10,disp.diff_median_02,disp.ratio_median_05,disp.diff_mean_25,disp.diff_mean_02,nbc.nn_nb.cor,ela_level.lda_mda_10,ela_distr.number_of_peaks,disp.ratio_median_02,ela_distr.skewness,nbc.dist_ratio.coeff_var,disp.ratio_mean_02,ela_meta.quad_simple.cond,nbc.nn_nb.sd_ratio,ela_level.mmce_qda_50,ela_level.mmce_qda_25,ela_meta.lin_w_interact.adj_r2
1,1,-0.1341097219413259,-0.2367752195018592,0.6564117301433963,-0.8278255132058094,-0.8991872760109842,-0.0290344394635086,-0.1207265819969238,-0.368769140468779,-0.3086004816696782,-0.1685198480249801,-0.1809047077136384,-0.3208158700492172,-1.3565222289023782,0.0136753666845001,-1.2471050528048315,-1.2919343273736663,-1.4463255691930943,-1.346116892904821,2.118641163252982,0.3521909277029549,-0.6610074041742601,-1.2478807030210106,-0.4606223061659295,-1.2423945019927722,-1.3462659403380068,-0.2348032648987326,1.9408289745509415,-0.0677331956545055,-0.0861342850370127,0.015237651545009
1,2,-0.134109681349075,-0.2367749115856063,0.6564117301433963,-0.7836175675455364,-0.857369790677814,0.1005227967416531,-0.1378421876617493,-0.742628741229514,-0.3106246185772194,-0.1685198381443473,-0.1809040895143396,-0.3225351363043062,-0.7072291044191297,-1.07155694857119,-0.8951137557310288,-0.8763969678878107,-0.7419068188497402,-0.9670248243322018,1.2877218265506185,1.2660755791063505,-0.6610074041742601,-0.8952171007486225,-0.4973942516593679,-0.8852674212905812,-0.9672501857238252,-0.2348032648987326,1.2364097522942608,-0.4648823965807959,-0.8396886896276444,0.8425335164357505
1,3,-0.1341097182420421,-0.2367749789702394,0.6564117301433963,-0.7924944877030937,-0.8657249326025231,0.1418874564939035,-0.1549577933265754,-0.6880798315099758,-0.3107223830128898,-0.168519838107601,-0.1809051548833466,-0.331402930672662,-0.7597410794887541,-0.9496982352056142,-0.9242911648359112,-0.8654617742171302,-0.8086457070997936,-0.992340070638148,1.257414738281844,0.9937842535374268,-0.6610074041742601,-0.9234857994853054,-0.4943012842814152,-0.912529030504489,-0.9919170433457748,-0.2348032648987326,1.258740044642455,-0.4095454232470147,-0.7534950374604259,0.7865411250995332
1,4,-0.1341097189064864,-0.2367751047946426,0.6564117301433963,-0.8101600004544516,-0.8824769921615655,-0.015506374638873,-0.1079676759558711,-0.5882952405596031,-0.3103705687408647,-0.1685198389255265,-0.1809050445166007,-0.3199109930728541,-0.9667250719836104,-0.5864213161157888,-1.0510430884942965,-1.0352450443671686,-1.033974581076695,-1.1403368951959854,1.0932513434926243,0.7777150235313147,-0.6610074041742601,-1.0509266544457618,-0.482398046190506,-1.059741720259591,-1.1403925517240463,-0.2348032648987326,1.1125781310906369,-0.2690746447843398,-0.4940606784620659,0.518506541720835
1,5,-0.1341097127185936,-0.2367751047946426,0.6564117301433963,-0.8101600004544516,-0.8824769921615655,0.0968806254427126,-0.2115948884356357,-0.5151198738626608,-0.3089646886166474,-0.1685198419364073,-0.1809048388551191,-0.3269690334884841,-1.0167688991164128,-0.5795236530950912,-1.1127209908449192,-1.0916476222475202,-1.090498333370107,-1.2034003194255898,1.9847848567325408,0.7611791130716626,-0.6610074041742601,-1.1125616861175451,-0.4715726603676713,-1.076098685787935,-1.2030084210720704,-0.2348032648987326,1.8271474862328565,-0.2677976377074063,-0.4735790185411426,0.5259611500348279
2,1,-0.1338550533357505,-0.0372386628630616,0.6537123007762282,1.5240283631643377,1.4342367607218436,0.9475877788380505,-1.5350979955720845,-0.2410448640522986,-0.3153448507670501,-0.1443864208611923,-0.1537920989092403,0.3970230352994048,0.4992696939390468,-0.5496337800054217,0.6539181802139478,0.6274799300852354,0.4867186583352308,0.636149279747008,-0.9928865656750042,-2.6275801371262317,0.9049843859724848,0.654000274279756,-0.3154715340652366,0.2161015909512902,0.6360955597028684,4.683220884904191,-0.6433948581082943,-0.9620638185335366,-0.5930553680798611,0.7726258562467454
2,2,-0.1338750122577151,-0.0325318847948547,0.6520251574217484,1.5328611195400168,1.409129559238092,-0.3885687776874712,-0.0289246970674027,-0.100015975509103,-0.3121358364384619,-0.1527101316853604,-0.1597651408316822,1.1484328764710872,0.4881204739485755,0.358558517719153,0.7054442431012944,0.625753320558286,0.4759076394477862,0.6825855303673823,-0.7251739526341172,-1.1547817121866115,0.5134864384357986,0.7054400375547042,-0.2848074180908867,0.2242800737154623,0.6825830990673112,3.5483011289558783,-0.4830227585167153,-0.0936990062188181,-0.2960712992264753,0.1712874522512727
2,3,-0.1338098834892452,0.0144846360731579,0.6510128714090602,1.57706906520029,1.4760542460550137,2.281663094621321,-1.7211913080732828,-0.7000539824240224,-0.3153806518279998,-0.1363306047481407,-0.1440249654464646,0.7969786588517696,0.5999531080514707,-1.4049439945713504,0.6921884239460097,0.6919400190913519,0.5912535496248551,0.6639735815300225,-0.5534337857777026,1.3311168269143174,1.296482333509171,0.6924642414132753,-0.340808872888668,0.2733509703004961,0.6640829558508492,3.270304089126608,-0.4667825458998467,-1.1136019916629678,-1.55569338436325,0.9951044999288168
2,4,-0.133669340934561,0.0263383329315519,0.6496631567254764,1.5682363088246107,1.3757089915392546,1.2733019550004243,-0.9513002459863856,-0.2237488682875659,-0.3160739531429297,-0.1602738978607408,-0.158498677120505,6.235922700675746,0.3857348888452399,-0.7450675655917225,0.6297801734325614,0.6758249968398234,0.3829499022423551,0.6139797149347004,-0.1543904569054458,3.0188820878294007,-0.0085108249464496,0.6294389458691961,-0.4351756200109543,0.177935338051819,0.6142748779603753,4.486436977332271,-0.2658099147660964,-0.2456628483738939,-0.5247831683434506,-0.9215581265801696
2,5,-0.1337946199529986,-0.0278251067266479,0.6520251574217484,1.559403552448932,1.5011614475387651,2.403545755589429,-1.7513770126094304,-0.5643469387315129,-0.313773734976911,-0.1362026273005784,-0.1443822627337922,1.0526968923719011,0.5352706103968282,-1.354361132419602,0.6931013591495419,0.6499258539355807,0.5314098781455344,0.6676060946833904,-0.619099143693391,1.199931937267747,0.9049843859724848,0.6929276627040406,-0.2974292243605122,0.2242800737154623,0.6678778570234575,6.677258479380009,-0.5033230242878013,-1.0310222006879408,-1.3303951252330968,0.8332566705338922
