f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ic.eps.s,ela_meta.quad_w_interact.adj_r2,ela_level.qda_mda_10,ela_level.mmce_lda_10,ela_level.lda_mda_10,nbc.nn_nb.mean_ratio,ela_level.mmce_qda_10,ela_level.lda_qda_10,nbc.dist_ratio.coeff_var,disp.ratio_median_10,disp.ratio_median_02,ela_distr.skewness,ela_level.qda_mda_25,ela_level.mmce_qda_25,pca.expl_var_PC1.cor_init,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_50,nbc.nn_nb.cor,ela_level.mmce_qda_50,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_50,disp.ratio_mean_25,ela_distr.kurtosis,disp.diff_mean_02,disp.diff_median_10,ela_meta.quad_simple.cond
1,1,-0.2267130708505561,-0.1796148624153725,-0.7331033956965284,-0.8098464597166425,0.7240576777303894,-0.2400175699568449,0.3970568511341841,0.4453835721538599,1.1555089441491466,-0.0826858294934274,0.0854086771868888,-1.251649488028799,-1.3153753601414122,-1.241875075283476,-0.4032894461906022,-0.8679778425847062,-0.1966171864318922,0.6655672311773765,1.2767881200615148,-0.1675144749162797,-0.2761980467186582,2.078675156433984,-0.1516404091039368,0.0957641925933086,-0.5471618131416467,-1.4464141584026184,-0.3161011980987904,-1.339077799345132,-1.314801529632052,-0.4669672917109863
1,2,-0.2267127632886582,-0.1796142443438781,-0.6874792323733124,-0.7669323596536325,0.7240576777303894,-0.257017884965714,-1.6422690661027928,1.4252973256164458,0.8270571771168964,-1.1419699514908297,0.2191344633257221,-0.8985191710230894,-0.8105582453842067,-0.8984163752195352,-0.438832204151748,-0.1311244877344012,-0.9149553959816707,1.2850934714797484,1.2767881200615148,-0.1675144650371454,-0.9362047291415372,1.2779963624031336,-0.5414498845299631,0.8950540158469987,-0.1387784003799085,-0.7439276028131446,-0.3181286957888345,-0.969076117781066,-0.8094395702399142,-0.4669672917109863
1,3,-0.2267128305957439,-0.1796153094926343,-0.6966405279057464,-0.7755066054204677,0.7240576777303894,-0.2740181999745836,-1.3487060703596438,1.1333326728959907,0.8580431928746596,-1.0230249123682396,0.2618300456471569,-0.9254756837716168,-0.8479259927056191,-0.9259472302837932,-0.4358426263793152,-0.3773886352764768,-0.8327898703140288,1.253159129196121,1.2767881200615148,-0.1675144650004047,-0.8626241522215634,1.2487922726512533,-0.4871355953494878,0.8409571075050393,-0.1113569721848755,-0.8095503897824523,-0.3182266225480135,-0.9937843205606088,-0.8481639859936874,-0.4669672917109863
1,4,-0.2267129562753463,-0.1796151991487052,-0.7148719618011374,-0.7926979681829721,0.7240576777303894,-0.2273446078593234,-0.6647667504899664,0.9016522197250998,0.9788886543299156,-0.6684340410216546,0.099372012285723,-1.071040852613665,-0.9875262562837296,-1.0500617408193835,-0.4243372816187404,-0.4496196549295665,-0.5854797732549887,1.0572951631898684,1.2767881200615148,-0.1675144658182062,-0.6666557815301764,1.0906034531618765,-0.3492608612759738,0.5819961675722258,-0.2416087561112811,-1.0354649022997402,-0.317874224139982,-1.13823227527178,-0.9877830057773774,-0.4669672917109863
1,5,-0.2267129562753463,-0.1796149935297414,-0.7148719618011374,-0.7926979681829721,0.7240576777303894,-0.3302737878221154,-0.6429056763388806,0.8839215727987555,1.0036774669361277,-0.6617013029581071,0.2153751038760358,-1.0872147602627815,-1.0495708178740015,-1.1100880313693229,-0.4138737594152255,-0.46416281324898,-0.5659552919082221,1.046650382428664,1.2767881200615148,-0.1675144688286302,-0.6444706829613401,1.9496904266964912,-0.3480074546025781,0.5891984186828414,-0.2861685769282099,-1.091405638732594,-0.3164660097579854,-1.1997834786456691,-1.049786517945542,-0.4669672917109863
3,1,-0.2267074173957237,-0.1796148636126237,-0.3681100891108009,-0.3549398505572026,0.6561834184738952,-0.2202353852192508,0.6000525396799851,0.9418416860914796,0.653535488873441,-0.0579991232604329,0.1277014709958569,-0.6882583715845758,-0.7675500833727672,-0.73548787229827,-0.1976880293864721,-0.0889493286081012,-0.1299085418304404,0.244033913033495,1.03255989720579,-0.1675143211320915,0.0573179350995138,0.3799706025326766,-0.158743046919845,-0.4584890428747585,0.3986326254066725,-0.7987925558530587,-0.2963813693753847,-0.769509864561684,-0.7664926930840085,-0.1633345053210851
3,2,-0.2267012155285435,-0.1796110773913259,-0.1399892724947211,0.022669933014218,0.7003097099527036,-0.5651872315810398,0.2471523426696034,1.117966112226492,0.3870557533567101,-0.482161621263636,0.5428421645111906,-0.4375628030232705,-0.5362930810817569,-0.687647370055461,-0.1409464472208027,0.2692971379934621,-0.5960555339844871,1.0615530754943563,1.195691825549165,-0.1675105084961535,-1.523740089572884,0.0489909186779808,-0.9788888135450216,0.5549477134012457,0.7538870210405351,-0.3372814802820238,-0.313223392704044,-0.706935244504618,-0.5356462835331804,2.666833505295469
3,3,-0.2266814674509146,-0.1796105114964277,-0.0122780780575073,-0.0459669043492973,0.6910030739317186,-0.6841894366431263,-1.4080432716268756,1.8756557575455743,0.3808585502051589,-1.247449514486334,0.7535005565310992,-0.402519336450185,-0.3529796036559571,-0.4466395568699877,-0.2455816692559515,0.0366066048828391,-0.9108877957010943,1.001942303231586,1.1484117465091466,-0.1675120559931285,-0.7413456133785926,-0.1116315749573861,-0.4804507597580447,0.471561650542781,0.7281794321076913,-0.2953259279573844,-0.312964093679739,-0.469721877582679,-0.3523581234590089,1.428066153203297
3,4,-0.2267023641737389,-0.1796131483846993,-0.1856134358179371,-0.1403693502421526,0.6842637857785915,-0.4585488919799493,0.1846921308093589,0.9903054543568214,0.4893096053573194,-0.3273086458021463,0.3025116854062597,-0.5238236438185638,-0.5990426945082821,-0.6438687972483618,-0.0891270991653003,0.2077311011079424,-0.3007477536146461,0.7017594857654883,1.0262976350812842,-0.1675134040562525,-0.607865270322761,0.4043073439925807,-0.4695879019219505,0.1048870440000892,0.7837567910386958,-0.5244677906534928,-0.2920091464655616,-0.6844931786663945,-0.5989832045651761,0.4669865829391135
3,5,-0.2267036559847644,-0.1796135645883238,-0.2677460455166734,-0.3120257504941927,0.6794500085263577,-0.0245772142989892,0.6062985608660088,0.1616932213323562,0.6969159109343066,0.2225316293871855,-0.1535791735431549,-0.7340844432570722,-0.8648472367756943,-0.7779124686267992,-0.2352238391959064,-0.6037771331153533,0.0433712301221107,0.4569295282576779,1.0676285651030224,-0.1675140916862369,-0.0720951398853644,0.8180319488109509,0.0062888317439066,-0.202248953361511,-0.2220220216862576,-0.9633874149727965,-0.3048927219231823,-0.8027343561690864,-0.8643871271703041,-0.1683850346690206
