f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_level.lda_qda_10,ic.m0,disp.ratio_mean_02,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_distr.number_of_peaks,disp.diff_mean_02,ic.h.max,disp.ratio_median_02,ela_meta.quad_simple.adj_r2,ela_level.mmce_qda_25,nbc.nn_nb.cor,disp.ratio_median_05,disp.ratio_median_25,ela_distr.kurtosis,ela_level.mmce_qda_50,ela_level.lda_mda_10,ela_level.mmce_qda_10,nbc.nn_nb.sd_ratio,nbc.dist_ratio.coeff_var,disp.diff_median_02,disp.ratio_mean_10,disp.diff_median_10
1,1,-0.1341097173387209,-0.236775079552583,0.7013320126397528,-0.8699970665667002,-0.7899151116698321,0.224234477661579,-0.0122689909587678,-0.3867748438363603,-1.3977556375852531,-0.1466044464508119,-0.1809046857662026,-0.1685198469700708,-0.6689571759085177,-1.3976059173309754,0.8973573011685632,-1.3080883583210323,1.2073596980765775,-0.1258018276581196,2.1247071306384995,-1.3646429964634592,-1.4676932207126414,-0.3158289180684208,-0.1216150885819901,0.3601699903858702,-0.0109853184914174,1.9939686807081012,-1.3080797067973486,-1.307330807067657,-1.4961904209428014,-1.401439399649553
1,2,-0.13410967674647,-0.2367747716363397,0.7013320126397528,-0.8287820652846382,-0.7465557948058791,0.3524624845230671,0.1150563895266234,-0.7545762998593066,-1.0268702830685623,-0.1631074920086064,-0.1809040675669062,-0.168519837089438,-0.6689571759085177,-1.026644767861712,0.6894667890625428,-0.9628840212189556,1.2073596980765775,-0.8357749610735465,1.3244652881447652,-0.9531273448617564,-0.8017623271548845,-0.3178562556756917,-0.5054114040443457,1.2636750433654669,-1.064489007031984,1.3002881391178034,-0.950675045990593,-0.9627845022966244,-0.951187516437961,-0.8891897543691978
1,3,-0.1341097136394371,-0.2367748390209706,0.7013320126397528,-0.8370168307755594,-0.7552623109793601,0.3418289424906513,0.1557084688382243,-0.7009113187314031,-1.05100800326239,-0.1796105375664016,-0.1809051329359091,-0.1685198370526917,-0.6689571759085177,-1.0514170425867169,0.7287631663508745,-0.9905548025109748,1.2073596980765775,-0.7545662561188938,1.2952771358349682,-0.94229798560908,-0.8570722020350956,-0.3179541747029816,-0.4519349613754215,0.9944763122605704,-0.9461930420051828,1.3222780121941526,-0.97795784452546,-0.9913447780007482,-0.9894967391684064,-0.9284419534413624
1,4,-0.1341097143038815,-0.2367749648453699,0.7013320126397528,-0.8535275355848572,-0.7725887113245961,0.3003372784818119,0.0010260286903093,-0.6027436703267035,-1.1962985113521574,-0.1343021761259096,-0.1809050225691636,-0.1685198378706172,-0.6689571759085177,-1.196239571748282,0.7389041669414109,-1.115300128007784,1.2073596980765775,-0.5101360946712273,1.1371746441568755,-1.1104380371637927,-1.0672497265799017,-0.3176018041188607,-0.3161870684466141,0.780861124825103,-0.5935371462649114,1.1783442975125926,-1.1252849566137408,-1.1154157629431962,-1.146347707706272,-1.0699638706125951
1,5,-0.1341097081159886,-0.2367749648453699,0.7013320126397528,-0.8535275355848572,-0.7725887113245961,0.3013797826026369,0.1114769611595641,-0.5307540614965881,-1.257571185690333,-0.234220615594014,-0.1809048169076828,-0.168519840881498,-0.6689571759085177,-1.2579503862999204,0.7667919185653919,-1.1756315036116944,1.2073596980765775,-0.4908389766622009,1.9957927912702085,-1.166294732256545,-1.1192410089673028,-0.3161937009236066,-0.3149529966927158,0.7645130237458574,-0.5868411482445218,1.8820202359557725,-1.141654635734661,-1.175789111709487,-1.206341396133199,-1.1328124418673091
2,1,-0.1338550487332999,-0.0372385291747136,0.6987866190734877,1.4298082397378564,1.5167918822922948,0.4391988273757163,0.9475291583226748,-0.2611202538783414,0.542081529530199,-1.5103561202722318,-0.1537920770660411,-0.1443864198104548,0.9023805309063834,0.542143813465876,-0.4640720281111114,0.5535655174567944,1.20249131753163,-0.6034054983815211,-0.8719431731678114,0.5361945355194733,0.4338602776690607,-0.3225839518101982,-0.985876673562064,-2.585757824094066,-0.5578251568228537,-0.5508593580367098,0.1515500148180271,0.5534837518876714,0.5544372184209032,0.5659010915799907
2,2,-0.1338750076552525,-0.032531751254193,0.6971957480945724,1.4050627694376372,1.525455082464913,0.4391988273757163,-0.3656097054784682,-0.1223766441330304,0.587571848357027,-0.0580881111862751,-0.1597651189655191,-0.1527101306331841,0.5095461042026581,0.5875840807129262,0.1735433840189401,0.6039172670209613,1.1979272107707413,-0.3235972872506395,-0.6141144944312247,0.5344846366901035,0.422798302693017,-0.3193698631749977,-0.1467078809112545,-1.129686954635985,0.3238145825278357,-0.3929320877611084,0.159734854378487,0.603919983450274,0.5211877043529707,0.5341952263323171
2,3,-0.133809878886822,0.0144847681385658,0.6962412255072228,1.4710232410199182,1.568814399328866,0.4391988273757163,2.2586226344854987,-0.7126914365399689,0.5694685582116567,-1.6897892337915297,-0.1440249436408158,-0.1363306036987958,1.2952149576101084,0.5693713284372939,-1.247464323730139,0.5912159247885583,1.2018827699635113,-1.510370044805758,-0.4487149646756818,0.6000307584826188,0.5367366449462566,-0.3226198094821635,-1.1323198550246565,1.3279775742771684,-1.3881289113505917,-0.3769394527964907,0.2088438917412472,0.5909445390440198,0.621659062079989,0.6410265342805177
2,4,-0.1336693363322231,0.0263384646250223,0.6949685287240905,1.3721237074739512,1.5601511991562478,0.4391988273757163,1.2676323237196825,-0.2441045281548587,0.5207289308971983,-0.9474522390645346,-0.1584986552592109,-0.1602738968072569,-0.0142331314023088,0.520449750393091,0.4105892728227586,0.5295236910883191,1.2009699486113337,-0.5390817716847667,-0.0644042925966268,0.5840717027418331,0.3166033429230112,-0.3233142070911846,-0.2935624196251462,2.996573757765429,-0.7475451007337615,-0.1790305951093453,0.1133540968692132,0.5298562897594785,0.5190192577833214,0.5325057486104161
2,5,-0.1337946153505847,-0.0278249733336724,0.6971957480945724,1.4957687113201374,1.55148799898363,0.4391988273757163,2.3784056480545868,-0.5791834347095748,0.5731820536260922,-1.7188946050480045,-0.1443822409267698,-0.1362026262512556,0.9023805309063834,0.5729259299880711,-0.8646415514373447,0.5916695441540012,1.2018827699635113,-1.2981017467064704,-0.5119559613469192,0.558423220301284,0.4714709925876059,-0.3210103516674117,-1.0525165482725696,1.1982826390484895,-1.3390249258677682,-0.4129228814668807,0.159734854378487,0.5918381646918336,0.4922750834243302,0.5047419980471778
