f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.intercept,ela_level.qda_mda_10,ic.eps.ratio,disp.ratio_mean_02,ic.eps.s,ela_distr.number_of_peaks,disp.ratio_mean_10,disp.diff_mean_02,disp.diff_median_02,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_50,disp.ratio_median_02,ela_meta.quad_simple.cond,ela_level.mmce_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max,ela_level.mmce_mda_50,ela_distr.skewness,pca.expl_var_PC1.cov_init,nbc.nn_nb.mean_ratio,disp.ratio_median_05,disp.diff_mean_25,nbc.dist_ratio.coeff_var,disp.ratio_mean_05
2,1,-0.1338550526862963,-0.0372386119602488,0.7217874391872674,-0.1537920958249228,-1.5337229431546608,1.5171270114854736,0.5322070059451841,1.4305616752428436,0.9023805309063834,0.5519307707997567,0.5322669702982801,0.5474061015133569,0.9735648486421148,-2.529005874077632,1.0386449523067778,0.5474902038278165,4.683228995081602,-0.9998666276610872,0.5156045229540476,-0.210043094914207,-0.657045804501605,-0.1443864192169295,-1.183035220400658,-0.2697244561276601,0.4348446067792346,-0.0562567164463185,0.5326423459609593,0.4252836402541302,0.139933263726496,0.5150779483979636
2,2,-0.1338750116082592,-0.0325318339482748,0.7201826205001817,-0.1597651377441221,-0.0991952931938412,1.5258341137421705,0.5786492777165664,1.4056803038496588,0.5095461042026581,0.5183878065801606,0.5786584688558495,0.5985201985328029,-0.3204669947894082,-1.0647001123223483,1.2642383824509662,0.5985187197259609,3.5482864631619653,-0.1583132025220078,0.41668991689845,2.0939843286131383,-0.377808140604972,-0.152710130038846,-0.5439718369313588,-0.240021893073361,0.4348446067792346,-0.075256782206452,0.5309168038288732,0.4142628406268953,0.1482282767824479,0.5138995851436914
2,3,-0.1338098828397949,0.0144846863580218,0.7192197292879299,-0.1440249623674493,-1.7109641693275055,1.569413160536937,0.5601671491544856,1.4720030275965503,1.2952149576101084,0.619745894113293,0.5600644569339849,0.5853703635093735,2.2655810661492897,1.4068638792631032,0.6855109219110428,0.5856466616615637,3.2702838443897133,-1.1467259508716323,-0.4480151876520995,-1.792317901644279,-1.562160990925174,-0.1363306031060571,-1.2940189862017963,-0.2942672769499082,0.4348446067792346,-0.1512570452469929,0.5970625855588484,0.5318469626340101,0.19799835511816,0.5716393846030399
2,4,-0.1336693402851227,0.0263383830747973,0.7179358743382613,-0.1584986740336324,-0.977695283789682,1.5607060582802403,0.5104075722565764,1.3725603419286143,-0.0142331314023088,0.516200221957142,0.5101187709869245,0.5234610851208312,1.2890103058026028,3.084896904148831,1.065975080932111,0.523125236777352,4.486441138380581,-0.3055850519213468,0.4454070605920101,0.9393309782300396,-0.5928532380885859,-0.1602738962121803,-0.6234013948086448,-0.3856749098643353,0.4348446067792346,-0.0309232954328002,0.5809575256593768,0.3195013194226375,0.1012232027987195,0.5663367499588147
2,5,-0.1337946193035496,-0.0278250559363008,0.7201826205001817,-0.1443822596545829,-1.7397140003287868,1.551998956023544,0.5639583550133747,1.4968843989897351,0.9023805309063834,0.4892200116065953,0.5636934693211494,0.586275999530271,2.3836211593439294,1.2764354468911854,0.8389432229655379,0.5861063780210063,6.677306606609577,-1.0666958702456613,-0.1608437507164925,-1.5019576535074466,-1.3503255217622128,-0.1362026256585294,-1.2367136430757182,-0.2522479098578102,0.4348446067792346,-0.0942568479665854,0.5550743936780825,0.4708420639100236,0.1482282767824479,0.5286291258220962
3,1,-0.1341096715950808,-0.2367695062467934,0.656471318622873,-0.1809047058121012,-0.1676613855783346,-0.4526371965357215,-0.8658001545198917,-0.4425791711542283,-0.538012367007276,-0.8823955470252359,-0.8650898612543088,-0.8225676200184732,0.0674150190273421,0.8939184477500236,0.3340550573080901,-0.823383980030427,-0.2169546189305903,-0.1401620502150864,0.5698480165974402,0.250762389791262,-0.1146186183115935,-0.1685196925666732,-0.3350612189527456,-0.2042819776712957,0.4302634067794367,0.7164126244658601,-0.8259344927016541,-0.8835013989424052,-0.7614581550202919,-0.8630178774736265
3,2,-0.1341096722982504,-0.2367632972342538,0.7006038325177342,-0.1809009188078931,-0.4984326370982265,-0.2347419625618882,-0.8013496549187886,-0.0779283904035286,1.2952149576101084,-0.6614495001004911,-0.8010396632457939,-0.7741704310617192,0.4569347289076255,1.057227997526622,0.681914852355078,-0.774654045929497,-0.0497426310879313,-0.9499509588170536,0.2092883235560671,-0.8367687214121526,-0.5743978752448429,-0.1685158793523938,-1.124279109094173,-0.147418894656494,0.4348446067792346,0.4440783485705856,-0.6815641343170996,-0.4121235755160971,-0.5043127502857788,-0.7328087378765245
3,3,-0.1341096342292576,-0.2367435264042653,0.6912958841326362,-0.1809003527959798,-0.6125427910723825,-0.1127554599455685,-0.5577646784852133,-0.1442097141980189,-0.1451779403035506,-0.4477954019191381,-0.5582325457952905,-0.5299747343869597,0.6545920461140173,1.759787872740045,0.6567423654633244,-0.5291655099870747,-0.122931484414273,-0.4578072155862096,-1.4818323606202832,-1.0343645266377384,-0.8849294152678229,-0.1685174270841096,-0.6839709663406377,-0.2522781722755934,0.4348446067792346,0.4377449933172078,-0.4635706449635314,-0.3689949344551852,-0.4683676937099868,-0.4806390014622278
3,4,-0.1341096528785393,-0.2367644472028381,0.6845556456468757,-0.1809029902295039,-0.3961780835369698,-0.2783210093566549,-0.778128519033098,-0.2353724093856939,0.1821840819495537,-0.7139515310529064,-0.7780683889600298,-0.7296493642744056,0.2314365786211746,0.9388559748697614,0.711162884743591,-0.7300615590635513,-0.1797139880734226,-0.4470815346775751,0.1454724486814878,-0.4129181773786441,-0.2831241051457688,-0.1685187753517223,-0.6937636515583852,-0.0954885857403684,0.4344281340519803,0.5485787102513338,-0.7034210013235263,-0.6026879533224617,-0.5927928895492728,-0.734576282757933
3,5,-0.1341096385583368,-0.2367657405021984,0.6797411895856179,-0.1809034065191905,0.0199534909557971,-0.3567720006894915,-0.8984993050528032,-0.4011378188005214,-0.6689571759085177,-0.986670414055726,-0.8990978226969137,-0.8675958429774897,-0.1965060004419961,0.1705338648469622,-0.2736806976499485,-0.8665973178180446,-0.2172530143080937,0.0227857943584117,0.5762296040848974,0.3065718920305497,0.0562940897630697,-0.1685194630860138,0.0327085147804378,-0.241898162975925,0.432762243142963,0.7607461112395119,-0.8989824429599738,-1.0510696200462717,-0.8084632290040199,-0.9348980359842424
