f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,ic.eps.s,ela_level.lda_mda_10,disp.diff_median_02,disp.ratio_median_02,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_meta.lin_w_interact.adj_r2,ic.m0,disp.diff_median_25,ela_level.mmce_qda_50,ela_level.mmce_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.adj_r2,ela_distr.number_of_peaks,ela_distr.kurtosis,nbc.nn_nb.cor,disp.diff_mean_02,disp.ratio_median_05,disp.diff_median_10,disp.ratio_mean_02,ela_level.mmce_qda_25
1,1,-0.134109701142869,-0.2367747224794083,0.6978093828289011,-0.7744304871819511,-0.1934482741004544,0.031645846930889,-0.1685198108078104,-0.1809046158235659,-0.8437631869316776,0.4218952760432283,-1.3056872085737428,-1.3064405568653912,-0.0090819592191307,-0.2414475031800836,0.0918446217063709,-0.4288940829213676,-1.4081770885575104,-0.1314315733957133,0.1111255893630563,-1.497509470818603,-0.0199142430065755,0.5528895624957372,-0.6524393054868503,-0.2886934496318126,2.136741497343473,-1.406236065127538,-1.3496521861992117,-1.3731740434119146,-1.4063797730817234,-0.1706338480490587
1,2,-0.1341096605506183,-0.2367744145631897,0.6978093828289011,-0.7312952394166733,-0.2097868107643437,0.1572946027359376,-0.1685198009271776,-0.1809039976242771,-0.8028936183652333,1.3257466500113244,-0.9613458214353656,-0.9614422003857248,-0.5802520507347649,-0.3993584963163576,0.8828363693585566,-0.7984075810978591,-0.7581601226274391,-0.5161106608638124,-0.9284480060321928,-0.7921935957423197,-0.4207459607687343,1.3821307306768609,-0.6524393054868503,-0.2907403384247785,1.3335182705653552,-1.034078165273077,-0.9404919601890296,-0.8664798373377008,-1.0342988138943416,-0.8757292374908159
1,3,-0.1341096974435853,-0.2367744819478153,0.6978093828289011,-0.7399567626942166,-0.2261253474282336,0.19741137416767,-0.1685198008904314,-0.1809050629932669,-0.8110593663305569,1.0564447327976711,-0.9898891110217912,-0.9890964707474328,-0.5196898886502501,-0.3930332715565179,0.8293010848758898,-0.7444928002251323,-0.8107306388128965,-0.4625112167364245,-0.8100919114150398,-0.8590174804625382,-0.186652552374719,1.325037582581534,-0.6524393054868503,-0.2908392017610374,1.3042213747558238,-1.0589303573408058,-0.9297245858203406,-0.9053063392763252,-1.058514345656224,-0.7950784624810564
1,4,-0.1341096981080296,-0.2367746077722045,0.6978093828289011,-0.7571936249380838,-0.1812686376782813,0.0447657973362356,-0.1685198017083569,-0.1809049526265228,-0.8274316910010305,0.8427476648872388,-1.113886305207631,-1.1137673617223456,-0.3514213664513592,-0.3544669705902737,0.5730286283878571,-0.6458682010677071,-1.0179453800819924,-0.3264510893361322,-0.4829164651485144,-1.0846333259401115,-0.1609213834298787,1.0587119519248227,-0.6524393054868503,-0.290483432994641,1.1455298557875035,-1.2042200955829103,-1.0969022404920912,-1.0452934258929152,-1.20427321953063,-0.5523276149269295
1,5,-0.1341096919201368,-0.2367746077722045,0.6978093828289011,-0.7571936249380838,-0.2801910505705597,0.1537623083960364,-0.1685198047192376,-0.1809047469650445,-0.8274316910010305,0.8263932974451134,-1.174223747149401,-1.1740627380847573,-0.3271239720821219,-0.333778214604965,0.5801561070911703,-0.5735434950189263,-1.0680449968033032,-0.3252141790870386,-0.4670853951678762,-1.1412290650398884,-0.3160391756811775,1.060184268064817,-0.6524393054868503,-0.2890617503704109,2.0073468741846883,-1.2661299941658313,-1.1524392240779608,-1.1074603931289335,-1.265743415541561,-0.533163074330551
2,1,-0.1338550325379915,-0.0372381880755618,0.6952654186188068,1.5203560754997014,-1.543605531143709,0.9788053435014744,-0.1443863837912031,-0.1537920074555852,1.4367669048238776,-2.525161737027678,0.5540206378470094,0.5541024851747582,-1.181884547131233,-0.6624702762569088,0.8159964579630378,-0.30265459599986,0.4496836981911074,-0.997681051177574,-0.6073034435678156,0.4379966187562902,4.577118361244264,1.315876504377126,0.9093408186620712,-0.2955136273923208,-0.8710731391022312,0.539771453690617,0.5403053674627765,0.5728302876123353,0.5397107506279927,-0.6449562278094254
2,2,-0.1338749914599014,-0.0325314105318452,0.6936754409874979,1.5289745066216351,-0.105814304721409,-0.3170420657650487,-0.1527100945646081,-0.1597650492818822,1.4122288321880805,-1.0685327435157546,0.6044268726485708,0.6044241902591779,-0.5428993399880282,-0.4731088600092099,0.2410465092290703,-0.1632651625240301,0.4385220488875498,-0.1565820817939491,0.1789730321372206,0.4271718313079898,3.0981235616414797,0.7109181615217713,0.5188957876248409,-0.2922685428127242,-0.6122838927846576,0.5853583148799416,0.538605255720352,0.5414682781554553,0.5853477143330782,-0.3670703891619379
2,3,-0.13380986269161,0.0144851050969768,0.6927214544087122,1.572109754386913,-1.7212499843256373,2.2726342988594834,-0.1363305677272809,-0.1440248741500258,1.4776364733903216,1.3900738286170204,0.5914591453395937,0.591730426814459,-1.2928547363399845,-0.6266273359511508,1.0287121001530426,-0.7563277521240253,0.5504793556423163,-1.144461067403344,-1.7795564826103194,0.5426646422721425,5.218537177851836,1.5365603346940202,1.2997858496993018,-0.2955498308675706,-0.4462681498639534,0.5670868068064783,0.6037762058466278,0.6471409814231314,0.5671860655116666,-1.545689635839212
2,4,-0.1336693201373109,0.0263388006344782,0.6914494723036652,1.5634913232649792,-0.9863128987535776,1.294693380184046,-0.16027386069386,-0.1584985855910905,1.379565840326786,3.0593095988765637,0.5304072280639961,0.5300750043686847,-0.6223191812844886,0.5957662740598003,-0.8038418686767106,-0.2855596654792382,0.3360223228403779,-0.3037744014360835,-1.6310459689824266,0.3340957061619715,0.5205192717514701,-0.3812132329894107,-0.0016975870914662,-0.2962509250901953,-0.0605256883717295,0.518007403832488,0.5879084962506657,0.5397971231222289,0.5182893186847896,-0.5810744258214972
2,5,-0.1337945991554052,-0.0278246329881287,0.6936754409874979,1.5548728921430457,-1.7500652217146793,2.3908400058768837,-0.1362025902804991,-0.1443821714316022,1.5021745460261189,1.2603291802428271,0.5923522395068787,0.5921837755089131,-1.2355564033498447,-0.6463497381537064,0.8739666180833221,-0.6221982972699243,0.485724748995724,-1.0644742046286269,-1.6612003879931665,0.4827447558457223,4.973552692500922,1.3750963313413334,0.9093408186620712,-0.2939248518053997,-0.5097447574512819,0.5706528757866108,0.5624068201142973,0.5123344754095434,0.5709115319365722,-1.3348796892790509
