f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_25,nbc.nn_nb.mean_ratio,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,disp.diff_median_25,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.lda_qda_10,ela_level.lda_mda_25,disp.ratio_median_10,nbc.nn_nb.cor,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_10,disp.diff_mean_02,ela_meta.lin_simple.adj_r2,disp.diff_median_05,ic.m0,disp.ratio_mean_05,disp.ratio_median_02,ela_level.mmce_mda_25,disp.ratio_mean_25,ela_level.lda_qda_50
1,1,-0.134109721958177,-0.2367752097776092,0.6824013214278404,-0.8177516775461674,-0.1212145170256027,-0.1809047202315976,-0.1685198480699464,-0.080136576399948,1.279390654306488,-1.3733117480963613,0.3521909277029598,-1.4458921765560084,-0.0761399622542759,-0.1602959086209195,-0.0287730159950871,-0.320818743149703,-1.392803121853169,2.187469559889888,-0.6631422925807628,0.5766955705225122,0.0131859089180307,-1.4121202080575246,0.5071583298143233,-1.3564296164757057,-0.3471565189791965,-1.4722680571101343,-1.3017630054503395,0.1837548536060729,-1.545274945808787,-0.2610231177677998
1,2,-0.1341096813659262,-0.236774901861357,0.6824013214278404,-0.7737979883171462,-0.1383138283128635,-0.1809041020322975,-0.1685198381893136,-0.8445770320629581,0.8762324473993389,-0.9506571723032724,1.2660755791063552,-0.7145868002451163,-1.2261202287875763,-0.8478453808545952,0.1007428706698977,-0.322538007934833,-0.8286772300246366,1.320279229010842,-0.1020115199761418,1.2164806614403276,-1.071255206340939,-1.0015107654347182,1.370243528843668,-0.9043182442083956,-0.7951384258082268,-0.9775130028787864,-0.9219322118331444,-0.8963327468060508,-0.7530142640615993,-0.4201058930736203
1,3,-0.1341097182588933,-0.2367749692459899,0.6824013214278404,-0.78262385398651,-0.155413139600125,-0.1809051674013068,-0.1685198381525673,-0.7571382030460111,0.9142662405037912,-0.9829208803790808,0.9937842535374318,-0.7737315659003556,-1.105782202204628,-0.7711942071994121,0.1420943284605254,-0.3314057947212956,-0.8704351521851273,1.288649186547174,-0.2895473308203178,1.1835020485064196,-0.9494853353478764,-1.0289306985783535,1.3108202235642754,-0.8931873700689772,-0.7297745176943822,-0.9672457125186024,-0.9523785697972036,-0.7733641077453522,-0.8270233017133274,-0.4137337318374482
1,4,-0.1341097189233376,-0.2367750950703928,0.6824013214278404,-0.8001877657663388,-0.1084677577023709,-0.1809050570345607,-0.1685198389704928,-0.4939559850148051,1.0625980336111316,-1.1571449039884456,0.7777150235313196,-1.0068597183696293,-0.7410075591250658,-0.567047865303699,-0.0152492687931206,-0.3199138669470024,-1.0264364462941356,1.117319789868944,-0.3445529131348502,0.9812332225117794,-0.5864732671044107,-1.1892318461872962,1.0336249771606902,-1.0781577629902457,-0.6102063930958882,-1.1706664027797409,-1.0896367409466503,-0.4334380609151405,-1.0818085133012432,-0.3748812487446778
1,5,-0.1341097127354448,-0.2367750950703928,0.6824013214278404,-0.8001877657663388,-0.2119963151325168,-0.1809048513730786,-0.1685198419813736,-0.4731784414860255,1.0930250680946954,-1.1765031288339307,0.7611791130716675,-1.0632245841804568,-0.6958807991564602,-0.5439369586739955,0.0971018618078296,-0.3269719013280643,-1.095770354787029,2.0477702056753304,-0.3556278625941516,0.9702403515338148,-0.5795806328972516,-1.2575383068587176,1.0351573833140273,-1.140639069826181,-0.5225231017236565,-1.2380454957684457,-1.1560197837207458,-0.4169900263910981,-1.1448981847420618,-0.3540389713680321
2,1,-0.1338550533526012,-0.0372386535738491,0.6794044041511207,1.5205758074818712,-1.5342394224911022,-0.1537921113677472,-0.1443864209059808,-0.594380778737239,-0.2647813457341089,0.352796633959383,-2.6275801371262264,0.6443049305955191,-0.1385653135441806,-1.5196024002246402,0.947537503162247,0.3970195484523979,0.777033059844847,-1.059881466380567,-0.3231413441802001,1.181303474310826,-0.5497125513329155,0.7349497935579069,1.3012852519435132,0.7354821340107228,-0.1941093194931201,0.7204401404365802,0.746628028721765,-0.5626726178897602,0.62889219307477,-0.685170100050495
2,2,-0.1338750122745658,-0.0325318755159042,0.6775313308531711,1.5293577633717856,-0.0295000292121102,-0.1597651533032867,-0.1527101317302102,-0.2931063975699373,-0.2876016215967753,0.3624757463821253,-1.1547817121866069,0.6317474519880046,2.1591388815239894,-0.5173594160498375,-0.3881926050934987,1.1484287471746777,0.7415782202746184,-0.7804827579514475,-1.3298542500307278,0.7503829319744281,0.3578176192757598,0.7852467123420898,0.6716365902724707,0.7335033119414929,-0.0251197033939127,0.7191567291415574,0.8020304178039058,0.2542464301376836,0.6167595639515345,-0.4944035230425973
2,3,-0.1338098835060958,0.0144846452496011,0.6764074868744009,1.573311452600807,-1.720155570668961,-0.1440249778835542,-0.1363306047928698,-1.570925324589872,-0.3788827250474494,0.4205504209185801,1.3311168269143223,0.7577056725244461,-1.7164976871130908,-1.6467123866880096,2.2811870349253827,0.7969748300459043,0.8597610188420478,-0.6012458506572994,0.2409427482802351,1.3220122228288338,-1.404399193020073,0.765087382797139,1.5309759075936584,0.8059281996753087,-0.7441226926462037,0.7820438825976823,0.7880550403777797,-1.7806104124081452,0.7465786955701416,-0.6490611863788538
2,4,-0.1336693409514112,0.0263383420821513,0.6749090282360413,1.5645294967108925,-0.9509974593110632,-0.1584986895893324,-0.1602738979056463,-0.5251223003079741,-0.2343543112505452,0.307627442653251,3.0188820878294056,0.5164295377525868,1.0076543896584025,0.548438561356651,1.2731477242557423,6.235914221616239,0.7400024496270529,-0.1847836248856027,7.383546819565902,-0.2389754560428162,-0.7450038538689594,0.7109370710415877,-0.4650682408026737,0.7879209188453162,-0.1733841778960462,0.7762685317700796,0.7201746357365997,-1.6263121837778416,0.5124189534917216,0.58240322363107
2,5,-0.1337946199698491,-0.0278250974579593,0.6775313308531711,1.5557475408209782,-1.7503125378483129,-0.1443822751716652,-0.1362026273453066,-1.3423723457733,-0.3104218974594417,0.3624757463821253,1.199931937267752,0.6848531248777981,-1.426934310647873,-1.580846302793354,2.4030307957738675,1.052692844928992,0.7092749219995209,-0.6697776093285919,1.1793601324650689,1.2384664033962662,-1.3538532088342732,0.7690218998310627,1.3629220327777258,0.7603658215312893,-0.5815100431922486,0.7351993703293439,0.7885541610001413,-1.6576417733474462,0.6798492353923531,-0.6689299391221956
