f_id,i_id,similar_instances
1,1,"[(3, 5), (4, 1), (4, 5), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (19, 2), (19, 3), (24, 2), (24, 3), (24, 4), (24, 5)]"
1,2,"[(13, 1), (13, 2), (14, 1), (14, 5)]"
1,3,"[(13, 1), (13, 2), (14, 1), (14, 5)]"
1,4,"[(13, 1), (13, 2), (13, 3)]"
1,5,"[(13, 1), (13, 3), (13, 4)]"
2,1,"[(10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
2,2,"[(10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
2,3,"[(10, 3), (10, 4), (11, 3), (11, 4)]"
2,4,"[(10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 4)]"
2,5,"[(10, 1), (10, 3), (10, 4), (10, 5), (11, 2), (11, 3), (11, 4), (11, 5)]"
3,1,"[(1, 1), (13, 3), (13, 4), (13, 5)]"
3,2,"[(4, 2), (4, 4), (4, 5)]"
3,3,"[(1, 2), (13, 2)]"
3,4,"[(4, 1), (4, 2), (4, 3), (4, 4), (15, 1), (15, 4)]"
3,5,"[(1, 1), (13, 3), (13, 4), (13, 5)]"
4,1,"[(3, 4), (15, 4)]"
4,2,[]
4,3,"[(3, 4), (7, 5)]"
4,4,"[(7, 5)]"
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
6,1,[]
6,2,[]
6,3,[]
6,4,[]
6,5,[]
7,1,"[(3, 1), (3, 5), (4, 3), (4, 4)]"
7,2,"[(3, 5), (4, 1), (4, 3), (4, 4), (4, 5)]"
7,3,"[(3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (13, 5)]"
7,4,"[(3, 2), (3, 4), (13, 3), (13, 4)]"
7,5,"[(3, 1), (3, 5), (4, 3), (4, 4), (13, 5), (14, 3)]"
8,1,[]
8,2,[]
8,3,"[(6, 2), (6, 5)]"
8,4,[]
8,5,"[(6, 2), (6, 5)]"
9,1,[]
9,2,[]
9,3,[]
9,4,[]
9,5,[]
10,1,"[(2, 1), (2, 2), (2, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,2,"[(2, 1), (2, 2), (11, 4)]"
10,3,"[(2, 1), (2, 2), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,4,"[(2, 2), (2, 3), (2, 4), (2, 5), (11, 3)]"
10,5,"[(2, 1), (2, 2), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
11,1,"[(2, 1), (2, 2), (2, 4), (9, 2), (9, 4), (9, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]"
11,2,"[(2, 1), (2, 2), (2, 4), (9, 2), (9, 4), (9, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]"
11,3,"[(2, 1), (2, 2), (2, 4), (8, 1), (9, 2), (9, 4), (9, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]"
11,4,"[(2, 1), (2, 2), (2, 4), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]"
11,5,"[(2, 1), (2, 2), (2, 4), (9, 2), (9, 4), (9, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5)]"
12,1,[]
12,2,[]
12,3,[]
12,4,[]
12,5,[]
13,1,"[(1, 2), (1, 3), (1, 4), (1, 5)]"
13,2,"[(1, 2), (1, 3), (3, 3)]"
13,3,"[(1, 1), (3, 1), (3, 2), (3, 4), (3, 5), (4, 3), (15, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
13,4,"[(1, 1), (1, 5), (3, 1), (3, 2), (3, 4), (3, 5), (4, 3), (7, 4), (15, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
13,5,"[(1, 1), (3, 1), (3, 2), (3, 4), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (15, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
14,1,"[(17, 1)]"
14,2,[]
14,3,"[(7, 5), (15, 4)]"
14,4,"[(15, 1)]"
14,5,"[(17, 1), (18, 1)]"
15,1,"[(1, 1), (3, 4), (4, 1), (13, 4), (13, 5), (14, 3), (19, 1), (19, 2), (19, 3)]"
15,2,[]
15,3,[]
15,4,"[(1, 1), (3, 4), (3, 5), (4, 1), (4, 3), (4, 5), (7, 4), (13, 3), (13, 4), (13, 5), (14, 3), (19, 2), (19, 3), (24, 2), (24, 4), (24, 5)]"
15,5,"[(19, 1), (19, 2), (19, 3), (19, 4)]"
16,1,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,2,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,3,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,4,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,5,"[(23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
17,1,"[(18, 1)]"
17,2,"[(18, 2), (18, 5)]"
17,3,"[(18, 3)]"
17,4,"[(18, 2), (18, 3), (18, 4)]"
17,5,"[(18, 2), (18, 4), (18, 5)]"
18,1,"[(17, 1)]"
18,2,"[(17, 2), (17, 5)]"
18,3,"[(17, 4)]"
18,4,"[(17, 4), (17, 5)]"
18,5,"[(17, 2), (17, 5)]"
19,1,[]
19,2,"[(1, 1)]"
19,3,"[(1, 1)]"
19,4,[]
19,5,[]
