max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
10,log2,2,70,1,1
5,log2,2,70,1,2
5,sqrt,7,20,1,3
10,1.0,2,70,1,4
5,sqrt,2,70,1,5
5,sqrt,5,20,1,6
7,sqrt,7,20,1,7
10,1.0,7,70,1,8
5,sqrt,7,10,1,9
7,sqrt,7,20,1,10
10,1.0,2,20,1,11
10,sqrt,7,20,1,12
7,sqrt,7,20,1,13
7,sqrt,7,20,1,14
7,log2,2,20,1,15
7,log2,2,50,1,16
5,1.0,2,20,1,17
10,sqrt,2,50,1,18
5,sqrt,5,10,1,19
5,1.0,2,10,1,20
7,1.0,7,10,1,21
5,1.0,7,10,1,22
10,sqrt,2,10,1,23
10,1.0,2,10,1,24
7,log2,2,70,1,25
10,1.0,2,10,1,26
5,log2,7,10,1,27
3,1.0,10,10,1,28
5,1.0,2,10,1,29
7,log2,2,10,1,30
