f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.max,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_x,ela_meta.lin_w_interact.adj_r2,ic.eps.s,ela_level.mmce_qda_50,ic.eps.ratio,ela_level.lda_mda_10
1,1,0.0464140170125282,0.580018069454783,0.7559982814068809,0.6101489473808984,1.1086363631215792,1.173963617067766,1.313179946442356,-0.6639488989310535,1.393320048172431,3.07559215023773
2,1,5.24016684812205,5.0146415943085225,4.610042661107607,1.2385634062293611,0.7075911922626299,0.4065741032012703,1.473542294408092,-0.2944460959614361,1.5687350054048024,0.8295576979458652
3,1,0.0151200083022683,-0.0104263205852041,0.1002408883686663,-0.6874017342908261,-0.8965894911731117,0.5102894278416205,1.280008196544518,-0.7143181675980876,1.3197452602775124,-0.8196422584444218
4,1,-0.2643009459666088,-0.3303062771060215,-0.3870866612986492,0.6156947129027585,-0.09449914945538,0.2893532771887214,-0.118977901769725,-0.3651937710357438,-0.1118963097868792,1.6091974616318665
5,1,-0.264308795632833,-0.3303102619251093,-0.3870915896913485,-1.6650409705729778,-0.4287034585043467,-1.9497895913405032,-1.4903162718177427,2.53315391760627,-1.4473790521837675,-0.8196422584444218
6,1,-0.2643087953886113,-0.3303102526597669,-0.3870915888676785,-1.1234573547524924,-0.4287034585044766,-1.3455049786613358,-1.2414867174217188,1.2304739004771714,-1.181401812809514,-0.8196422584444218
7,1,-0.2643085591633176,-0.3303101628094422,-0.3870915235834592,1.394478642615364,-0.2950217348846969,0.911125782670352,-0.7161798803634458,-0.5455234428284083,-0.6608100174009066,1.297934438107038
8,1,-0.2643087458386149,-0.3303102125714703,-0.3870915746510001,0.9978771825806432,0.0391825741643996,0.2103980383974031,-0.9041899565954068,0.0412208624074252,-0.841878050921785,0.051894207425101
9,1,-0.2643087317254941,-0.3303102012313798,-0.3870915720058809,0.6017510738763677,0.7744320540724641,0.1139549068036222,-0.8820662499607952,-0.0333717950078773,-0.8249188220562641,0.1092061292169725
10,1,-0.2643087487351944,-0.3303098412766514,-0.387091307005121,-1.497083500482365,-0.3618625966945311,-1.832568765327954,-0.5502935107660966,2.0629125773025843,-0.4797137184985856,-0.8196422584444218
11,1,-0.2643087614924695,-0.3303098235302689,-0.3870912936589882,-1.5584038221097871,0.9081137776919654,-1.8386289262000948,-0.5447694891344832,2.121740807119807,-0.4797137184985856,-0.8196422584444218
