f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_median_25,nbc.nn_nb.sd_ratio,ela_distr.kurtosis,ela_meta.quad_w_interact.adj_r2,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept
1,1,0.7559986798803504,0.0464224193944855,1.4193115933315017,-0.7091399635591878,-0.1314987965416494,0.2923671847614441,-0.1958706957442444,0.7034974323130885,1.112632917420946,0.5800274713979042
2,1,4.610042219200046,5.240163578559493,1.592106277360385,-0.7091399635591878,-1.5404244606452304,1.7376606353958728,-0.198148290670056,0.7034974323130885,0.701596553023398,5.014633971621558
3,1,0.1002414298311675,0.0151284810113947,1.3468358339813271,-0.7091399635591878,1.0330088030749534,-0.8256516589079453,-0.1949091810691131,0.7034974323130885,-0.942548904566737,-0.0104146519113739
4,1,-0.3870860135735345,-0.2642918453134926,-0.0634204899089308,-0.7091399635591878,-0.8636111116277433,0.965211252497022,-0.1946644765569671,0.6499051332251702,-0.1204761757718121,-0.3302933804050768
5,1,-0.3870909419651591,-0.2642996949620762,-1.3789543653515153,1.4275086135387989,1.39564934197045,-1.2159418734252594,-0.197568781239618,-1.972241769779711,-0.4630064794362739,-0.3302973652088667
6,1,-0.3870909411414893,-0.2642996947178551,-1.1169501796100083,1.4275086135387989,0.50951967036767,-0.7097842514731217,-0.1985778034016261,-0.847872661982562,-0.463006479436407,-0.3302973559435599
7,1,-0.3870908758572842,-0.2642994584930923,-0.6041347605890652,0.3590374359084704,-1.1559960810396137,1.2416668211134527,-0.1989492628033274,0.7034974323130885,-0.3259943579704245,-0.3302972660935802
8,1,-0.387090926924814,-0.2642996451679701,-0.7824980776836554,1.4275086135387989,-1.311804383638945,0.2151222464715591,-0.19850910184194,0.277164678970297,0.0165359456941702,-0.3302973158554172
9,1,-0.3870909242796954,-0.264299631054881,-0.7657921784865349,1.6945529634057128,-1.3168486814421891,0.5017416227577117,-0.1977508250147626,0.4065346179156958,0.7701026137563322,-0.3302973045153702
10,1,-0.3870906592789933,-0.264299648064543,-0.4257436003291466,-0.7091399635591878,1.3588528121650536,-1.126500365931708,-0.1986900193620078,-1.7932889306806523,-0.3945004187033587,-0.3302969445620237
11,1,-0.3870906459328634,-0.2642996608217895,-0.4257436003291466,-0.7091399635591878,1.1083567494512911,-1.3236782347243097,-0.1986910432302595,-1.850756982071687,0.9071147352220292,-0.3302969268157094
12,1,-0.3870909389852154,-0.2642996948411136,-0.972026504074988,1.4275086135387989,1.3812897205829784,-1.3948248884123615,-0.1987948634709775,-1.9729100029354207,-0.7370307223679725,-0.3302972994402579
13,1,-0.3870909411414893,-0.2642996943480799,-1.1225188126757153,1.4275086135387989,-1.2678681090477013,2.0242800116820248,-0.1984645635729928,0.7034974323130885,0.4275723100917183,-0.3302972901506286
14,1,-0.387090926924814,-0.2642996768453842,-0.7824980776836554,1.6945529634057128,-1.6075388629503478,2.192999218999406,-0.1978794228671708,0.7034974323130885,-0.3945004187033587,-0.3302972643979052
15,1,-0.3825653242133097,-0.2419340293875512,0.9008996980795232,-0.7091399635591878,-1.1286751384500011,0.8859335526731889,-0.071629197973248,0.1610257565079503,-1.353585268964266,-0.3140856324257954
16,1,-0.3870909420254277,-0.264299694962426,-1.4625673908331036,1.4275086135387989,0.9003385622816068,-1.1163365582619864,-0.1897518542986905,-1.9798596277548015,-2.2441640584922773,-0.3302972626248452
17,1,0.0890109434749788,-0.0622288213832105,1.3468358339813271,-0.7091399635591878,0.793975596608277,-0.4536562981961304,-0.1871990435868336,0.7034974323130885,-0.7370307223679725,-0.006926868289941
18,1,0.8099260126270297,-0.1382669216901109,1.4304488594629154,-0.7091399635591878,-0.1704388524191155,-0.3316906061594696,-0.1969100244065017,0.7034974323130885,-1.2165731474984358,0.3230949005806656
19,1,-0.3870899139716335,-0.2642993574828167,-0.2641140255970055,-0.7091399635591878,-0.287860008669851,-0.1019885528237586,-0.1950522154638697,0.6988198002231205,0.8386086744892474,-0.3302965580078771
20,1,1.792427569986164,0.3235558038088512,1.5252269942412455,-0.7091399635591878,0.6747154151854295,-0.8337827050437226,-0.1936628262463708,0.7034974323130885,-0.7370307223679725,1.0122804054302974
21,1,0.2555159531112702,0.0339247814851895,1.3775050805907074,-0.7091399635591878,0.3562235001929886,-0.2991664216163603,-0.1944184410160938,0.7034974323130885,-1.011054965299652,0.2380317546784257
23,1,-0.3870904271581195,-0.2642990632033378,-0.3365619417818514,-0.7091399635591878,-0.8645166011460383,0.9509819217594114,-0.1966026591573542,0.6461630275531959,1.4551632210855598,-0.3302967588754532
24,1,-0.3870909225586942,-0.2642995447123574,-0.6988850522020672,-0.7091399635591878,-1.2071602454140598,0.8249507066548624,-0.1838549874900959,0.4034607453994312,1.8661995854830888,-0.3302971226472727
25,1,-0.3870909012772086,-0.2642996738871821,-0.6375744021486348,1.1604642636718838,0.1091290330590148,0.2293515772091651,-0.1890149763179728,0.6914692355103139,0.5645844315574156,-0.3302971288068398
26,1,-0.3870908642857276,-0.2642995460065708,-0.542824110535633,-0.7091399635591878,0.0861432217030088,0.1968273926660597,-0.1828259998971804,-0.0779344199738401,-0.531512540169208,-0.3302970833657442
27,1,-0.3870902630938028,-0.2642922277227422,-0.2863885578598328,-0.7091399635591878,0.3029598822451508,-0.2849370908787498,-0.1852044458457801,0.3597582970160163,1.934705646216023,-0.3302965514580707
28,1,-0.3870903774298903,-0.2642948310638413,-0.3309933087161446,-0.7091399635591878,0.9539828063543914,-0.7545050052198933,5.29009597506658,-1.538157511830687,0.0165359456941702,-0.330296452675264
29,1,-0.3044987218828743,-0.1459663675779683,1.123867766030425,-0.7091399635591878,1.2633156548033724,-0.8215861358400566,-0.1825609204068263,0.3155212621080339,-0.3945004187033587,-0.2468730880663418
30,1,-0.3713794142089646,-0.0491266405490206,0.9371514993372748,-0.7091399635591878,0.6267805629868489,-0.6650634977263421,-0.1739400521146976,0.3882250294492498,1.4551632210855598,-0.3141276311656364
