f_id,i_id,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.ratio,ic.eps.s,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_x,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,nbc.nb_fitness.cor
1,1,0.85974511937338,0.0507161154489949,0.805022869517905,1.5064889864312028,1.4129053123445876,0.6997709232301089,1.109422423196805,-0.6973878204347101,0.602652839372689,0.2776221532195761
2,1,4.681017310260688,5.239980275497771,4.696521899593417,1.685355287933638,1.5752397131797504,0.6997709232301089,0.7021660906308907,-0.360655758206377,5.038041176448034,-0.1101902360716883
3,1,-0.258439092716215,0.0194491524060665,0.1428926479735396,1.431466591521303,1.3793256334945998,0.6997709232301089,-0.9268592396327102,-0.7432899017582394,0.0121066190232854,0.4311014106051414
4,1,-0.3465223965728914,-0.2597303139075733,-0.3491708832218889,-0.0283429752041807,-0.0368644692787085,0.6997709232301089,-0.112346574501051,-0.4251289105997312,-0.3078285052245831,0.0511597524618545
5,1,-0.3465264208467052,-0.2597381567897685,-0.3491758595100475,-1.3901017591853384,-1.4250668463827094,-1.648925550924001,-0.4517268516391529,2.216167952123656,-0.3078324907309081,-2.0796618255997434
6,1,-0.3465264207010686,-0.2597381565457579,-0.3491758586783728,-1.1188913342517397,-1.1731773153589442,-1.6489255509240013,-0.4517268516392847,1.0290209939242876,-0.3078324814639678,-1.3469683078243655
7,1,-0.3465263438193079,-0.2597379205246206,-0.3491757927597037,-0.5880567320809603,-0.6414105276421065,0.205315531631667,-0.3159747407838481,-0.5894653696893131,-0.3078323915981472,0.0400691767533409
8,1,-0.3465264139307629,-0.2597381070385848,-0.3491758443235329,-0.7726873359199229,-0.8317326541465765,-1.5420270978415849,0.0234055363543856,-0.0547586819053002,-0.3078324413687574,-0.5538132644122493
9,1,-0.3465264125885686,-0.2597380929376612,-0.3491758416527077,-0.7553944289103416,-0.8093368816579499,-1.506928105131628,0.7700421460585525,-0.1227358099722063,-0.3078324300267111,-0.5051578354974784
10,1,-0.3465264003676769,-0.2597381099326609,-0.3491755740765984,-0.4033973067303153,-0.473484173626263,0.4902446169387313,-0.3838507962115098,1.787631727248264,-0.3078320700099036,-1.7634015376537306
11,1,-0.3465263987989366,-0.2597381226789106,-0.3491755606007642,-0.4033973067303153,-0.4678922204455822,0.4922464606294134,0.9057942569137066,1.8412425550536071,-0.3078320522604605,-1.7884447731245692
12,1,-0.3465264208035536,-0.2597381566689101,-0.3491758565011432,-0.9688753659436222,-1.022026820885143,-1.6498597446463192,-0.7232310733497624,2.210561591045973,-0.307832424950704,-1.480770737339986
13,1,-0.3465264198344407,-0.2597381561763014,-0.3491758586783728,-1.1246556365882665,-1.1563734960509984,-1.6470571634793645,0.4306618689203,-0.6283594996657387,-0.3078324156594369,0.1048238284707938
14,1,-0.3465264130443573,-0.259738138688693,-0.3491758443235329,-0.7726873359199229,-0.8261127411999922,-1.4901126181298996,-0.3838507962115098,-0.3287695795770551,-0.3078323899021732,-0.2772643927128507
15,1,-0.2972364385059079,-0.2373917703941518,-0.3446062595789259,0.9698612604122142,1.205779366532172,0.6997709232301089,-1.3341155721986058,-0.1353501223969929,-0.2916178997618582,1.3058258495508444
16,1,-0.3465264208467052,-0.2597381567901179,-0.3491758595709017,-1.4766527587682927,-1.4306587995633904,-1.6523954133211831,-2.2165042927580774,2.201100856727382,-0.3078323881288007,-1.6260215030708471
17,1,-0.2003408554556887,-0.0578414680797102,0.1315530182271411,1.431466591521303,1.390509539855961,0.6997709232301089,-0.7232310733497624,-0.8568187135813194,0.0155950175533389,0.5613262350534995
19,1,-0.3465244261255129,-0.2597378196014157,-0.3491748215259751,-0.2360884314126167,-0.2103827764752328,0.6984363607696544,0.8379182014861956,-0.4969604119075441,-0.3078316833876062,0.4754637134391973
20,1,1.452045835335886,0.3276106111935023,1.851524285353221,1.6161260168719478,1.5472519875104431,0.6997709232301089,-0.7232310733497624,-0.6861750982793449,1.034981981130178,0.4157177088159123
21,1,1.2244437866295197,0.0382292504897093,0.2996762054438368,1.4632134866397255,1.418497265525268,0.6997709232301089,-0.9947352950603532,-0.742939504190885,0.2605968275955907,0.7591677952731208
22,1,-0.3450082070458721,-0.2594916753555137,-0.3491593614512837,0.4361445070731716,0.718804123792587,0.6997709232301089,-1.4019916276262676,-0.3722188779290982,-0.3074951347348716,1.148768987098017
23,1,-0.3465257971236444,-0.2597375255756053,-0.3491753396998598,-0.3110820048108341,-0.3335455452797267,0.6914966359752902,1.4488027003350576,-0.3935931295377645,-0.3078318842905958,0.0897978871882902
24,1,-0.3465263420213249,-0.2597380066695648,-0.3491758399149809,-0.6861363363369687,-0.4902600331683053,0.5444278528331894,1.8560590329009528,-0.6781159542301749,-0.3078322481265496,1.0965359531159828
25,1,-0.3465264152639675,-0.2597381357330409,-0.3491758184266714,-0.6226713676118054,-0.6134228019727993,-0.0438472797352129,0.566413979775454,-0.7201636623127972,-0.3078322542872028,0.2797687162599338
26,1,-0.3465263227127835,-0.2597380079626626,-0.349175781075689,-0.5245917633557972,-0.4231006754683292,0.6131578195466032,-0.5196029070668147,-0.1560235788709487,-0.3078322088380957,0.6861846519009641
27,1,-0.3465256537236982,-0.2597306959871865,-0.3491751740410854,-0.259145640758725,-0.2271865957831785,0.6979025357854723,1.923935088328615,-0.3294703747117656,-0.307831676836645,0.5148173691790858
28,1,-0.346525871336299,-0.2597332970842084,-0.3491752894883472,-0.305317702474307,-0.2887540003024738,0.6993705544919725,0.0234055363543856,-0.7170100842066005,-0.3078315780364224,1.8077638404877856
29,1,-0.2228334775365587,-0.1415068326025632,-0.2657809676093896,1.2006639259667584,1.1890035069901292,0.6997709232301089,-0.3838507962115098,-0.5537248178190841,-0.2243935055924894,0.5488046173180807
30,1,-0.3094002698770248,-0.0447505813108611,-0.3333116393992834,1.0073868686230054,1.0434729254629125,0.6997709232301089,1.4488027003350576,-0.4966100143401889,-0.291659905906226,0.9369747671160714
