f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_distr.skewness,disp.diff_median_25,ic.eps.max,ela_meta.lin_simple.intercept,disp.ratio_median_25,pca.expl_var.cov_init,ela_meta.quad_simple.adj_r2
1,1,0.0667387464183706,1.5179495947567847,0.6997709232301093,-0.2252100713652802,-0.0970280345606846,0.8816496569121399,0.6371469620514552,-0.0970897105998748,-0.7091399635591878,0.6353739160897776
2,1,5.264682144677648,1.697772800618176,0.6997709232301093,-0.2752186211249903,-1.5151089416187962,4.969840848589457,5.148473183171,-1.5146136023642744,-0.7091399635591878,1.2366417959721991
3,1,0.035419488211427,1.442525842765615,0.6997709232301093,-0.1730981577100973,1.075046571796242,0.1860526855289812,0.0364900530778388,1.0747982721223184,-0.7091399635591878,-0.6061244874294228
4,1,-0.2442269161914839,-0.0250934574083252,0.6997709232301093,-0.2013739913020069,-0.8338976383280671,-0.3308817344546089,-0.2889226516027773,-0.8339974377264922,-0.7091399635591878,0.6406801127100209
5,1,-0.2442347721911927,-1.3941374197897332,-1.648925550924001,-0.436656399294718,1.4400435602357695,-0.3308869622645761,-0.2889267053445971,1.4401816868225965,1.4275086135387989,-1.541531148769448
6,1,-0.244234771946774,-1.121476065107862,-1.6489255509240013,-0.3572130195108989,0.5481557903603574,-0.3308869613908652,-0.2889266959189983,0.5487280335902586,1.4275086135387989,-1.023343147398264
7,1,-0.2442345355308825,-0.5878015878994982,0.2053155316316673,-0.2977607951184538,-1.1281825343999583,-0.330886892140399,-0.288926604514593,-1.1287605285771414,0.3590374359084704,1.385821723809895
8,1,-0.2442347223567983,-0.7734199341366997,-1.5420270978415849,-0.324828574228124,-1.2850032842141952,-0.3308869463104734,-0.2889266551373214,-1.285353420591547,1.4275086135387989,1.0063528626536415
9,1,-0.2442347082322903,-0.756034513009269,-1.506928105131628,-0.2946394766846473,-1.2900803600220567,-0.3308869435046539,-0.2889266436010889,-1.2904708353632586,1.6945529634057128,0.6273388183505519
10,1,-0.2442347252557148,-0.4021542659604176,0.4902446169387317,-0.3623395857400979,1.403007925430844,-0.3308866624041616,-0.2889262774204661,1.4033363004662691,-0.7091399635591878,-1.380829193984938
11,1,-0.2442347380232832,-0.4021542659604176,0.4922464606294137,-0.3617570213958707,1.1508841314806313,-0.3308866482472041,-0.2889262593671364,1.150536010743666,-0.7091399635591878,-1.4395005680430564
