f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.max,ic.eps.ratio,ic.eps.s,disp.diff_mean_10,ela_distr.number_of_peaks,pca.expl_var_PC1.cor_x,ela_level.qda_mda_10,ela_level.lda_mda_10,disp.diff_median_25
2,1,5.068443386994181,4.687333522503028,1.683945835269994,1.5764844214390774,-1.5866318818228975,-0.7394278453849756,0.7814538635797494,-0.3486232509205439,1.1697810788748086,-1.5305206186439424
3,1,0.0210574189638656,0.1407954167880485,1.4302096137024765,1.3804636461892623,1.0995812506353373,0.7267880531561727,-0.8469649659157077,-1.5729150430401104,-0.8317239408727684,1.038536411675459
4,1,-0.300243234349089,-0.3505018477437194,-0.0287232529560295,-0.0364977191851338,-0.9339516144969552,-0.3728738707496885,-0.0327555511681203,-0.4346812823780101,2.115968892284537,-0.854858219692199
5,1,-0.3002472368661275,-0.3505068162825459,-1.3896642220356163,-1.4254561166666992,1.3114756854872391,-0.7394278453849756,-0.3720094739795256,1.4289402772245603,-0.8317239408727684,1.4005602648145516
6,1,-0.3002472275596345,-0.3505068154521663,-1.1186166746465438,-1.1734294056312224,0.505752934577892,-0.7394278453849756,-0.3720094739796574,1.4504547850889271,-0.8317239408727684,0.5159374946422314
7,1,-0.3002471373102536,-0.3505067496361492,-0.5881008693530322,-0.641373015667438,-1.2556009691449848,-0.7394278453849756,-0.2363079048548995,-0.3750802808618593,1.7382133013795142,-1.1467459759503162
8,1,-0.300247187293292,-0.3505068011196804,-0.772620591837028,-0.8317987923372671,-1.2507938257112603,-0.7394278453849756,0.1029460179566376,0.6768047117500124,0.2259917136613021,-1.302289319862913
9,1,-0.3002471759028362,-0.3505067984530144,-0.755338070218171,-0.8093908230244226,-1.235045841035961,-0.7394278453849756,0.849304648142072,0.5241680005501146,0.2955467113517488,-1.307325039621861
10,1,-0.3002468143494252,-0.3505065312935884,-0.4035523426663382,-0.4733552083104536,1.263655081119371,-0.7394278453849756,-0.3041586894172219,1.4289402772245603,-0.8317239408727684,1.363826309082879
11,1,-0.300246796524225,-0.3505065178387396,-0.4035523426663382,-0.4677602097304674,1.0607775957851655,-0.7394278453849756,0.9850062172665476,1.4289402772245603,-0.8317239408727684,1.1137562256443
12,1,-0.300247170805164,-0.3505068132783272,-0.96869079960296,-1.0221965940141964,1.281443321937333,-0.7394278453849756,-0.6434126122287779,1.4289402772245603,-0.8317239408727684,1.3862250625778016
13,1,-0.3002471614742404,-0.3505068154521663,-1.1243775151861628,-1.156616434898364,-1.4148624844433482,-0.7394278453849756,0.510050725330516,-0.3587990316672034,2.053609239182757,-1.258427760786963
14,1,-0.3002471356070411,-0.3505068011196804,-0.772620591837028,-0.8261758187643811,-1.611014106371896,-0.7394278453849756,-0.3041586894172219,-0.3111182304542828,1.290902712784039,-1.597520890035629
15,1,-0.2839634396937925,-0.3459443323676935,0.9688815032897888,1.2068228652593918,-1.2892380438011917,2.3762809390149644,-1.2540696732895673,0.3697868697936454,0.1156630966350741,-1.1194714937928385
16,1,-0.3002471338260995,-0.3505068163433054,-1.4761632427379954,-1.4310511152466854,0.834433285996388,-0.1437776366026341,-2.136129872599628,1.4289402772245603,-0.8317239408727684,0.9060917823045008
17,1,0.0245607064799115,0.1294734456968887,1.4302096137024765,1.3916536433492346,0.6560052579864778,0.5435110658385292,-0.6434126122287779,-0.7917058182893912,-0.8317239408727684,0.7999096914063394
18,1,0.3560494880095352,0.8562611655914165,1.5167086344048557,1.402843640509207,0.1210573378332315,-0.1437776366026341,-1.11836810416496,-0.0349184673306563,-0.8317239408727684,-0.1628647295762109
19,1,-0.3002464260769683,-0.3505057799148757,-0.2363439460038974,-0.2101105251221045,-0.2179742751050057,0.8184265468149944,0.9171554327043756,-0.6251137506369309,0.6277317865285466,-0.2800862061254414
20,1,1.0482985600398576,1.846766285016602,1.61475814038917,1.548481453546247,0.8304846533856849,0.8184265468149944,-0.6434126122287779,-1.1225640608522192,-0.8317239408727684,0.6808523170260073
21,1,0.270608219438959,0.2973348228309726,1.4619374429744276,1.419656611242065,0.5967886982057943,0.7267880531561727,-0.9148157504780112,-2.005240356476776,-1.0691703122987846,0.3629020111655842
22,1,-0.2999084409862428,-0.3504903439154085,0.4354852777264676,0.7195824139212964,-0.0349795901268559,3.70503909706788,-1.3219204578518895,-0.317805172087802,-1.2082803076796833,-0.3352351370518681
23,1,-0.3002466278374408,-0.3505062972818334,-0.3112924814243403,-0.3333403688462997,-0.5923496408416,-0.4645123644085103,1.5278124937651838,-1.3228815732650383,1.0234757389052436,-0.8557621693868156
24,1,-0.3002469932262986,-0.3505067967179938,-0.6861215711346491,-0.490140204050412,-1.1950475114862835,-0.2354161302614558,1.9349172011390436,-0.1372577479827791,-0.0977987928287208,-1.197823133473559
25,1,-0.3002469994132464,-0.350506775263147,-0.6226947167934441,-0.6133700477746074,0.2145186531237662,-0.189596883432045,0.6457522944549915,-0.5916790424693344,-0.8317239408727684,0.1162277387479315
26,1,-0.300246953770156,-0.3505067379703294,-0.5246740150118272,-0.4229442711047781,-0.0995333979157198,-0.0063198961144014,-0.4398602585418481,1.019292418023309,0.9815028954713486,0.0932810157478656
27,1,-0.3002464194980467,-0.3505061318810314,-0.2593873081623733,-0.2269234958549629,0.0606461033530426,0.2685955848620638,2.002767985701366,0.6430792669896545,0.8040177289508961,0.3097289702796022
28,1,-0.3002463202761306,-0.3505062471485127,-0.3055316408847213,-0.2885244302206106,1.1670441688937765,-0.4186931175790994,0.1029460179566376,-0.1962772763134071,0.1504405954802974,0.9596448020444144
29,1,-0.2164521221541408,-0.2672417912009709,1.1995455584961323,1.1900378695194331,1.196789500210685,-0.2354161302614558,-0.3041586894172219,0.3168728099110145,-0.8736967843066608,1.2684516167460176
30,1,-0.2840056251264181,-0.3346673007520752,1.006384575202708,1.0444280314752932,0.5165696537727653,0.3602340785208855,1.5278124937651838,-1.598499863203141,-0.1949359447757246,0.6329989800950696
