f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.intercept,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,nbc.nb_fitness.cor
1,1,1.391209489511054,0.6776101004751783,1.217490921589778,0.58001807038437,0.755998282946679,-0.6684606875586628,0.0464140250624977,0.8458810912900068,1.3109747694203326,0.2902571183783555
2,1,1.5647546758694673,0.6776101004751783,0.4833042650253236,5.014641593553749,4.610042659399868,-0.6684606875586628,5.240166844984145,4.674828065622,1.4695026524670594,-0.0968180427526843
3,1,1.318418944862174,0.6776101004751783,0.5825321096286875,-0.0104263194313541,0.100240890461026,-0.6684606875586628,0.0151200164196483,-0.2745489230482527,1.2781824877222416,0.4434446129588135
4,1,-0.0979625712599085,0.6776101004751783,0.3711552653650947,-0.3303062758306745,-0.3870866587956523,-0.6684606875586628,-0.2643009372473274,-0.3628091366481827,-0.1047999105209124,0.0642252207806175
5,1,-1.4192102291816489,-1.6535047563858452,-1.7711059807295635,-0.3303102606497609,-0.3870915871883474,1.4559663208162656,-0.2643087869135347,-0.362813169004496,-1.4604508566576635,-2.0625456829984183
6,1,-1.1560680758409028,-1.6535047563858456,-1.192967119851868,-0.3303102513844184,-0.3870915863646774,1.4559663208162656,-0.2643087866693131,-0.3628131688585668,-1.2144677877000405,-1.331245009570033
8,1,-0.820163341948337,-1.5474065121477816,0.2956162050326507,-0.3303102112961219,-0.387091572147999,1.4559663208162656,-0.2643087371193168,-0.3628131620746634,-0.8810295328315206,-0.5395977473675272
9,1,-0.803384883711945,-1.5125702596701154,0.203345905459907,-0.3303101999560313,-0.3870915695028799,1.7214831846431335,-0.264308723006196,-0.3628131607297734,-0.8591589103168069,-0.4910348120226736
10,1,-0.4618593663101881,0.4696522434792236,-1.658956981069334,-0.3303098400013031,-0.3870913045021202,-0.6684606875586628,-0.2643087400158962,-0.3628131484843367,-0.531181485039976,-1.7468866032568688
11,1,-0.4618593663101881,0.4716391019855544,-1.6647549352615174,-0.3303098222549206,-0.3870912911559874,-0.6684606875586628,-0.2643087527731714,-0.3628131469124458,-0.5257206554482872,-1.771882231743191
12,1,-1.0105149506402031,-1.6544319570221329,-1.7692986439396785,-0.3303101948808996,-0.3870915842084031,1.4559663208162656,-0.2643087867925718,-0.3628131689612577,-1.0668615638366914,-1.4647930817683803
13,1,-1.1616608952530334,-1.6516503551132695,0.9950151364440062,-0.3303101855912345,-0.3870915863646774,1.4559663208162656,-0.264308786299537,-0.3628131679901984,-1.1980579947770156,0.117787281822736
14,1,-0.820163341948337,-1.495880648216937,0.4011389713303845,-0.3303101598384123,-0.387091572147999,1.7214831846431335,-0.264308768796802,-0.3628131611864775,-0.8755413990918735,-0.2635745927971447
15,1,0.870545966338753,0.6776101004751783,-0.6497816399613342,-0.3140984656353625,-0.3825659684534924,-0.6684606875586628,-0.2419430711246121,-0.3134241908524711,1.1087056413441787,1.3165062079453385
16,1,-1.5031864126547902,-1.656948644463485,-1.7730938507383116,-0.3303101580653455,-0.387091587248616,1.4559663208162656,-0.2643087869138845,-0.362813169004496,-1.4659116862493524,-1.6097677269890465
17,1,1.318418944862174,0.6776101004751783,1.024336219073047,-0.0069385224215064,0.0890104016654729,-0.6684606875586628,-0.0622374596541315,-0.2163339991537421,1.289104146905619,0.5734218810876867
18,1,1.4023951283353155,0.6776101004751783,-0.3762838579243499,0.3230845132903993,0.809925627406868,-0.6684606875586628,-0.1382757306783927,0.0893192893430643,1.3000258060889969,-0.3285632268615821
19,1,-0.2995277828730965,0.6762855281376247,0.5084839518028051,-0.3303094534456727,-0.3870905591945985,-0.6684606875586628,-0.2643084494335175,-0.3628111702770323,-0.2742494527510167,0.4877225834202977
