f_id,i_id,ic.eps.ratio,ic.eps.s,disp.diff_median_25,ela_meta.lin_simple.coef.min,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ic.eps.max,ela_meta.lin_simple.intercept
1,1,1.394006141049445,1.3140107630177835,-0.1511532645550319,0.0464140385259931,-0.7091399635591878,0.6993468399679201,1.409063781992125,-0.2273514556674744,0.7559982938912223,0.5800180845238169
2,1,1.566749564563339,1.4716590968705825,-1.575863839969197,5.24016683973605,-0.7091399635591878,0.6993468399679201,-0.2659825488008064,-0.2773797252503877,4.610042647261666,5.014641582073334
3,1,1.3215518820409593,1.2814004204485088,1.0264009063951582,0.015120029995887,-0.7091399635591878,0.6993468399679201,-0.6166937469585748,-0.1752189927716317,0.1002409053330488,-0.0104263018807716
4,1,-0.0882860813781057,-0.0939088730372148,-0.8914678065275053,-0.2643009226644159,-0.7091399635591878,0.6993468399679201,-0.4915511012990586,-0.2035059763457351,-0.3870866410049144,-0.3303062564320704
5,1,-1.4034296962966444,-1.4420383556054992,1.3931042918197016,-0.2643087723305949,1.4275086135387989,-1.6488837029422974,-0.5294284165740912,-0.4388811630235054,-0.38709156939758,-0.3303102412511337
6,1,-1.141503235570615,-1.1974200573485472,0.497046858495847,-0.2643087720863732,1.4275086135387989,-1.6488837029422978,-0.4808227703126728,-0.3594064564083439,-0.3870915685739101,-0.3303102319857913
7,1,-0.6288399461283178,-0.6810036499172036,-1.1871285135657823,-0.2643085358610809,0.3590374359084704,0.2049895377642518,-0.5987100091432345,-0.2999307882775843,-0.3870915032896912,-0.3303101421354672
8,1,-0.8071503507415958,-0.8658317946874415,-1.3446824158803037,-0.2643087225363771,1.4275086135387989,-1.542006456231059,-0.7069963877837299,-0.3270092409984892,-0.3870915543572317,-0.330310191897495
9,1,-0.790449407443443,-0.8440825154218384,-1.349783227519215,-0.2643087084232564,1.6945529634057128,-1.5069144264120131,-0.7129176759431393,-0.2968082390172897,-0.3870915517121126,-0.3303101805574045
10,1,-0.4505017066095429,-0.517924784412569,1.355895511762703,-0.2643087254329565,-0.7091399635591878,0.4898620992230458,-0.553355347223403,-0.3645350441914605,-0.3870912867113544,-0.3303098206026784
11,1,-0.4505017066095429,-0.5124942527607329,1.102593014164313,-0.2643087381902316,-0.7091399635591878,0.4918635457906721,-0.395218062237431,-0.3639522501251972,-0.3870912733652217,-0.3303098028562959
12,1,-0.9966225524591392,-1.0506327867994203,1.3785837922852633,-0.2643087722096319,1.4275086135387989,-1.6498177113405228,-0.5659166448453007,-0.2983787156590096,-0.3870915664176357,-0.3303101754822727
13,1,-1.147070216669999,-1.18110130973478,-1.300253900842733,-0.2643087717165971,1.4275086135387989,-1.6470156861458465,0.0915691072564792,-0.2922992533467267,-0.3870915685739101,-0.3303101661926078
14,1,-0.8071503507415958,-0.8603741103773463,-1.6437301590823052,-0.2643087542138622,1.6945529634057128,-1.4901022752439532,-0.5445323096281581,-0.2990412604922352,-0.3870915543572317,-0.3303101404397857
15,1,0.8757480356022674,1.1128638706337788,-1.1595014805509003,-0.2419430566222495,-0.7091399635591878,0.6993468399679201,0.4860479116677056,0.4451499540796378,-0.3825659506898299,-0.3140984463303947
16,1,-1.4870179175038991,-1.4474688872573351,0.8922442933695272,-0.2643087723309446,1.4275086135387989,-1.6523528769928495,-0.6114837407788084,-0.3611241652352251,-0.3870915694578486,-0.3303101386667189
17,1,1.3215518820409593,1.2922614837521804,0.7846896892565977,-0.0622374457991962,-0.7091399635591878,0.6993468399679201,-0.398322739884774,-0.1002716758501784,0.0890104166047577,-0.0069385048910737
18,1,1.405140103248214,1.3031225470558527,-0.1905295856976679,-0.1382757165495135,-0.7091399635591878,0.6993468399679201,1.220817901877168,-0.2452585701877103,0.8099256380284282,0.3230845289142114
19,1,-0.2889200801999146,-0.2624182701936856,-0.3092662709252878,-0.2643084348505789,-0.7091399635591878,0.6980125422561695,2.5434002472516304,-0.1803721192522751,-0.3870905414038372,-0.3303094340470502
20,1,1.499890121559734,1.4444792859531437,0.664093375321861,0.3235480441494733,-0.7091399635591878,0.6993468399679201,0.7853083356454843,-0.1634158792612056,1.792427402911458,1.0122726753309372
21,1,1.352212030445818,1.3194412946696197,0.3420332333041196,0.0339163726025818,-0.7091399635591878,0.6993468399679201,2.164108408339508,-0.1697284591999938,0.255515461410223,0.2380210569749241
