f_id,i_id,ic.eps.ratio,ic.eps.max,ela_meta.lin_simple.coef.min,nbc.nb_fitness.cor,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_distr.skewness
1,1,1.3926774764133911,0.7559982882293949,0.0464140186057294,0.2417393782808589,1.1691932692215532,0.84588108993578,0.6896055604461341,-0.7091399635591877,0.5800180793475316,-0.2325705890056924
2,1,1.5656376970527124,4.610042653540992,5.240166847501016,-0.1683253257789893,0.4075023365852978,4.6748280669820605,0.6896055604461341,-0.7091399635591877,5.0146415862761735,-0.282671362488213
3,1,1.3201322855780462,0.1002408976394598,0.015120009908811,0.4040251329318509,0.5104474784285101,-0.2745489251967367,0.6896055604461341,-0.7091399635591877,-0.0104263083058327,-0.1803625726900014
4,1,-0.0914750581830901,-0.3870866502084114,-0.2643009442409414,0.002282775264361,0.2911519842850397,-0.3628091388592332,0.6896055604461341,-0.7091399635591877,-0.3303062635336701,-0.2086905514181317
5,1,-1.4082692097729452,-0.3870915786010923,-0.2643087939071623,-2.2508033662305267,-1.9313631648241785,-0.3628131712155493,-1.6491191354835215,1.4275086135387989,-0.3303102483527418,-0.4444068576078743
6,1,-1.146014025078132,-0.3870915777774223,-0.2643087936629406,-1.476068574796422,-1.3315659277076324,-0.3628131710696202,-1.6491191354835215,1.4275086135387989,-0.3303102390873994,-0.3648169715911907
7,1,-0.632707330953895,-0.3870915124932033,-0.264308557437647,-0.0094441673794164,0.9083072503267348,-0.3628130940334473,0.1972494607575509,0.3590374359084706,-0.3303101492370751,-0.3052551078372928
8,1,-0.8112415193869421,-0.387091563560744,-0.2643087441129442,-0.6374030315301077,0.2127830616130782,-0.3628131642857168,-1.542674537413196,1.4275086135387989,-0.330310198999103,-0.3323728042385002
9,1,-0.7945196160057638,-0.3870915609156248,-0.2643087299998234,-0.5859557992864368,0.1170561100159679,-0.3628131629408267,-1.5077245632652616,1.6945529634057133,-0.3303101876590125,-0.3021280331956493
11,1,-0.4541452726818792,-0.3870912825687331,-0.2643087597667988,-1.9428765497132603,-1.821027971062338,-0.3628131491234991,0.482962177176027,-0.7091399635591877,-0.3303098099579032,-0.3693693533386521
12,1,-1.0009515132464102,-0.387091575621148,-0.2643087937861993,-1.617548463466517,-1.9294881211513375,-0.362813171172311,-1.6500493629323256,1.4275086135387989,-0.3303101825838807,-0.303700785864138
13,1,-1.1515879928718582,-0.3870915777774223,-0.2643087932931645,0.0590260461213516,0.9383830430188252,-0.3628131702012517,-1.6472586805859126,1.4275086135387989,-0.3303101732942157,-0.2976125128388556
14,1,-0.8112415193869421,-0.387091563560744,-0.2643087757904295,-0.344986042380418,0.3222589470122871,-0.3628131633975308,-1.4909804691867836,1.6945529634057133,-0.3303101475413936,-0.3043642908961567
15,1,0.8737689446564598,-0.3825659598793203,-0.2419430780795967,1.3289404479007898,-0.7680315034941213,-0.3134241930285133,0.6896055604461341,-0.7091399635591877,-0.3140984533977152,0.4409054491885879
16,1,-1.4919623361957428,-0.3870915786613609,-0.264308793907512,-1.77113358325277,-1.9334255048944928,-0.3628131712155493,-1.6525742660076517,1.4275086135387989,-0.3303101457683268,-0.3665371698223503
17,1,1.3201322855780462,0.0890104088763728,-0.0622374662986252,0.5417221368781469,0.9688025590559682,-0.2163340012609584,0.6896055604461341,-0.7091399635591877,-0.0069385113087582,-0.1053066377254454
18,1,1.4038254120008438,0.8099256325336862,-0.1382757374542634,-0.4138345443535668,-0.4842878821533141,0.0893192874525214,0.6896055604461341,-0.7091399635591877,0.3230845231945178,-0.2505036555655303
19,1,-0.2923608574689789,-0.3870905506073464,-0.2643084564271444,0.4509329035069626,0.433625310809285,-0.3628111724880842,0.6882766640906994,-0.7091399635591877,-0.3303094411486566,-0.18552316738348
20,1,1.498694343850062,1.7924274004608438,0.3235480257064687,0.3877587286195138,0.3932378177656206,1.4393714048354305,0.6896055604461341,-0.7091399635591877,1.0122726710688603,-0.1685423534158911
21,1,1.3508309132019929,0.255515454197728,0.0339163526156995,0.7509156621042504,1.1595690155600842,1.2113122316516896,0.6896055604461341,-0.7091399635591877,0.2380210510753232,-0.1748640819154023
22,1,0.3576752666353595,-0.3870752393318478,-0.2640620992685877,1.1628718085259986,-0.3999038009429351,-0.3612919081772678,0.6896055604461341,-0.7091399635591877,-0.3299729505297482,0.1584366125019745
23,1,-0.3648781784653556,-0.3870910637939423,-0.2643081621470043,0.0431379302813935,0.1598496664749992,-0.3628125462397797,0.6813664030424385,-0.7091399635591877,-0.3303096420170029,-0.2281533656906793
24,1,-0.7275483929641446,-0.3870915591946232,-0.2643086436571058,1.1076416915585283,0.9961285649876386,-0.3628130922318531,0.5349220246735266,-0.7091399635591877,-0.3303100057902174,-0.0395950652951522
25,1,-0.6661790075552202,-0.3870915379131331,-0.2643087728322207,0.2440091091151387,0.843859123129398,-0.362813165621599,-0.0508554888021208,1.1604642636718838,-0.3303100119498083,-0.131736254834189
26,1,-0.5713379455449704,-0.3870915009216441,-0.2643086449513221,0.673744813738744,0.0434993141747407,-0.3628130728845318,0.6033601869784174,-0.7091399635591877,-0.3303099665085384,-0.051575017262156
27,1,-0.3146567286438833,-0.3870908997295905,-0.2643013266510502,0.4925446354687554,0.552553588197437,-0.3628124025518238,0.6877451055485253,-0.7091399635591877,-0.3303094345988251,-0.0926570371613118
28,1,-0.3593042106716295,-0.3870910140657025,-0.2643039299979987,1.859679174649837,-1.429527081047584,-0.3628126206014858,0.6892068915395037,-0.7091399635591877,-0.3303093358156395,5.210062891601648
29,1,1.096950615117253,-0.3044993408177867,-0.1459752006418772,0.5284820403448494,0.825126200824039,-0.238871798366271,0.6896055604461341,-0.7091399635591877,-0.2468856512783198,-0.0801118772040699
30,1,0.9100554749936166,-0.3713800474776305,-0.0491352560253639,0.9389250328770776,0.7752863157914321,-0.325612454694041,0.6896055604461341,-0.7091399635591877,-0.3141404522986213,-0.0059774770062065
