f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_simple.coef.max,disp.diff_median_25,ela_level.mmce_qda_50,nbc.nb_fitness.cor
1,1,1.3961337530056592,0.6463304788836871,0.7559982813542857,0.0464140170167263,0.580018067879671,1.315978671350712,0.8458810894488334,-0.1023931927807675,-0.6562790443420061,0.2505786179899712
2,1,1.5725452707664551,0.6463304788836871,4.610042661165938,5.240166848120415,5.014641595587425,1.4773153682663542,4.674828067471104,-1.5153921789748594,-0.3140866611960657,-0.1493599195370772
3,1,1.3221409749309974,0.6463304788836871,0.1002408882971972,0.0151200083065016,-0.0104263225403114,1.2826053725226574,-0.2745489259692782,1.0654810958322374,-0.7029254566126806,0.4088568768452333
4,1,-0.1176339806900679,0.6463304788836871,-0.3870866613841446,-0.2643009459620616,-0.3303062792669957,-0.1248808547377969,-0.3628091396542721,-0.8366221058831752,-0.3796052860647995,0.017035173105634
5,1,-1.4607038149089049,-1.8069335369896613,-0.387091589776844,-0.2643087956282858,-0.3303102640860861,-1.5045513683205802,-0.3628131720105892,1.4291700588963276,2.3045218566553856,-2.1804131013511023
7,1,-0.6696661551848574,0.1298611806956788,-0.3870915236689547,-0.2643085591587705,-0.3303101649704189,-0.7257113853457917,-0.3628130948284872,-1.1298523847284545,-0.5466065635834737,0.0055978164051377
8,1,-0.8517628652679481,-1.69527580207776,-0.3870915747364956,-0.2643087458340678,-0.3303102147324471,-0.9148637959391052,-0.3628131650807566,-1.2861111421793316,-0.0032292725525634,-0.6068541875569484
9,1,-0.8347072883010648,-1.6586141487920794,-0.3870915720913764,-0.264308731720947,-0.3303102033923565,-0.8926056674118178,-0.3628131637358666,-1.291170023469978,-0.0723086922511196,-0.5566773968708982
10,1,-0.4875410191401552,0.4274757425395109,-0.3870913070906165,-0.2643087487306472,-0.3303098434376279,-0.5588171032797657,-0.36281315149043,1.392267147241605,1.869036648968096,-1.8542639618917744
11,1,-0.4875410191401552,0.4295667113580859,-0.3870912937444837,-0.2643087614879224,-0.3303098256912454,-0.5532595181293818,-0.362813149918539,1.1410468794318362,1.92351680986438,-1.8800902512154771
