f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_median_25,disp.diff_mean_02,ela_meta.lin_simple.coef.min,ela_level.qda_mda_25,ic.eps.max,ela_level.lda_mda_50,ela_level.mmce_lda_25
1,1,1.392441960055271,1.4738687650331397,-0.7091399635591878,-0.0782487997108529,0.0804086230846722,0.0504526903678844,0.8421080554243514,0.7581031269032015,0.0269639356641858,-0.7620823184970971
2,1,1.5532600211119163,1.6501425124181532,-0.7091399635591878,-1.526861427669815,-1.5460273781209954,5.2399065401802645,-0.5892716804419779,4.608373116818235,-0.3405174723157455,-0.592554275867268
3,1,1.3591759436362167,1.399933772373908,-0.7091399635591878,1.1190609357407195,1.2076808785484912,0.0191845843839445,0.1044986630965396,0.1029879381995324,2.346308549137279,0.9781962919560258
4,1,-0.0437857529845451,-0.0387167762968868,-0.7091399635591878,-0.8309834341479022,-1.0270190726580408,-0.2600050871313066,-0.2295131372028464,-0.3838623559033588,-0.2916022515249087,-1.1890418332685186
5,1,-1.4190211528230638,-1.380737726417276,1.4275086135387989,1.4919164223274406,1.307797774562737,-0.2600129303001927,0.7749577664058294,-0.3838672794695243,-0.4905337689200916,0.9781962919560258
6,1,-1.1694844817828782,-1.1134583253710335,1.4275086135387989,0.580826032679642,0.5146842654087325,-0.2600129300561732,0.6288276037748476,-0.383867278646661,-0.4619638169537622,0.9918003941423698
7,1,-0.6426848429202642,-0.5903178356293021,0.3590374359084704,-1.1316043751291374,-1.4014376028546458,-0.2600126940264082,-0.3241498139543396,-0.3838672134263767,-0.3783542212722761,-1.6777430425779645
8,1,-0.8312292007591525,-0.7722723354276261,1.4275086135387989,-1.291801524231284,-1.071693462500367,-0.2600128805471904,-0.1682776404812928,-0.3838672644439054,-0.4799683377496028,-0.6406918682189479
9,1,-0.8090426236137213,-0.7552300781876956,1.6945529634057128,-1.2969879110529157,-1.0355129980408442,-0.2600128664457513,-0.2949237814281435,-0.3838672618013767,-0.3523655051457778,-0.1519906589095018
10,1,-0.4763270622268072,-0.4083349320689115,-0.7091399635591878,1.4540833988406552,1.2588019139116169,-0.2600128834413722,0.7749577664058294,-0.3838669970601406,-0.4928103868657812,0.9781962919560258
