f_id,i_id,ic.eps.s,pca.expl_var_PC1.cov_init,ic.eps.max,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.mean_ratio,ela_distr.skewness,disp.ratio_mean_25,pca.expl_var.cov_init,ela_meta.lin_simple.intercept
1,1,1.393957368860775,0.6997709232301089,0.7561089397738081,1.454044903922291,0.3445970670807331,0.495507910860233,-0.2048934834612357,-0.1386128665310723,-0.7091399635591878,0.5804726397813397
2,1,1.5548842186820353,0.6997709232301089,4.609921933646593,1.628878124763499,-0.0549733434813982,1.3691157786434345,-0.2550636821603602,-1.6193101867368958,-0.7091399635591878,5.014298307112623
3,1,1.3606688489442522,0.6997709232301089,0.1003909165384208,1.380714115354829,0.5027296373124256,-0.2744990238845808,-0.1526131218983712,1.052966427414202,-0.7091399635591878,-0.0098655201591711
4,1,-0.0432419106659179,0.6997709232301089,-0.3869073753732882,-0.0461796383685364,0.1112685893262783,0.9659121473588796,-0.1809803550316224,-0.8903197348085057,-0.7091399635591878,-0.329687925316685
5,1,-1.4194076174564048,-1.648925550924001,-0.3869123034701008,-1.3772334602031184,-2.084157024426541,-1.8313130446777297,-0.4170232960111449,1.3875172863728351,1.4275086135387989,-0.3296919094188421
6,1,-1.1697021420792546,-1.6489255509240013,-0.3869123026464802,-1.112138292926971,-1.329249090080374,-0.728103109079706,-0.3373231213763004,0.51190269255517,1.4275086135387989,-0.3296919001551667
7,1,-0.6425461385052715,0.205315531631667,-0.3869122373661804,-0.5932729591446028,0.0998417602419373,1.2627148203877872,-0.2776787220644657,-1.2186752074901324,0.3590374359084704,-0.3296918103210075
8,1,-0.831218041146215,-1.5420270978415849,-0.3869122884306553,-0.7737405087270683,-0.5120465068550544,0.495507910860233,-0.3048339957686883,-1.3921460232464624,1.4275086135387989,-0.3296918600740826
9,1,-0.8090164554233715,-1.506928105131628,-0.386912285785695,-0.7568375225032969,-0.4619159018398794,0.6663094491127184,-0.2745473141996154,-1.384918072589947,1.6945529634057128,-0.3296918487360323
10,1,-0.4760758215871716,0.4902446169387313,-0.3869120208008449,-0.4127772379184309,-1.7583080918279022,-1.8845135238055533,-0.3424662588517717,1.3565403549877797,-0.7091399635591878,-0.3296914888460653
11,1,-0.4705323544903317,0.4922464606294134,-0.3869120074555134,-0.4127772379184309,-1.784110609115125,-1.6913117838150336,-0.3418818114113771,1.09943182449179,-0.7091399635591878,-0.3296914711028757
12,1,-1.019862226451674,-1.6498597446463192,-0.3869123004903353,-0.9655048874357544,-1.4671082538721052,-1.8481131959812511,-0.2761222462495205,1.368931127541804,1.4275086135387989,-0.3296918436618136
13,1,-1.1530440234532513,-1.6470571634793645,-0.3869123026464802,-1.117772621668228,0.1665596977988985,1.2739149212568013,-0.2700255366344583,-1.342582933030369,1.4275086135387989,-0.32969183437382
