f_id,i_id,ic.eps.s,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.lin_simple.adj_r2,disp.ratio_median_02,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,ela_meta.quad_simple.adj_r2
1,1,1.320891668586144,0.0464142843660057,0.7559984015464134,1.400522418242257,0.5800181787037489,1.0280574953096946,0.01674529257806,0.339384368680491,0.4952221856485306,0.6639186940276377
2,1,1.4781763297096515,5.2401667439123445,4.610042527867231,1.5729089378946026,5.014641505605954,0.939514726676407,-1.6351925091006354,1.80826898199347,1.3686666955408886,1.2696375269701254
3,1,1.288356553531144,0.0151202778945319,0.1002410516202474,1.3282178564222349,-0.0104261849801399,-1.1909999086609215,1.1063937961092878,-0.7968836163014199,-0.2746407637758281,-0.5867700409612758
5,1,-1.4287996289264766,-0.2643085060501194,-0.3870913944006297,-1.391133658390099,-0.3303101120411515,-1.2306978028622095,1.2452622136820712,-1.1935444401496504,-1.831163672430166,-1.5291011552464873
6,1,-1.1847456309826805,-0.2643085058058978,-0.3870913935769598,-1.1297483619143378,-0.3303101027758095,-0.923908085924145,0.4359064057425356,-0.6791249342214806,-0.7281600285276306,-1.0070772089536424
7,1,-0.669520524212444,-0.264308269580621,-0.3870913282927448,-0.618144282159761,-0.3303100129254889,1.654625641113434,-1.4456328593463748,1.304179185019677,1.2622856334386132,1.419921775990652
8,1,-0.8539222962185957,-0.264308456255905,-0.3870913793602823,-0.7960862810145671,-0.3303100626875148,1.0379362339588631,-1.135947768624248,0.2608785806271954,0.4952221856485306,1.0376438539394548
9,1,-0.8322231895083081,-0.2643084421427851,-0.3870913767151633,-0.779419843407186,-0.3303100513474247,0.2988602313173718,-1.1099631874219789,0.5521763731407399,0.6659917853390241,0.6558241155742962
10,1,-0.5068178589165799,-0.2643084591524842,-0.3870911117144208,-0.4401745059089426,-0.3303096913927124,-1.1097747242122031,1.1707162840034295,-1.1026430013510975,-1.884354203481304,-1.36720958617966
11,1,-0.5013998547442234,-0.2643084719097585,-0.3870910983682889,-0.4401745059089426,-0.3303096736463307,-1.1271539866505549,0.9734890529107952,-1.3030393550660893,-1.6911885907166435,-1.426315281678587
12,1,-1.0382969782038856,-0.2643085059291565,-0.3870913914206855,-0.9851670156703064,-0.3303100462722931,-1.231063682071438,1.2133139581055103,-1.3753473177467563,-1.8479606822357864,-1.5291011552464873
13,1,-1.1684645284447497,-0.2643085054361218,-0.3870913935769598,-1.1353038411167984,-0.3303100369826285,1.764755283091201,-1.558090718975869,2.099566774507014,1.2734836399756937,1.488038417314996
14,1,-0.8484772020253775,-0.264308487933388,-0.3870913793602823,-0.7960862810145671,-0.3303100112298074,0.7099255228855478,-1.6275249277622608,2.2710399431497392,1.4414537380319168,1.157382523890769
15,1,1.1202087940420615,-0.2419427918130712,-0.3825657759594931,0.8833350818892075,-0.3140983177442534,-0.4886947665468905,-1.4601160685410826,0.942639371616338,0.9711374634744938,-0.3731037153721334
16,1,-1.4342176330988332,-0.2643085060504692,-0.3870913944608983,-1.4745491786150418,-0.3303100094567407,-1.2306978028622095,0.7298303570468931,-1.0923132923967167,-1.4616294567064725,-1.5295593389325255
17,1,1.2991925618758564,-0.0622371928116986,0.0890105635535673,1.3282178564222349,-0.0069383881246547,-1.1205681608844429,0.6271699624608783,-0.4188162685710751,-0.0982721608167944,-0.9354478260363388
18,1,1.3100285702205696,-0.1382754585599452,0.8099257425066493,1.4116333766471776,0.3230846329811206,-0.8238401222001609,0.4209972198068071,-0.2948597611185029,0.4532296611344732,0.6126021211913603
19,1,-0.251900762607209,-0.2643081685701257,-0.3870903664069475,-0.2789267220575299,-0.3303093048370991,1.089525202460076,-0.1587571247225135,-0.061408338749492,0.3972396284490654,1.2461174310868317
20,1,1.451059218827008,0.3235482717586154,1.7924274495084929,1.5061876326730534,1.0122727528774202,-0.6180330670091515,0.8273790307406579,-0.8051473834649248,-0.1766582065763629,-0.0221350118668795
21,1,1.3263096727585004,0.0339166192647358,0.2555155985498803,1.3588146581297855,0.2380211643151333,1.3679592806829353,0.6399492646915022,-0.2618046924644839,-0.1066706657196047,0.9548653346618888
22,1,0.6483819006924001,-0.2640618114290883,-0.3870750551323984,0.3689532625334003,-0.3299728142318508,0.0405495096020783,0.198637360993945,-0.2018923805290738,0.3608461072035482,0.3010372146853908
23,1,-0.3712323045033597,-0.2643078742900064,-0.3870908795935117,-0.3512035064815395,-0.3303095057054373,0.5769284303310023,-0.5348945870438866,1.00874950892438,0.9319444405947064,1.0432947860672597
24,1,-0.5230718714336492,-0.2643083558000737,-0.3870913749941618,-0.7126707607896244,-0.330309869478637,0.7809060894758696,-1.1636362567906005,0.8806611178900559,0.8983504209834655,0.2484988186863454
25,1,-0.6424034133298,-0.2643084849751794,-0.387091353712673,-0.6515049347705356,-0.3303098756382276,-1.201793345333161,0.2237699887141727,0.2753401731633243,0.5652097265052889,-0.9249096012574604
26,1,-0.4580016413236483,-0.2643083570942899,-0.3870913167211863,-0.5569784561406722,-0.3303098301969596,0.0979925454509466,-0.8194470500457873,0.2422851045093093,0.3160540810552207,-0.1374445728531571
27,1,-0.2681818651451401,-0.2643010387945384,-0.38709071552917,-0.3011486388673714,-0.3303092982872678,0.0570140740173591,0.0256908041394969,-0.2473430999283503,0.1088909601192162,-0.105677170621176
28,1,-0.3278340910827846,-0.2643036421413017,-0.3870908298652749,-0.3456480272790791,-0.3303091995040862,-0.8567692510307224,1.41352302638529,-0.7245756536207528,-0.3558263111696666,-1.201041636043143
29,1,1.1039547815249922,-0.1459749212000188,-0.3044991617389006,1.1057764691557213,-0.2468855183534055,0.9201231285872986,0.9858423784003992,-0.7927517327196675,-0.9437216543664516,0.3270009568942219
30,1,0.9629512229394154,-0.0491349834701889,-0.371379864251446,0.9195012514972244,-0.3141403166434545,0.789321311288124,0.394586661863517,-0.6336742148222,-0.6049819566197348,0.2491097302677296
