f_id,i_id,ic.eps.ratio,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,ic.eps.max,nbc.nb_fitness.cor,pca.expl_var_PC1.cov_init,disp.diff_median_25,ela_meta.lin_simple.coef.max
1,1,1.3913523999139823,1.311201069877768,0.0464140176254594,-0.6913271048037122,0.5800180704316393,0.7559982817010547,0.2796736325142522,0.6457243798508657,-0.1832480269744041,0.8458810896321975
2,1,1.5656894955812108,1.4705121422670784,5.2401668478831285,-0.3552271277648689,5.0146415935153685,4.610042660781348,-0.1078702408754173,0.6457243798508657,-1.6577357093212255,4.674828067286952
3,1,1.3182297025208478,1.278246781565753,0.0151200089203322,-0.7371430225894442,-0.010426319372681,0.1002408887684054,0.4330466229978025,0.6457243798508657,1.0354480017663366,-0.2745489256783712
4,1,-0.1046149470997005,-0.1115680871202532,-0.2643009453027157,-0.4195792565631491,-0.3303062757658233,-0.3870866608204591,0.0533680311713918,0.6457243798508657,-0.9494279740021124,-0.3628091393548935
5,1,-1.4318916303232276,-1.47391647570607,-0.2643087949689386,2.216759585183782,-0.3303102605849095,-0.3870915892131576,-2.0759781956818126,-1.7837379718374091,1.4149634164856988,-0.3628131717112102
6,1,-1.1675487250334085,-1.2267181548043655,-0.2643087947247169,1.031841039702407,-0.3303102513195671,-0.3870915883894876,-1.3437919847020676,-1.7837379718374091,0.4875991707846028,-0.3628131715652811
7,1,-0.6501557782079146,-0.7048550329007675,-0.2643085584994232,-0.5836072370326782,-0.3303101614692424,-0.3870915231052683,0.0422851344231637,0.1342658871521295,-1.255418592872307,-0.3628130945291082
8,1,-0.8301112140513348,-0.8916325853902671,-0.2643087451747206,-0.049904255803464,-0.3303102112312706,-0.3870915741728092,-0.5511861108045599,-1.6731635446709616,-1.4184771763329531,-0.3628131647813777
9,1,-0.8132561935227597,-0.8696539135019037,-0.2643087310615997,-0.1177537829059985,-0.33031019989118,-0.3870915715276901,-0.5025643702316864,-1.6368575841905924,-1.4237562021655228,-0.3628131634364876
10,1,-0.4701722506636135,-0.5400561522996312,-0.2643087480712999,1.7890277725734745,-0.3303098399364518,-0.3870913065269302,-1.7599368819581331,0.4289929807855443,1.3764546212145978,-0.362813151191051
11,1,-0.4701722506636135,-0.5345683440878052,-0.2643087608285751,1.8425379666285653,-0.3303098221900693,-0.3870912931807974,-1.7849627778412305,0.4310636629422194,1.1143021398182014,-0.36281314961916
12,1,-1.0213314219480194,-1.0783826988387075,-0.2643087948479756,2.211163747896975,-0.3303101948160482,-0.3870915862332132,-1.47750177127747,-1.7847042901771906,1.399935593940879,-0.362813171667972
13,1,-1.1731670652096,-1.2102272911278285,-0.2643087943549408,-0.6224283582099015,-0.3303101855263832,-0.3870915883894876,0.1069949509208853,-1.7818053351578456,-1.372496400097882,-0.3628131706969126
