f_id,i_id,disp.diff_median_25,ic.eps.ratio,ic.eps.s,disp.diff_mean_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_05,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cov_init,ic.eps.max,disp.ratio_mean_10
1,1,-0.1800897002619789,1.52645847246044,1.4317259605214463,-0.1222803787349802,1.1867777112635909,-0.0539364967817181,0.381514006851073,0.6997709232301093,1.8846141240271632,-0.1221684431456547
3,1,1.0336436520887975,1.4507316616009798,1.3978424957991795,1.0972923061929891,0.5592573104780056,1.0741060888187028,-0.8014464148586091,0.6997709232301093,0.5533289812443294,1.0970068127686547
4,1,-0.9431496706557212,-0.0227846542006637,-0.0311594789281776,-1.0337514034276627,0.3503567022331827,-1.0841560696481287,1.0934410970072632,0.6997709232301093,-0.4360185021824465,-1.033803994865364
5,1,1.4116136345232926,-1.3973295483565578,-1.4319205309353105,1.3193473859201574,-1.766808396373441,1.308955112243454,-1.2144071438918072,-1.648925550924001,-0.4360285075534084,1.3194239202665354
6,1,0.4880257272515531,-1.123572617819668,-1.1777522264532911,0.4749890627946991,-1.1954423126944185,0.4553464584564764,-0.6788486984268827,-1.6489255509240013,-0.4360285058812356,0.4750626788393953
7,1,-1.247894259027739,-0.5877537924606422,-0.6411746947690281,-1.3708243102290156,0.9382580221447496,-1.4226365966704222,1.385954946739112,0.2053155316316673,-0.4360283733445505,-1.370175546328208
8,1,-1.4102888483805545,-0.7741179685519616,-0.8332186118085558,-1.365786657309147,0.2757025663713963,-1.268230424796268,0.2997821958965859,-1.5420270978415849,-0.4360284770192619,-1.3660567110041737
9,1,-1.4155463773868082,-0.7566626913657625,-0.8106202310903743,-1.3492835339729443,0.1845131942770654,-1.2555194962386649,0.6030502312803409,-1.506928105131628,-0.4360284716492761,-1.3495813697080346
10,1,1.3732616516849814,-0.4013605242406792,-0.4717291584476819,1.2692337143509629,-1.655973199052324,1.2381182790154597,-1.1197703101550325,0.4902446169387317,-0.4360279336582778,1.2693114238241112
11,1,1.1121766866333624,-0.4013605242406792,-0.4660866164456391,1.0566279599231931,-1.6617032314101363,1.02284378349337,-1.3284015118020127,0.4922464606294137,-0.4360279065636411,1.056504932082312
12,1,1.3966470070741956,-0.9721480882293908,-1.0252343161380733,1.2878749270652057,-1.7650222321603006,1.2357254051790345,-1.4036808113653565,-1.6498597446463192,-0.4360285015036777,1.287846182782269
13,1,-1.364495311380889,-1.1293910435484011,-1.1607963877371523,-1.5377226457221824,0.9669081839338126,-1.572064986812716,2.214027241935889,-1.6470571634793645,-0.4360285058812356,-1.5376748495056258
14,1,-1.7185245362356762,-0.7741179685519616,-0.8275478570965028,-1.7432800218580855,0.3799891552835844,-1.691149837945407,2.3925467237575324,-1.4901126181298996,-0.4360284770192619,-1.7436166157073676
15,1,-1.2194184128850514,0.9847921292440376,1.2227262047657803,-1.4060743313057522,-0.6586201383724948,-1.4715146589035557,1.009558448922391,0.6997709232301093,-0.4268408277000792,-1.405872119136512
16,1,0.8953652104811097,-1.4846932106734845,-1.4375630729373532,0.8194301128392598,-1.7687729788961193,0.7810923223745478,-1.1090161245031265,-1.652395413321183,-0.4360285076757625,0.8189854283963038
17,1,0.7845060980672756,1.4507316616009798,1.409127579803265,0.6324462026058739,0.995885776143322,0.5507010783420916,-0.4078432199988422,0.6997709232301093,0.5305294168764204,0.6322648937067241
18,1,-0.2206758197312241,1.5380953239179065,1.4204126638073509,0.0718467553266863,-0.3883263262939659,0.2235527184874318,-0.2787929921759677,0.6997709232301093,1.99409466254988,0.0721032896379879
19,1,-0.3430605715868854,-0.2324807174642026,-0.2062475572515667,-0.2834419142112765,0.4860766115082284,-0.2474938821472511,-0.0357483964428875,0.6984363607696548,-0.4360264205730397,-0.2834894933370195
20,1,0.6602045822609628,1.6371249298209425,1.5672880321205258,0.8152921375790987,0.4476035371057726,0.8718769631929412,-0.810049763380134,0.6997709232301093,3.988719542374098,0.8148665930722679
21,1,0.3282494625110663,1.4827766413019767,1.4373685025234892,0.5703901230658016,1.1776096594910908,0.6911405483738823,-0.2443795980898681,0.6997709232301093,0.8685594508731195,0.5704823638462024
