f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cov_init,ic.eps.ratio,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.max,ic.eps.max
1,1,0.0559849177694014,0.5899767033961963,1.4106223379395004,1.1922248980310084,-0.7091399635591878,1.4969369349792463,1.1078655157211157,0.6200812355198588,0.848106398212836,0.7710553020741628
2,1,5.243753969177551,5.016558203666429,1.5727829619756162,0.4653797715165932,-0.7091399635591878,1.6750219215066549,0.7045839263163559,1.2252867516142665,4.673362620780675,4.616384489550246
4,1,-0.2543720670870087,-0.3186968038694623,-0.0375954845752539,0.3543522104492968,-0.7091399635591878,-0.0311906492205748,-0.1019792524932753,0.6254221818293153,-0.3594187638153306,-0.3694447702917196
5,1,-0.2543799077095462,-0.3187007814622292,-1.4243118096515783,-1.7664874050932158,1.4275086135387989,-1.3870010655027214,-0.4380472436637498,-1.5710801375511434,-0.3594227922848242,-0.3694496875397912
6,1,-0.2543799074656059,-0.3187007722136891,-1.1726919229927142,-1.194129667833444,1.4275086135387989,-1.1169753285992543,-0.4380472436638804,-1.0494985808162254,-0.3594227921390358,-0.3694496867179838
7,1,-0.25437967151247,-0.3187006825263047,-0.6414943844906675,0.9432738822257551,0.3590374359084704,-0.5884594920117889,-0.3036200471954966,1.3754436421429843,-0.3594227151771187,-0.3694496215813924
8,1,-0.2543798579726967,-0.3187007321980912,-0.8316127737111014,0.2795685060967305,1.4275086135387989,-0.7722836015339577,0.0324479439751084,0.9934896817838564,-0.3594227853616714,-0.3694496725334537
9,1,-0.2543798438758357,-0.3187007208785654,-0.809240975596577,0.1882208672274777,1.6945529634057128,-0.7550662325496771,0.7717975245504919,0.6119935168226818,-0.3594227840180777,-0.369449669894316
10,1,-0.2543798608659389,-0.3187003615766016,-0.4737477933847581,-1.655459844025919,-0.7091399635591878,-0.4046066868746463,-0.3708336454296325,-1.4093257636076053,-0.3594227717844446,-0.3694494054928051
11,1,-0.2543798736085162,-0.3187003438624015,-0.4681618263149643,-1.6611998213336818,-0.7091399635591878,-0.4046066868746463,0.906224721018596,-1.4683813699435952,-0.3594227702140687,-0.3694493921768521
12,1,-0.2543799075887227,-0.3187007158126372,-1.0217032330961862,-1.7646981408428342,1.4275086135387989,-0.9676146526606209,-0.7069016366002563,-1.5710801375511434,-0.3594227922416276,-0.3694496845665854
13,1,-0.2543799070962559,-0.3187007065398187,-1.1559060919479838,0.9719737687645692,1.4275086135387989,-1.1227144515940146,0.4357295333798681,1.4435025579720582,-0.3594227912715043,-0.3694496867179838
14,1,-0.2543798896136859,-0.3187006808336982,-0.8259988768059586,0.3840360930980124,1.6945529634057128,-0.7722836015339577,-0.3708336454296325,1.113126879115681,-0.3594227844743415,-0.3694496725334537
15,1,-0.2320399596593975,-0.3025183859280936,1.2037181176743366,-0.656375793771899,-0.7091399635591878,0.9626532797820468,-1.311824020707368,-0.4160623485146915,-0.3100814205529108,-0.3649343026317062
16,1,-0.2543799077098956,-0.3187006790638468,-1.4298977767213723,-1.76845539731302,1.4275086135387989,-1.4731739972690456,-2.1856007977510044,-1.5715379329490966,-0.3594227922848242,-0.3694496875999234
17,1,-0.05254138861169,0.0040845342861504,1.3882505398249765,1.0010016540066835,-0.7091399635591878,1.4222422492024422,-0.7069016366002563,-0.9779299002695094,-0.2130848148449767,0.1055756871394265
18,1,-0.1284920552720641,0.3335090856404609,1.3994224739645642,-0.3856128641971474,-0.7091399635591878,1.5084151809687665,-1.1773968242391333,0.5688081509490769,0.0922738520701516,0.8248607000926151
19,1,-0.2543795706183427,-0.3186999757219753,-0.2109280427509572,0.4903076729674488,-0.7091399635591878,-0.2380286419517319,0.8390111227846092,1.2017865878526577,-0.3594207954839495,-0.3694486618706548
20,1,0.3327996358536547,1.0214474192598972,1.5448251967912985,0.451767825329613,-0.7091399635591878,1.606095054339585,-0.7069016366002563,-0.0653910736823798,1.441024642762398,1.80514072980932
21,1,0.0435016504723507,0.2485998726163397,1.4162083050092942,1.183040934338588,-0.7091399635591878,1.4538504690960845,-0.975756029536744,0.910781313220274,1.213185297750691,0.2717042134218347
22,1,-0.2541334972904702,-0.3183640953149131,0.7172641754013385,-0.3050891825368188,-0.7091399635591878,0.431267881697201,-1.3790376189415037,0.2575072803407585,-0.3579029956048927,-0.369433385218652
23,1,-0.2543792766772458,-0.3187001762260552,-0.3339589674631669,0.2290567057884183,-0.7091399635591878,-0.3126946321135619,1.4439335068917394,0.999135825025282,-0.3594221679114741,-0.3694491738967783
24,1,-0.2543797576325945,-0.318700539339582,-0.4905056945941397,1.0270775509190917,-0.7091399635591878,-0.6861106697676335,1.8472150962964804,0.2050134080421012,-0.359422713377261,-0.3694496681772061
25,1,-0.2543798866588854,-0.3187005454880027,-0.6135366193063494,0.8817741253568685,1.1604642636718838,-0.6229229255953238,0.5701567298479722,-0.9674006061165809,-0.3594227866962659,-0.3694496469438399
26,1,-0.2543797589253198,-0.3187005001291386,-0.4234182300859155,0.1180291447211215,-0.7091399635591878,-0.5252717478394793,-0.5052608418978858,-0.1806029155006542,-0.3594226940485888,-0.3694496100360001
27,1,-0.2543724490565388,-0.3186999691840216,-0.2277138737956877,0.6037952243095013,-0.7091399635591878,-0.2609851339307726,1.9144286945306164,-0.1488624345758846,-0.3594220243620201,-0.3694490102034263
28,1,-0.2543750494041438,-0.3186998705799752,-0.2892153712341181,-1.2876092982741516,-0.7091399635591878,-0.3069555091188017,0.0324479439751084,-1.243298632616502,-0.3594222422015023,-0.3694491242809892
29,1,-0.1361826478268229,-0.2354274714506434,1.1869602164649549,0.8638981960269789,-0.7091399635591878,1.1924477644922449,-0.3708336454296325,0.2834490195581185,-0.2356008875764342,-0.2870442161690866
30,1,-0.0394542735332614,-0.3025603086657267,1.0415854234735695,0.8163383840483734,-0.7091399635591878,1.0000149704779355,1.4439335068917394,0.205623801906039,-0.3222579338496059,-0.3537736850130009
