f_id,i_id,ic.eps.max,pca.expl_var_PC1.cor_x,ic.eps.ratio,ela_meta.lin_simple.coef.min,disp.diff_median_02,ela_level.lda_mda_10,ela_meta.quad_simple.adj_r2,pca.expl_var.cov_init,ic.eps.s,ela_distr.skewness
1,1,0.7559982951041795,1.1250189536923083,1.3941021767571409,0.0464141826718865,0.1050981482408988,3.069337312663881,0.6112944240495469,-0.7091399635591878,1.314801868764038,-0.2256461678553977
2,1,4.610042645916421,0.727146396898683,1.5668337144916298,5.240166783549567,-1.5754400898927328,0.848025663393277,1.2290069051610892,-0.7091399635591878,1.4723652560171547,-0.507172656314891
3,1,0.1002409069812787,-0.8643438302757628,1.3216529030344737,0.0151201753488465,1.2139079742363688,-0.7830210337614253,-0.664158805356005,-0.7091399635591878,1.2822090978217382,0.0677213488740654
4,1,-0.3870866390332106,-0.0685987166886779,-0.0880880551111717,-0.2643007665336883,-1.0392330482317869,1.6190836885910358,0.616745744482957,-0.7091399635591878,-0.0923591294875314,-0.0914593547785063
5,1,-0.387091567425873,-0.4001591806832092,-1.4031411802931149,-0.2643086161995645,1.3555101605757585,-0.7830210337614253,-1.6251487217599927,1.4275086135387989,-1.4397621913403127,-1.415997467496328
6,1,-0.387091566602203,-0.400159180683338,-1.141232741672177,-0.2643086159553428,0.5322238428892636,-0.7830210337614253,-1.0927883434344126,1.4275086135387989,-1.1952757022319198,-0.9687656271538712
7,1,-0.3870915013179842,-0.2675349950853341,-0.6286047265265403,-0.2643083797300596,-1.382284099131891,1.3112468344246315,1.382266885346101,0.3590374359084704,-0.679137558558646,-0.634075338298594
8,1,-0.3870915523855247,0.0640254689093259,-0.8069028623188602,-0.2643085664053486,-1.0674042274333326,0.0789221579045111,0.992419598351096,1.4275086135387989,-0.863866111268251,-0.7864552181343025
9,1,-0.3870915497404056,0.7934584896976298,-0.7902030681453679,-0.2643085522922284,-1.0415129054234735,0.1356032294653077,0.6030395673932403,1.6945529634057128,-0.8421285512975746,-0.616503666609338
10,1,-0.3870912847396476,-0.3338470878842808,-0.4502787577439313,-0.2643085693019279,1.279946983676462,-0.7830210337614253,-1.460051588633862,-0.7091399635591878,-0.5161465658197174,-0.997625975940154
11,1,-0.3870912713935149,0.9260826752953576,-0.4502787577439313,-0.2643085820592025,1.0791368206810588,-0.7830210337614253,-1.5203276174261382,-0.7091399635591878,-0.5107189603339056,-0.9943463908508036
12,1,-0.3870915644459287,-0.6654075518789594,-0.9963620272171309,-0.2643086160786015,1.3230593393349863,-0.7830210337614253,-1.6251487217599927,1.4275086135387989,-1.0485675259504266,-0.6253412853764294
13,1,-0.387091566602203,0.4618980257029512,-1.1467993397300076,-0.2643086155855668,-1.4959336993188257,1.5682661761572176,1.4517322828689827,1.4275086135387989,-1.1789657477470552,-0.5911300346022592
14,1,-0.3870915523855247,-0.3338470878842808,-0.8069028623188602,-0.2643085980828325,-1.5686910295020615,0.946728908697426,1.1145291760594798,1.6945529634057128,-0.85841136775501,-0.629069655793796
15,1,-0.3825659487211269,-1.2622163870693697,0.8758797305633846,-0.2419429013539049,-1.396868354125902,-0.0109857487091679,-0.4462617400319892,-0.7091399635591878,1.1137633615695683,3.5587533716167083
16,1,-0.3870915674861416,-2.1242735934555483,-1.486723650131444,-0.2643086161999142,0.8311344676968392,-0.7830210337614253,-1.6256159777971422,1.4275086135387989,-1.4451897968261247,-0.9784317726803774
17,1,0.0890104182604421,-0.6654075518789594,1.3216529030344737,-0.0622372974624199,0.7269321858502872,-0.7830210337614253,-1.019740649626719,-0.7091399635591878,1.2930643087933615,0.4894759913645166
18,1,0.80992563920559,-1.129592201471513,1.4052353728728026,-0.1382755652798044,0.5166644579653253,-0.7830210337614253,0.558961747888811,-0.7091399635591878,1.3039195197649855,-0.326415734969225
19,1,-0.3870905394321309,0.8597705824965581,-0.2887082491153929,-0.2643082787195615,-0.0730534790097111,0.4063042091608438,1.2050210952540852,-0.7091399635591878,-0.2607777277122718,0.0387229122945468
20,1,1.7924274034364638,-0.6654075518789594,1.499978871817082,0.3235481776058101,0.9299726810496924,-0.7830210337614253,-0.0883436155755283,-0.7091399635591878,1.4452000905606668,0.1341415774204867
21,1,0.2555154629553862,-0.9306559230746912,1.3523109418379762,0.0339165172305326,0.7398496688449825,-0.9765184849517378,0.9080020076394332,-0.7091399635591878,1.3202294742498497,0.0986184926105764
22,1,-0.38707522815669,-1.3285284798683163,0.3604684163888326,-0.2640619215718204,0.290722925357292,-1.0898806280733353,0.2412276426272009,-0.7091399635591878,0.6411003378376471,1.971503232267772
23,1,-0.387091052618725,1.4565794176869868,-0.3611296898477714,-0.2643079844394342,-0.455615223532934,0.728799961144701,0.9981824228092726,-0.7091399635591878,-0.3803207385372769,-0.2008248870212622
24,1,-0.387091548019404,1.8544519744805936,-0.723320392480531,-0.2643084659495147,-1.0948666869835302,-0.1849380028095521,0.1876489503674003,-0.7091399635591878,-0.5324293822771529,0.8587227504770538
25,1,-0.3870915267379139,0.5945222113006791,-0.6620321478638141,-0.2643085951246239,0.3160165319985443,-0.7830210337614253,-1.008993760772282,1.1604642636718838,-0.6519723931021579,0.3409625697394105
26,1,-0.3870914897464251,-0.4664712734821559,-0.5673164819098235,-0.2643084672437309,-0.7454337437048991,0.6945958662373198,-0.2059363849248004,-0.7091399635591878,-0.467243840392553,0.7914049512745998
27,1,-0.3870908885543738,1.9207640672795403,-0.310974641346716,-0.2643011489437802,0.1148084613434686,0.5499614077718369,-0.1735399663491069,-0.7091399635591878,-0.2770876821971363,0.560556682932646
29,1,-0.3044993299532887,-0.3338470878842808,1.098766316798929,-0.1459750281293942,1.0916188253357688,-0.8172251286688043,0.2677054847323352,-0.7091399635591878,1.0974805451121328,0.6310505013795236
30,1,-0.3713800363615198,1.4565794176869868,0.9121182839198628,-0.0491350877643756,0.4897331112140901,-0.2640960510237685,0.1882719584169328,-0.7091399635591878,0.9562271123438808,1.047626851623632
