f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.ratio,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ic.eps.s,ela_meta.quad_simple.adj_r2,disp.diff_median_25,ela_level.mmce_qda_50,ela_meta.lin_simple.coef.max,pca.expl_var_PC1.cov_init,ela_distr.number_of_peaks,disp.ratio_median_10,disp.diff_median_02,pca.expl_var_PC1.cor_x,nbc.nn_nb.mean_ratio,ela_level.lda_mda_50,ela_meta.lin_simple.intercept,ela_level.mmce_qda_25,disp.diff_median_05,ela_level.lda_mda_10,ela_level.lda_qda_10,nbc.dist_ratio.coeff_var,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_level.qda_mda_25,disp.ratio_median_25,disp.ratio_median_02,ela_distr.skewness,disp.ratio_median_05,ela_level.mmce_lda_25
1,1,0.0464140170084082,1.4042645199271566,1.174047532256689,0.7559982813341949,1.3232475621342037,0.6101489473808984,-0.0740542376384784,-0.664093306803384,0.845881089445346,0.6463304788836871,-0.3439272437304981,-0.0332495734819122,0.0983633972840638,1.1121513268365713,0.418679295312189,0.0246167551385817,0.5800180676213872,-1.0149595325362033,0.0487782028663374,3.07559215023773,2.907738422246095,-0.3753480840326365,0.2654601702431732,0.2359633663050901,0.8883450370671792,-0.0741169064653284,0.0987795513576877,-0.2353849365178887,0.0490758559146441,-0.6398331381166696
2,1,5.240166848123658,1.5828834872587287,0.4065605792136452,4.610042661188221,1.4865466098468747,1.2385634062293611,-1.5324587226427602,-0.2943920150332735,4.674828067474608,0.6463304788836871,-0.7595059965715167,-1.5768429138628846,-1.5680867272944892,0.713152706486953,1.335699451202926,-0.3432642379460527,5.014641595797137,-0.3509955459507844,-1.5642287467703646,0.8295576979458652,0.0955164583736963,-1.4552289397758291,1.748397924305482,-0.1843530651980169,-0.5564372330956804,-1.5319550789334244,-1.5679790240043785,-0.2855383324266823,-1.5641718932187971,-0.4764936780899287
3,1,0.0151200082981139,1.329345865082799,0.5102890730928835,0.1002408882698969,1.289468341275968,-0.6874017342908261,1.1313486798979624,-0.7144896327366664,-0.2745489259748117,0.6463304788836871,0.7181073468632162,1.1640855592894572,1.1978779639482378,-0.8828417749114651,-0.3895916754248439,2.34648333445836,-0.0104263228609063,-0.8111037586030712,1.160972167757565,-0.8196422584444218,1.2774413367614217,0.6130174449526585,-0.8816787393690207,0.4023063082929436,0.1438291370318699,1.1310994888241803,1.198204109319566,-0.1831220844721588,1.1607482506488318,1.03691699783685
4,1,-0.2643009459710714,-0.1284450945279232,0.2893248691030541,-0.3870866614168027,-0.1351372504729971,0.6156947129027585,-0.8318769610450776,-0.365177694206739,-0.3628091396599667,0.6463304788836871,-0.3901026607128335,-0.9209173855534986,-1.0363747607949043,-0.0848445342123945,0.9124593792533549,-0.2942958286313972,-0.3303062796213483,-0.7005795438200484,-0.966967129872998,1.6091974616318665,0.3264154137579023,-0.9662756225264902,0.9558292231188752,-0.0094797159287351,-0.1933101384558167,-0.8319822380010875,-1.0363182819407175,-0.2114798169719071,-0.967032666129913,-1.051206592998832
6,1,-0.2643087953930739,-1.2174854564183577,-1.345740972646138,-0.3870915889858322,-1.2782024585492382,-1.1234573547524924,0.58947559287669,1.2313471349774003,-0.3628131718703547,-1.8069335369896615,-0.7595059965715167,0.5610135342942575,0.521908456186121,-0.4173433845037154,-0.8657367563681126,-0.4648426386535309,-0.3303102551750966,1.9143415081575383,0.5509059030687204,-0.8196422584444218,-1.2014528118194925,0.8640309126314635,-0.7627934341910338,-1.5247902457388307,0.6730675621984792,0.5900678493667055,0.5217012734196458,-0.3677702216598494,0.5506512103138963,1.0500244853698597
7,1,-0.2643085591677802,-0.6873848859522119,0.9111763240618922,-0.3870915237016128,-0.7432757295710627,1.394478642615364,-1.134529940973167,-0.5456042351434527,-0.3628130948341819,0.1298611806956788,-0.7595059965715167,-1.233295142320674,-1.37654998176707,-0.2843438443870468,1.2240110988828994,-0.381142129123564,-0.3303101653247719,-0.7693501663517068,-1.3006921187988565,1.297934438107038,0.2127598878494863,-1.3323369295580807,1.239485389859345,-0.0214998352798382,-0.2888329331773285,-1.1351283706153934,-1.3767186923808297,-0.308145798197464,-1.3012362661009975,-1.5220678759154245
8,1,-0.2643087458430775,-0.8717601848123558,0.2103596049812968,-0.3870915747691537,-0.934728815651006,0.9978771825806432,-1.2958099382797277,0.0414552562625707,-0.3628131650864513,-1.69527580207776,-0.7595059965715167,-1.2312623152701283,-1.064309778293868,0.0481550059042741,0.418679295312189,-0.4828667368706263,-0.3303102150868,0.253203494863071,-1.148455301951214,0.051894207425101,-0.7344466539371509,-0.4354867273306834,0.1862033001245126,-0.6651578392421618,-0.1315012712830746,-1.2961747535667412,-1.064255184312697,-0.3352919771724995,-1.1484420515746376,-0.522874018591349
9,1,-0.2643087317299567,-0.8544911902266414,0.1139042275343261,-0.3870915721240346,-0.912199959774697,0.6017510738763677,-1.301031382339822,-0.0331774706920614,-0.3628131637415612,-1.6586141487920794,-0.7595059965715167,-1.2238086160847954,-1.038635505724652,0.779652476545232,0.5979684924574938,-0.3551251538698582,-0.3303102037467095,0.2204555793718068,-1.1359229576847911,0.1092061292169725,-0.6288928457615143,-0.6054437627382079,0.4802880024069114,-0.6124244124115138,-0.259333246572156,-1.3014377072579613,-1.03803747593284,-0.3050154390904651,-1.136024147213837,-0.0520127356747561
10,1,-0.2643087487396569,-0.5029808054344252,-1.832866604169171,-0.3870913071232746,-0.5743514993674285,-1.497083500482365,1.4686357180832796,2.064232979599969,-0.3628131514961246,0.4274757425395109,-0.7595059965715167,1.3544936930238969,1.263363362025646,-0.3508436144453257,-2.07961279605682,-0.4957227499355359,-0.3303098437919808,2.018316139842308,1.322680041586045,-0.8196422584444218,-1.1928881387876973,1.9439117683746563,-1.1903633914101202,-1.9761263400834952,0.8205659952243425,1.4689811158005406,1.2631036825221629,-0.3729116366175137,1.3227209162244773,1.03691699783685
11,1,-0.2643087614969321,-0.5029808054344252,-1.8389275345293936,-0.3870912937771418,-0.5687263168764648,-1.5584038221097871,1.209342704516024,2.1230928106518188,-0.3628131499242336,0.4295667113580859,-0.7595059965715167,1.1457901158345472,1.0642366099250973,0.9126520166616238,-1.87681026158098,-0.4946955528866542,-0.3303098260455983,2.019953535616871,1.110430080661713,-0.8196422584444218,-1.1928881387876973,1.7739547329671317,-1.3926769809235433,-2.003268545069859,0.8240778626773388,1.2089912034542454,1.0641069779340666,-0.372327384917779,1.110536724320381,1.03691699783685
