f_id,i_id,ic.eps.max,ic.eps.s,ic.eps.ratio,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.min,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,disp.ratio_mean_25,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max,nbc.nn_nb.mean_ratio,ela_meta.quad_simple.adj_r2,disp.ratio_median_25,ela_level.lda_qda_50,disp.diff_median_25,ela_level.mmce_mda_50,disp.ratio_median_10,disp.diff_median_05,ela_level.lda_mda_10,disp.diff_mean_05,disp.ratio_mean_10,ela_level.qda_mda_25,nbc.nn_nb.sd_ratio,nbc.dist_ratio.coeff_var,ela_level.mmce_qda_25,ic.m0,disp.diff_mean_10
1,1,0.7559982813542857,1.3156112013308403,1.396265168581061,1.219687271588772,0.0464140170293208,0.6463192316062943,-0.6548570506842823,-0.1446438015808369,-0.7051229294195384,0.5800180697137448,-0.7554040713999332,-1.6201851746019624,0.8458810894695878,0.5119933219965987,0.7145491121226756,-0.1678893218743274,0.0614645944807126,-0.1678428911842382,-0.8054163300432988,-0.13026033917882,-0.0495452967928192,3.2693984306697463,-0.0400180158709051,-0.1148155173353765,0.8470827557703691,0.4007319874002767,-0.4772008299508881,-1.054657639315156,-0.9231895995137878,-0.1149201829301565
2,1,4.610042661165938,1.4768322956639346,1.572718068655112,0.4847795563681097,5.240166848115505,0.6463192316062943,-0.6548570506842823,-1.635019701615702,-0.3673537872893347,5.014641594098259,-0.5867386882224757,-1.6201851746019624,4.674828067450262,1.3960611802838483,1.339867934742838,-1.614633499750809,-0.3360634107499698,-1.6151905460311675,-0.3518349806289918,-1.680478052533393,-1.6748126265051817,0.9438209845501404,-1.6874586862512542,-1.694343299808348,-0.5822248836421329,1.964155421308753,-1.531514488006931,-0.4245102161245156,-0.6584199285793273,-1.6945189692848326
3,1,0.1002408882971972,1.2822618154724104,1.3222550334065923,0.5841048545218049,0.0151200083192016,0.6463192316062943,-0.6548570506842823,1.0547242518642377,-0.7511663816766212,-0.0104263202637676,0.9760189670205114,0.6172133998483701,-0.2745489259363519,-0.267233155660437,-0.5766096973671144,1.0281555038791537,2.496960047779832,1.0284213165721523,-0.9507516357423696,1.0722131900123704,1.0711023953005714,-0.763785156045382,1.0904344987988843,1.0922590703031754,0.1105411428499744,-0.8086672934009359,0.4877642130156594,-0.8611845093836267,-0.2837873236471654,1.09253704810581
4,1,-0.3870866613841445,-0.1242159056894134,-0.117857662170378,0.3725204130458202,-0.2643009459484199,0.6463192316062943,-0.6548570506842823,-0.9012642027142967,-0.432025506490123,-0.3303062767507387,-1.180190962365382,0.6172133998483701,-0.3628091396203869,0.988029861074348,0.7200675586157936,-0.9199873782433268,-0.2222018614756379,-0.9199202145812752,-0.3934076378405862,-1.021737601906867,-1.073011255808605,1.7510715806734876,-1.057703927810388,-1.0174028216056454,-0.2229871346988831,1.128570463664279,-1.0541376016716284,-0.7562894389388224,-0.7572965691772598,-1.017336490909326
5,1,-0.3870915897768439,-1.5028978439667338,-1.4612425514225138,-1.771844788496058,-0.2643087956146441,-1.8066466918303,1.5470030867191007,1.3914619029181354,2.217406120333472,-0.330310261569826,0.9760189670205114,0.6172133998483701,-0.362813171976704,-1.8426874159415687,-1.549432979153902,1.401070790162113,-0.6537957611233565,1.4009512142774132,2.117175270840094,1.311755172058379,1.3044118638001585,-0.763785156045382,1.3067878003612554,1.3124686234534515,0.7800296749714846,-1.2308575877897223,1.7616201824344615,1.8225752929597352,2.021137031624609,1.31238619282544
6,1,-0.3870915889531739,-1.2527357980062024,-1.1936915057092017,-1.193138126465347,-0.2643087953704225,-1.8066466918303008,1.5470030867191007,0.5101238532461976,1.0266029428754802,-0.3303102523044837,0.9895538434483316,0.6172133998483701,-0.3628131718307749,-0.7262683897711256,-1.0105172616259863,0.4912410580823935,-0.5150944971699359,0.490656416786753,1.2313058842418083,0.4665530649528579,0.4563990493653577,-0.763785156045382,0.4633800921028926,0.476487912419995,0.634111053543859,-0.6833295497542691,0.7328347001182746,1.7254502277330646,0.967551494586652,0.4764158767934333
7,1,-0.3870915236689546,-0.7246159232006363,-0.6700193314320712,0.9679747463845833,-0.2643085591451288,0.1299126888292852,0.4459216458094205,-1.231765971341276,-0.5968680951051756,-0.330310162454159,-1.6664053694263246,-1.6201851746019624,-0.362813094794602,1.288386248825785,1.4950151161493532,-1.2208266007909288,-0.4107368387293422,-1.2202786441085054,-0.5796396225852086,-1.3354559363478042,-1.4092728706342448,1.428785221004472,-1.4318684555474597,-1.350435787789705,-0.3174868133377266,1.4276219221896698,-1.4115320620296086,-0.8215574827711449,-0.9122033061140188,-1.3510608549702057
8,1,-0.3870915747364955,-0.9136328004182338,-0.8521587574511447,0.2969071643678819,-0.2643087458204261,-1.6950025242825582,1.5470030867191007,-1.4063706792951505,-0.0605145978203777,-0.3303102122161871,-0.6346313278901488,-1.6201851746019624,-0.3628131650468715,0.5119933219965987,1.1003673569415198,-1.38064743776934,-0.5367251058532169,-1.3803359041317314,0.1024223469513574,-1.3334143853644578,-1.255878909834755,0.1386166510278662,-1.266862751558067,-1.3463578331017374,-0.1618402838149264,0.3171734916358294,-0.5359156341525562,0.148916168973746,0.6313709165536862,-1.3460732469983987
9,1,-0.3870915720913764,-0.8913906205076572,-0.8350991796160769,0.2045462443818918,-0.2643087317073053,-1.658345325699467,1.8221977608425264,-1.399095483130404,-0.1287010843690349,-0.3303102008760965,-0.1484169208292059,0.6172133998483701,-0.3628131637019813,0.6848399224950678,0.706192607433097,-1.3858703409385686,-0.3073048839413853,-1.3855177620408354,-0.0503487185741767,-1.3259286984255207,-1.243251307885791,0.1979582664589848,-1.251463855762539,-1.3300460143498654,-0.2883030890522017,0.6272194890775948,-0.7018487764616188,0.1178361481012131,0.3193601840002145,-1.329734068650736
10,1,-0.3870913070906164,-0.5578412258936154,-0.4878514727832727,-1.659585645173768,-0.2643087487170055,0.4274910879733917,-0.6548570506842823,1.3602824907835185,1.7875500736891023,-0.3303098409213682,0.9760189670205114,0.6172133998483701,-0.3628131514565448,-1.896524881670601,-1.382302885362331,1.3634658873436667,-0.648179825630693,1.363151227750636,1.7436973341017852,1.2634384654525088,1.2340394020815229,-0.763785156045382,1.228421611605716,1.2628535080831729,0.7800296749714846,-1.1341056453256255,1.7871483581743173,1.8241292940033615,2.0167425142647013,1.262770359462003
11,1,-0.3870912937444836,-0.5522876229196887,-0.4878514727832727,-1.6653892936468555,-0.2643087614742807,0.4295818027214768,-0.6548570506842823,1.101493370066168,1.8413260141114964,-0.3303098231749857,0.9760189670205114,0.6172133998483701,-0.3628131498846538,-1.701009874549378,-1.4433211365862346,1.105454470783746,-0.651697499510713,1.1058240328855853,1.7866219476454646,1.0538392311622509,1.020176140487555,-0.763785156045382,1.018394971467938,1.0521591825381558,0.7835039278626181,-1.347399700303294,1.6212152158652549,1.8256832950469883,1.991474039445228,1.0522766687486618
12,1,-0.3870915867968996,-1.1026219096209615,-1.0456996679899886,-1.7700356766863938,-0.2643087954936812,-1.80762235871274,1.5470030867191007,1.3727542556373675,2.2117824925768814,-0.3303101958009647,0.9760189670205114,0.6172133998483701,-0.3628131719334657,-1.85968872090863,-1.549432979153902,1.3854020806544292,-0.6524072056444014,1.3862000000230612,2.1094015219306086,1.2838539752859748,1.2316622147514598,-0.763785156045382,1.2384714852846044,1.2812043041790302,0.7800296749714846,-1.4243614727179166,1.7590673648604762,1.8225752929597352,2.021137031624609,1.2812263870241662
