f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_simple.coef.max,disp.diff_median_25,ela_level.mmce_qda_50,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x,disp.ratio_mean_25,disp.ratio_median_05,ela_level.mmce_qda_25,nbc.nn_nb.mean_ratio,nbc.dist_ratio.coeff_var,ela_level.mmce_mda_50,disp.ratio_mean_05,ic.m0,disp.ratio_median_02,disp.diff_mean_10,ela_meta.quad_simple.cond,disp.diff_mean_05,disp.ratio_mean_10,ela_level.qda_mda_10,disp.ratio_mean_02,disp.diff_median_02
1,1,1.3961337530056592,0.6463304788836871,0.7559982813542857,0.0464140170167263,0.580018067879671,1.315978671350712,0.8458810894488334,-0.1023931927807675,-0.6562790443420061,0.2505786179899712,0.6131654994300664,1.1560865481081453,-0.6548570506842823,1.1121513268365737,-0.0783308877891232,0.019516327840688,-1.011503005937377,0.4345535537740587,-0.3925682083313609,-0.7596588883640388,0.0290882127219004,-0.8610062732265416,0.0688664772384383,-0.0447371750397047,0.1652866366640228,0.0293146742379393,-0.0446345017209794,-1.7524679814717536,0.0607563987567819,0.0684687812361022
2,1,1.5725452707664551,0.6463304788836871,4.610042661165938,5.240166848120415,5.014641595587425,1.4773153682663542,4.674828067471104,-1.5153921789748594,-0.3140866611960657,-0.1493599195370772,1.225931417558208,0.413521843099974,-0.6548570506842823,0.7131527064869543,-1.532557807252781,-1.5507054363665345,-0.3520928776938648,1.3034685934530923,-1.4223074617664753,-0.295692462580519,-1.5606134801714924,-0.5952945743887132,-1.556498006117092,-1.574129275453482,-0.3780560085774863,-1.560727042428964,-1.573961841826281,-0.2286366664121954,-1.5421948186470642,-1.5566021305480808
3,1,1.3221409749309974,0.6463304788836871,0.1002408882971972,0.0151200083065016,-0.0104263225403114,1.2826053725226574,-0.2745489259692782,1.0654810958322374,-0.7029254566126806,0.4088568768452333,-0.6520740627361846,0.5138820096838853,-0.6548570506842823,-0.8828417749114668,1.091946563438955,1.1015399598696938,-0.8090453956628574,-0.3313170741481711,0.5499050066770488,-0.9083217520651674,1.1206588021117665,-0.2193290586057279,1.1409867321181304,1.124341686432183,0.4058441652019138,1.120380768060295,1.1240769251409024,-1.4298447659471636,1.1719555017209893,1.1406815723754835
4,1,-0.1176339806900679,0.6463304788836871,-0.3870866613841446,-0.2643009459620616,-0.3303062792669957,-0.1248808547377969,-0.3628091396542721,-0.8366221058831752,-0.3796052860647995,0.017035173105634,0.6185731663827858,0.3000930738557206,-0.6548570506842823,-0.0848445342123946,-0.8165995052016356,-0.9694921595214248,-0.6992792214176367,0.9024308828319996,-0.9560574850295108,-0.3382169561508416,-0.9529567217750116,-0.6945230096393558,-1.0380411041287494,-0.91847067283059,-0.4185709830111347,-0.9529137504581614,-0.9185358389240084,-0.313072096823582,-1.0309924915984623,-1.0380929729910462
5,1,-1.4607038149089049,-1.8069335369896613,-0.387091589776844,-0.2643087956282858,-0.3303102640860861,-1.5045513683205802,-0.3628131720105892,1.4291700588963276,2.3045218566553856,-2.1804131013511023,-1.605368494115568,-1.866614228753862,1.5470030867191007,-0.417343384503587,1.420516662397266,1.326983446096231,1.999342499470417,-1.8797682346018412,1.7940693831034944,2.2298475823886403,1.329178798927197,2.0937960209036643,1.2776212915750418,1.3372030459884765,-0.4610444525815048,1.329196042083706,1.3372877935548944,1.5154113793149004,1.270475056892473,1.277610080661463
7,1,-0.6696661551848574,0.1298611806956788,-0.3870915236689547,-0.2643085591587705,-0.3303101649704189,-0.7257113853457917,-0.3628130948284872,-1.1298523847284545,-0.5466065635834737,0.0055978164051377,1.3779641113146608,0.9017514347953286,0.4459216458094205,-0.2843438443870473,-1.1390849726977612,-1.2947824112096014,-0.7675781742813294,1.1976391975947474,-1.305121638736329,-0.5287128582422868,-1.3147073223108714,-0.849980891532027,-1.3699876412142518,-1.241587789986768,-0.5621632020261998,-1.314041904385283,-1.2409843744883786,-0.2545948561670471,-1.4001237004598597,-1.3698213867960671
8,1,-0.8517628652679481,-1.69527580207776,-0.3870915747364956,-0.2643087458340678,-0.3303102147324471,-0.9148637959391052,-0.3628131650807566,-1.2861111421793316,-0.0032292725525634,-0.6068541875569484,0.991238671810188,0.2236920121491035,1.5470030867191007,0.0481550059042742,-1.3094546536391094,-1.1460632816009522,0.2479622081800063,0.4345535537740587,-0.4499144621546239,0.168965418383006,-1.1546313651596325,0.6990852365474285,-1.06528419113703,-1.2367587104141975,-0.5729999008726137,-1.1547852115354265,-1.2370360250733052,0.7774571277126763,-1.074966885323073,-1.065334342947575
9,1,-0.8347072883010648,-1.6586141487920794,-0.3870915720913764,-0.264308731720947,-0.3303102033923565,-0.8926056674118178,-0.3628131637358666,-1.291170023469978,-0.0723086922511196,-0.5566773968708982,0.6049767466159484,0.130368785459223,1.8221977608425264,0.7796524765452334,-1.3023559169332184,-1.133976567887174,0.2154388972925353,0.6044375839677164,-0.6119799620899325,0.0126965477018204,-1.139887527000966,0.385964396423183,-1.039717601790798,-1.2209388639392356,-0.566620950723239,-1.1399228330924789,-1.2212426274130097,0.6276983406654534,-1.0390262750673815,-1.0402975819199964
10,1,-0.4875410191401552,0.4274757425395109,-0.3870913070906165,-0.2643087487306472,-0.3303098434376279,-0.5588171032797657,-0.36281315149043,1.392267147241605,1.869036648968096,-1.8542639618917744,-1.4415934378332105,-1.7531854595096084,-0.6548570506842823,-0.3508436144453264,1.390093505086314,1.259192747440699,2.00096866501479,-1.9326829325310135,1.819002536939696,1.8478185954357416,1.253879911188292,2.0893858682258584,1.2042745188604418,1.2891642248289568,-0.5293666746120355,1.2535602322255384,1.289249542338161,1.5154113793149004,1.2222723560789568,1.2045409186545195
11,1,-0.4875410191401552,0.4295667113580859,-0.3870912937444837,-0.2643087614879224,-0.3303098256912454,-0.5532595181293818,-0.362813149918539,1.1410468794318362,1.92351680986438,-1.8800902512154771,-1.5013867838532786,-1.7590495760879672,-0.6548570506842823,0.9126520166616254,1.1375812994053869,1.0526675957226814,2.002594830559164,-1.7405190295250694,1.6569370370043872,1.8917259993660756,1.0511521365066236,2.06402749032847,1.0102199144783863,1.0853609612756503,-0.4893257528881589,1.050851190598349,1.0852514892260088,1.5154113793149004,1.0155081394315075,1.0103586339140749
