f_id,i_id,disp.diff_median_25,ic.eps.ratio,ic.eps.s,disp.diff_mean_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_05,nbc.nn_nb.sd_ratio,pca.expl_var_PC1.cov_init,ic.eps.max,disp.ratio_mean_10,pca.expl_var.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ela_meta.lin_simple.intercept,ela_level.lda_qda_10,ela_level.lda_qda_50,disp.diff_mean_02,nbc.dist_ratio.coeff_var,disp.ratio_median_25,ela_level.lda_mda_10,ela_meta.lin_simple.coef.max,ela_level.qda_mda_10,ela_distr.number_of_peaks,ela_level.mmce_qda_10,ela_meta.lin_simple.adj_r2,disp.ratio_median_10,ela_level.qda_mda_50,ela_level.lda_mda_50,ic.m0,nbc.nn_nb.cor
1,1,-0.1800897002619789,1.52645847246044,1.4317259605214463,-0.1222803787349802,1.1867777112635909,-0.0539364967817181,0.381514006851073,0.6997709232301093,1.8846141240271632,-0.1221684431456547,-0.7091399635591878,1.4081000857503574,-0.229336792908459,2.385409034989137,2.88544703108706,0.0647890230234282,-0.0097333240907996,-0.4820480739555812,-0.1801340044645676,3.1384265928820696,2.169953193431561,-1.7482021521159237,-0.3439272437304981,-1.518057274012102,1.0572701437621492,-0.1379663170288275,0.3583261217744363,0.0297314104660225,-0.9074993653381688,0.4046360417818287
3,1,1.0336436520887975,1.4507316616009798,1.3978424957991795,1.0972923061929891,0.5592573104780056,1.0741060888187028,-0.8014464148586091,0.6997709232301093,0.5533289812443294,1.0970068127686547,-0.7091399635591878,-0.6183897804865388,-0.1771797391939084,0.5426743940947646,1.2919947594215528,2.497104114843485,1.1478626992929346,0.4869985034698911,1.0333676425725369,-0.7642259246862698,-0.2146071483722957,-1.4371672598607017,0.7181073468632162,-0.8919559276608201,-1.188395517386969,1.0767773227492103,1.4757322526960128,2.3466149151273457,-0.2726597960515748,-0.9000592647091125
4,1,-0.9431496706557212,-0.0227846542006637,-0.0311594789281776,-1.0337514034276627,0.3503567022331827,-1.0841560696481287,1.0934410970072632,0.6997709232301093,-0.4360185021824465,-1.033803994865364,-0.7091399635591878,-0.4932018941581864,-0.2054800657034157,-0.4556480334733519,0.3624620804299672,-0.2185070106156876,-1.146950966557582,-1.0614251281835094,-0.94320927596388,1.6692392930161597,-0.4024473547361284,-0.3605080174387794,-0.3901026607128335,-1.0448411401419455,0.477988375111235,-1.0385402661568577,-0.3239942573253771,-0.2884967389662554,-0.7427901300077995,0.9046390334909318
5,1,1.4116136345232926,-1.3973295483565578,-1.4319205309353105,1.3193473859201574,-1.766808396373441,1.308955112243454,-1.2144071438918072,-1.648925550924001,-0.4360285075534084,1.3194239202665354,1.4275086135387989,-0.5310929025677036,-0.4409662785676046,-0.4556604698082459,-1.1225051189277715,-0.6495373187316797,1.2506727526211154,1.7662425302828826,1.411725798024276,-0.7642259246862698,-0.4024559366170363,1.4022980474206133,-0.7595059965715167,1.6148762071487506,-1.2285694208057123,1.3187636052630007,-0.2195159975477498,-0.4872171656474685,2.0158168643664207,-1.41308316766064
6,1,0.4880257272515531,-1.123572617819668,-1.1777522264532911,0.4749890627946991,-1.1954423126944185,0.4553464584564764,-0.6788486984268827,-1.6489255509240013,-0.4360285058812356,0.4750626788393953,1.4275086135387989,-0.4824696847427746,-0.3614540838309604,-0.455660440891776,-1.1308762298253472,-0.5110171761005663,0.4362243885825291,0.7331055707525508,0.4886166848633028,-0.7642259246862698,-0.402455936306462,1.4226486946592398,-0.7595059965715167,1.634290202384449,-0.9181010519889712,0.4649370061660451,-0.5071261631087467,-0.4586775299006986,0.9697496015728744,-0.4599524647151624
7,1,-1.247894259027739,-0.5877537924606422,-0.6411746947690281,-1.3708243102290156,0.9382580221447496,-1.4226365966704222,1.385954946739112,0.2053155316316673,-0.4360283733445505,-1.370175546328208,0.3590374359084704,-0.6003995413196996,-0.301950361100604,-0.4556601604753497,0.2513751763567367,-0.4067957918117063,-1.5314414031277952,-1.420331267970721,-1.2484393845636077,1.3573834982333028,-0.4024557723538722,-0.3041312244128552,-0.7595059965715167,-1.069108634186569,1.6913513382745755,-1.3554598009263383,-0.2939747824331856,-0.3751566542444666,-0.8965914689586753,0.9983895944363884
8,1,-1.4102888483805545,-0.7741179685519616,-0.8332186118085558,-1.365786657309147,0.2757025663713963,-1.268230424796268,0.2997821958965859,-1.5420270978415849,-0.4360284770192619,-1.3660567110041737,1.4275086135387989,-0.7087250668726621,-0.3290415866943939,-0.4556603157790743,-0.6744244396670109,-0.5326195387222372,-1.1928271032032882,-0.5410112254920517,-1.4105928797572105,0.1089703007057334,-0.4024559218685883,0.6908504203080934,-0.7595059965715167,0.4912912328826991,1.0672673363179657,-1.3533974178367325,-0.5737195833936086,-0.4766629456939773,0.635967972360336,-0.2412011558424299
9,1,-1.4155463773868082,-0.7566626913657625,-0.8106202310903743,-1.3492835339729443,0.1845131942770654,-1.2555194962386649,0.6030502312803409,-1.506928105131628,-0.4360284716492761,-1.3495813697080346,1.6945529634057128,-0.7146484956535623,-0.2988263389376591,-0.4556602803874642,-0.571256154010406,-0.3034989023568692,-1.155673379620082,-0.707646218964686,-1.415892013587066,0.1663913676816228,-0.4024559190063196,0.546470828412434,-0.7595059965715167,0.5276924739496338,0.3193292265865198,-1.3458353465081772,-0.4119552514417987,-0.3491955153300367,0.3261837151826856,0.365573308054555
10,1,1.3732616516849814,-0.4013605242406792,-0.4717291584476819,1.2692337143509629,-1.655973199052324,1.2381182790154597,-1.1197703101550325,0.4902446169387317,-0.4360279336582778,1.2693114238241112,-0.7091399635591878,-0.5550284831088252,-0.3665850907626342,-0.4556591569945447,-1.1225051189277715,-0.6439287167386069,1.2003588970488748,1.7918786831248263,1.3735720344493143,-0.7642259246862698,-0.4024558929449129,1.4022980474206133,-0.7595059965715167,1.6148762071487506,-1.106196378594701,1.2699538721423222,-0.2646107545910419,-0.4894913678225759,2.011453705814623,-1.3479786114485175
11,1,1.1121766866333624,-0.4013605242406792,-0.4660866164456391,1.0566279599231931,-1.6617032314101363,1.02284378349337,-1.3284015118020127,0.4922464606294137,-0.4360279065636411,1.056504932082312,-0.7091399635591878,-0.3968340294694099,-0.3660020217931258,-0.4556591016093563,-1.1225051189277715,-0.6474417971078943,0.9850756226516224,1.625243689652192,1.1117948232544117,-0.7642259246862698,-0.4024558895995285,1.4022980474206133,-0.7595059965715167,1.6148762071487506,-1.123784032165119,1.0582158749427553,-0.2433742701694915,-0.4884663752929501,1.9863655441417836,-1.387041345175791
